cell_id,Tangara arthus,Tangara arthus arthus,Tangara arthus [aurulenta Group],Tangara arthus [pulchra Group]
836608fffffffff,2.0,0.0,0.0,0.0
83661bfffffffff,4.0,0.0,0.0,0.0
83661dfffffffff,5.0,0.0,1.0,0.0
8366d0fffffffff,1.0,0.0,1.0,0.0
8366d1fffffffff,2.0,0.0,0.0,0.0
8366d3fffffffff,37.0,0.0,8.0,0.0
8366defffffffff,25.0,0.0,19.0,0.0
8366e6fffffffff,3.0,0.0,1.0,0.0
8366f0fffffffff,2.0,0.0,0.0,0.0
8366f1fffffffff,10.0,0.0,4.0,0.0
836741fffffffff,2.0,0.0,0.0,0.0
836758fffffffff,3.0,0.0,0.0,0.0
83675efffffffff,3.0,0.0,0.0,0.0
838b61fffffffff,2.0,0.0,0.0,2.0
838b69fffffffff,1.0,0.0,0.0,0.0
838b6efffffffff,8.0,0.0,0.0,0.0
838f0dfffffffff,5.0,0.0,0.0,0.0
838f29fffffffff,3.0,0.0,0.0,0.0
838f2bfffffffff,4.0,0.0,4.0,0.0
838f46fffffffff,3.0,0.0,0.0,3.0
838f4bfffffffff,1.0,0.0,0.0,0.0
838f74fffffffff,2.0,0.0,0.0,0.0
