cell_id,Sakesphorus canadensis,Sakesphorus canadensis pulchellus,Sakesphorus canadensis [canadensis Group]
835f58fffffffff,4.0,0.0,4.0
836611fffffffff,11.0,0.0,0.0
83661cfffffffff,11.0,0.0,0.0
836621fffffffff,5.0,0.0,0.0
83662bfffffffff,3.0,0.0,0.0
83662cfffffffff,1.0,1.0,0.0
83662efffffffff,1.0,0.0,0.0
836641fffffffff,2.0,0.0,0.0
836656fffffffff,5.0,0.0,0.0
8366e0fffffffff,1.0,0.0,0.0
8366e5fffffffff,38.0,0.0,2.0
83674afffffffff,2.0,0.0,2.0
836751fffffffff,3.0,3.0,0.0
836759fffffffff,2.0,0.0,2.0
83675cfffffffff,1.0,0.0,0.0
838a6dfffffffff,1.0,0.0,0.0
838f48fffffffff,3.0,0.0,0.0
838f4cfffffffff,4.0,0.0,0.0
