cell_id,Cnemotriccus fuscatus,Cnemotriccus fuscatus duidae,Cnemotriccus fuscatus [fuscatus Group]
845f12bffffffff,2.0,0.0,0.0
845f131ffffffff,1.0,0.0,0.0
845f1c3ffffffff,10.0,0.0,0.0
845f299ffffffff,2.0,0.0,0.0
845f423ffffffff,1.0,0.0,0.0
845f435ffffffff,1.0,0.0,0.0
845f487ffffffff,1.0,0.0,0.0
845f50bffffffff,6.0,0.0,0.0
845f583ffffffff,15.0,0.0,0.0
845f58bffffffff,1.0,0.0,0.0
845f5b5ffffffff,411.0,0.0,0.0
845f5b9ffffffff,1.0,0.0,0.0
845f5bdffffffff,17.0,0.0,0.0
845f683ffffffff,2.0,0.0,0.0
8466025ffffffff,3.0,0.0,0.0
8466045ffffffff,24.0,0.0,0.0
846606bffffffff,7.0,0.0,0.0
8466083ffffffff,2.0,0.0,0.0
846608dffffffff,21.0,0.0,0.0
8466091ffffffff,3.0,0.0,0.0
8466097ffffffff,1.0,0.0,0.0
84660a7ffffffff,4.0,0.0,0.0
84660cbffffffff,4.0,0.0,0.0
8466193ffffffff,3.0,0.0,0.0
846619bffffffff,5.0,0.0,0.0
84661d3ffffffff,1.0,0.0,0.0
846620bffffffff,9.0,0.0,0.0
8466217ffffffff,13.0,0.0,0.0
8466227ffffffff,13.0,0.0,0.0
846622bffffffff,3.0,0.0,0.0
846623bffffffff,16.0,0.0,0.0
8466311ffffffff,2.0,0.0,0.0
8466313ffffffff,63.0,0.0,0.0
846631bffffffff,4.0,0.0,0.0
8466411ffffffff,24.0,7.0,0.0
8466415ffffffff,11.0,2.0,0.0
8466417ffffffff,2.0,0.0,0.0
846641dffffffff,58.0,9.0,0.0
8466485ffffffff,1.0,0.0,0.0
8466529ffffffff,15.0,0.0,0.0
8466543ffffffff,4.0,0.0,0.0
8466545ffffffff,12.0,0.0,0.0
8466547ffffffff,4.0,0.0,0.0
8466549ffffffff,3.0,0.0,0.0
846654bffffffff,19.0,0.0,0.0
8466565ffffffff,20.0,0.0,0.0
846656dffffffff,6.0,0.0,0.0
84665abffffffff,121.0,8.0,0.0
84665bdffffffff,2.0,0.0,0.0
84665e9ffffffff,2.0,0.0,0.0
8466601ffffffff,1.0,0.0,0.0
8466603ffffffff,9.0,0.0,0.0
8466623ffffffff,2.0,0.0,0.0
8466631ffffffff,6.0,0.0,0.0
8466639ffffffff,4.0,0.0,0.0
846663dffffffff,4.0,0.0,0.0
8466647ffffffff,2.0,0.0,0.0
84666c5ffffffff,2.0,0.0,0.0
8466703ffffffff,1.0,0.0,0.0
8466709ffffffff,1.0,0.0,0.0
8466723ffffffff,7.0,0.0,0.0
8466727ffffffff,27.0,0.0,0.0
8466735ffffffff,4.0,0.0,0.0
8466737ffffffff,3.0,0.0,0.0
846674bffffffff,3.0,0.0,0.0
846675dffffffff,48.0,0.0,0.0
8466763ffffffff,2.0,0.0,0.0
8466c41ffffffff,5.0,0.0,0.0
8466c49ffffffff,24.0,0.0,0.0
8466ce1ffffffff,7.0,0.0,0.0
8466ce9ffffffff,2.0,0.0,0.0
8466da9ffffffff,2.0,0.0,0.0
8466db1ffffffff,1.0,0.0,0.0
8466dc3ffffffff,190.0,0.0,23.0
8466dc7ffffffff,4.0,0.0,0.0
8466dc9ffffffff,2.0,0.0,0.0
8466dd7ffffffff,1.0,0.0,0.0
8466ddbffffffff,8.0,0.0,2.0
8466dddffffffff,12.0,0.0,3.0
8466de3ffffffff,3.0,0.0,0.0
8466de7ffffffff,2.0,0.0,0.0
8466debffffffff,1.0,0.0,0.0
8466e03ffffffff,2.0,0.0,0.0
8466e0bffffffff,3.0,0.0,0.0
8466e0dffffffff,47.0,0.0,0.0
8466e19ffffffff,2.0,0.0,0.0
8466e23ffffffff,3.0,0.0,0.0
8466e27ffffffff,4.0,0.0,0.0
8466e29ffffffff,3.0,0.0,0.0
8466e41ffffffff,3.0,0.0,0.0
8466e45ffffffff,13.0,0.0,0.0
8466e47ffffffff,3.0,0.0,0.0
8466e4bffffffff,2.0,0.0,0.0
8466e55ffffffff,1.0,0.0,0.0
8466e57ffffffff,2.0,0.0,0.0
8466e63ffffffff,24.0,0.0,0.0
8466e67ffffffff,8.0,0.0,0.0
8466e69ffffffff,16.0,0.0,0.0
8466e6bffffffff,19.0,0.0,0.0
8466ec1ffffffff,1.0,0.0,0.0
8466ec7ffffffff,13.0,0.0,0.0
8466ecbffffffff,5.0,0.0,0.0
8467413ffffffff,3.0,0.0,1.0
8467433ffffffff,4.0,0.0,0.0
8467437ffffffff,10.0,0.0,0.0
846743bffffffff,9.0,0.0,0.0
846743dffffffff,7.0,0.0,0.0
84674c5ffffffff,9.0,0.0,0.0
84674c9ffffffff,2.0,0.0,0.0
84674cdffffffff,1.0,0.0,0.0
84674e1ffffffff,20.0,0.0,0.0
84674ebffffffff,2.0,0.0,0.0
84674edffffffff,10.0,0.0,0.0
846751bffffffff,2.0,0.0,0.0
8467521ffffffff,3.0,0.0,0.0
8467523ffffffff,6.0,0.0,0.0
8467531ffffffff,1.0,0.0,0.0
8467535ffffffff,12.0,0.0,0.0
8467537ffffffff,17.0,0.0,0.0
8467539ffffffff,11.0,0.0,0.0
84675c5ffffffff,6.0,0.0,0.0
84675cbffffffff,12.0,0.0,0.0
84675ebffffffff,1.0,0.0,0.0
