cell_id,Nisaetus cirrhatus,Nisaetus cirrhatus cirrhatus/ceylanensis,Nisaetus cirrhatus [limnaeetus Group]
823c17fffffffff,125.0,0.0,40.0
823c1ffffffffff,5.0,0.0,4.0
823c37fffffffff,71.0,0.0,17.0
823c57fffffffff,7.0,0.0,0.0
823c5ffffffffff,42.0,0.0,12.0
823c87fffffffff,10.0,0.0,0.0
823c8ffffffffff,12.0,0.0,4.0
823c97fffffffff,57.0,0.0,0.0
823ca7fffffffff,26.0,0.0,0.0
823caffffffffff,2.0,0.0,0.0
823cb7fffffffff,390.0,0.0,0.0
823cc7fffffffff,19.0,0.0,0.0
823ccffffffffff,3.0,0.0,3.0
823cd7fffffffff,12.0,0.0,0.0
823cdffffffffff,16.0,0.0,11.0
823ce7fffffffff,328.0,0.0,102.0
823ceffffffffff,500.0,0.0,249.0
823cf7fffffffff,253.0,0.0,58.0
823d17fffffffff,510.0,0.0,219.0
823d87fffffffff,12.0,3.0,0.0
823d97fffffffff,24.0,0.0,0.0
823d9ffffffffff,340.0,0.0,0.0
823da7fffffffff,1.0,1.0,0.0
823daffffffffff,939.0,0.0,458.0
823db7fffffffff,108.0,25.0,0.0
824147fffffffff,2.0,0.0,2.0
82414ffffffffff,3.0,0.0,2.0
824167fffffffff,5.0,0.0,2.0
82416ffffffffff,10.0,0.0,4.0
8242c7fffffffff,31.0,21.0,0.0
8242cffffffffff,51.0,15.0,0.0
8242d7fffffffff,3.0,0.0,0.0
8242dffffffffff,104.0,56.0,0.0
8242effffffffff,13.0,7.0,0.0
826007fffffffff,1026.0,614.0,0.0
826017fffffffff,735.0,379.0,0.0
82601ffffffffff,148.0,69.0,0.0
826027fffffffff,498.0,239.0,0.0
826037fffffffff,3562.0,2358.0,0.0
826087fffffffff,13.0,0.0,0.0
82608ffffffffff,230.0,11.0,0.0
826097fffffffff,276.0,2.0,0.0
82609ffffffffff,38.0,0.0,0.0
8260a7fffffffff,129.0,0.0,0.0
8260affffffffff,540.0,349.0,0.0
8260b7fffffffff,69.0,0.0,0.0
8260f7fffffffff,4.0,0.0,0.0
826107fffffffff,964.0,489.0,0.0
826117fffffffff,175.0,50.0,0.0
82611ffffffffff,211.0,78.0,0.0
82618ffffffffff,48.0,23.0,0.0
8261affffffffff,4.0,2.0,0.0
82640ffffffffff,845.0,0.0,244.0
826417fffffffff,1.0,0.0,0.0
82641ffffffffff,3.0,0.0,0.0
826437fffffffff,13.0,0.0,9.0
826487fffffffff,4.0,0.0,4.0
82648ffffffffff,6.0,0.0,3.0
826497fffffffff,7.0,0.0,1.0
82649ffffffffff,6.0,0.0,3.0
8264a7fffffffff,70.0,0.0,32.0
8264e7fffffffff,429.0,0.0,110.0
826507fffffffff,445.0,0.0,141.0
82650ffffffffff,6.0,0.0,4.0
82651ffffffffff,94.0,0.0,10.0
826527fffffffff,2092.0,0.0,961.0
82652ffffffffff,3.0,0.0,3.0
826557fffffffff,7.0,0.0,6.0
826577fffffffff,12.0,0.0,5.0
826587fffffffff,6.0,0.0,5.0
826597fffffffff,205.0,0.0,156.0
82659ffffffffff,11.0,0.0,9.0
8265b7fffffffff,40.0,0.0,21.0
826807fffffffff,10.0,0.0,5.0
826817fffffffff,99.0,0.0,59.0
82681ffffffffff,441.0,0.0,270.0
82682ffffffffff,61.0,0.0,37.0
82688ffffffffff,1.0,0.0,0.0
826897fffffffff,3.0,0.0,0.0
826937fffffffff,4.0,0.0,4.0
82695ffffffffff,14.0,0.0,11.0
828c17fffffffff,35.0,0.0,13.0
828c1ffffffffff,1.0,0.0,0.0
828c97fffffffff,2.0,0.0,0.0
828caffffffffff,49.0,0.0,26.0
828cd7fffffffff,15.0,0.0,11.0
828cf7fffffffff,1.0,0.0,1.0
828d97fffffffff,2.0,0.0,0.0
828da7fffffffff,14.0,0.0,10.0
828db7fffffffff,104.0,0.0,51.0
8295a7fffffffff,4.0,0.0,2.0
