cell_id,Lonchura malacca,Lonchura malacca (Pale-flanked),Lonchura malacca (Cinnamon-flanked)
823c07fffffffff,12.0,0.0,0.0
823c17fffffffff,12.0,0.0,0.0
823c1ffffffffff,104.0,0.0,0.0
823c37fffffffff,14.0,0.0,0.0
823c87fffffffff,72.0,0.0,0.0
823c8ffffffffff,150.0,0.0,0.0
823c97fffffffff,129.0,0.0,0.0
823c9ffffffffff,36.0,0.0,0.0
823ca7fffffffff,13.0,0.0,0.0
823caffffffffff,154.0,0.0,0.0
823cb7fffffffff,580.0,0.0,0.0
823cc7fffffffff,6.0,0.0,0.0
823ce7fffffffff,3.0,0.0,0.0
823cf7fffffffff,1856.0,0.0,0.0
823d17fffffffff,363.0,0.0,0.0
823d87fffffffff,33.0,0.0,0.0
823d8ffffffffff,53.0,0.0,0.0
823d97fffffffff,20.0,0.0,0.0
823d9ffffffffff,50.0,0.0,0.0
823da7fffffffff,236.0,0.0,0.0
823daffffffffff,100.0,0.0,0.0
823db7fffffffff,49.0,0.0,0.0
82424ffffffffff,4.0,0.0,0.0
82425ffffffffff,1.0,0.0,0.0
8242cffffffffff,704.0,0.0,0.0
8242dffffffffff,418.0,0.0,0.0
824437fffffffff,139.0,0.0,0.0
82450ffffffffff,107.0,0.0,0.0
824527fffffffff,185.0,0.0,0.0
82452ffffffffff,209.0,0.0,0.0
824577fffffffff,12.0,0.0,0.0
82458ffffffffff,76.0,0.0,0.0
824597fffffffff,5.0,0.0,0.0
82459ffffffffff,11.0,0.0,0.0
8245b7fffffffff,18.0,0.0,0.0
824c8ffffffffff,11.0,0.0,0.0
824cc7fffffffff,5.0,0.0,0.0
824cd7fffffffff,9.0,0.0,0.0
824cf7fffffffff,27.0,0.0,0.0
825f4ffffffffff,5.0,0.0,0.0
825f5ffffffffff,22.0,0.0,0.0
826007fffffffff,1244.0,0.0,0.0
826017fffffffff,4765.0,0.0,0.0
82601ffffffffff,212.0,0.0,0.0
826027fffffffff,990.0,0.0,0.0
826037fffffffff,1639.0,0.0,0.0
826087fffffffff,121.0,0.0,0.0
82608ffffffffff,1019.0,0.0,0.0
826097fffffffff,57.0,0.0,0.0
82609ffffffffff,113.0,0.0,0.0
8260a7fffffffff,279.0,0.0,0.0
8260affffffffff,534.0,0.0,0.0
8260b7fffffffff,674.0,0.0,0.0
826107fffffffff,642.0,0.0,0.0
826117fffffffff,45.0,0.0,0.0
82611ffffffffff,433.0,0.0,0.0
82618ffffffffff,1885.0,0.0,0.0
82619ffffffffff,100.0,0.0,0.0
8261affffffffff,216.0,0.0,0.0
82661ffffffffff,192.0,0.0,0.0
82662ffffffffff,4.0,0.0,0.0
826657fffffffff,2.0,0.0,0.0
8266b7fffffffff,119.0,0.0,0.0
8266c7fffffffff,263.0,0.0,0.0
8266d7fffffffff,2.0,0.0,0.0
8266e7fffffffff,1112.0,0.0,0.0
8266f7fffffffff,689.0,0.0,0.0
826727fffffffff,7.0,0.0,0.0
826737fffffffff,4.0,0.0,0.0
826747fffffffff,11.0,0.0,0.0
82674ffffffffff,8.0,0.0,0.0
82675ffffffffff,26.0,0.0,0.0
826d27fffffffff,117.0,0.0,0.0
826d67fffffffff,22.0,0.0,0.0
826d6ffffffffff,764.0,0.0,0.0
826d77fffffffff,13.0,0.0,0.0
828f2ffffffffff,13.0,0.0,0.0
