cell_id,Coracina javensis,Coracina javensis javensis,Coracina javensis [nipalensis Group],Coracina javensis rexpineti
823c07fffffffff,594.0,0.0,19.0,0.0
823c0ffffffffff,6.0,0.0,0.0,0.0
823c17fffffffff,153.0,0.0,0.0,0.0
823c1ffffffffff,702.0,0.0,1.0,0.0
823c37fffffffff,137.0,0.0,0.0,0.0
823c57fffffffff,64.0,0.0,0.0,0.0
823c5ffffffffff,213.0,0.0,0.0,0.0
823c8ffffffffff,9.0,0.0,0.0,0.0
823cc7fffffffff,286.0,0.0,0.0,0.0
823ccffffffffff,17.0,0.0,0.0,0.0
823cd7fffffffff,38.0,0.0,0.0,0.0
823cdffffffffff,44.0,0.0,0.0,0.0
823ce7fffffffff,834.0,0.0,0.0,0.0
823ceffffffffff,695.0,0.0,0.0,0.0
823cf7fffffffff,171.0,0.0,0.0,0.0
823d17fffffffff,492.0,0.0,0.0,0.0
823d37fffffffff,1.0,0.0,0.0,0.0
823daffffffffff,301.0,0.0,0.0,0.0
824047fffffffff,3.0,0.0,1.0,0.0
82404ffffffffff,50.0,0.0,0.0,0.0
824067fffffffff,11.0,0.0,0.0,0.0
82406ffffffffff,1.0,0.0,0.0,0.0
824147fffffffff,9.0,0.0,5.0,0.0
82414ffffffffff,1.0,0.0,0.0,0.0
82415ffffffffff,3.0,0.0,0.0,0.0
824167fffffffff,18.0,0.0,0.0,0.0
82416ffffffffff,16.0,0.0,3.0,0.0
824177fffffffff,5.0,0.0,0.0,0.0
824197fffffffff,1.0,0.0,0.0,0.0
8241b7fffffffff,1.0,0.0,0.0,1.0
82426ffffffffff,1.0,0.0,0.0,0.0
824b87fffffffff,39.0,0.0,0.0,0.0
824ba7fffffffff,27.0,0.0,0.0,0.0
82640ffffffffff,529.0,0.0,0.0,0.0
826417fffffffff,2.0,0.0,0.0,0.0
826487fffffffff,321.0,0.0,114.0,0.0
82648ffffffffff,17.0,0.0,0.0,0.0
826497fffffffff,415.0,0.0,129.0,0.0
82649ffffffffff,6.0,0.0,2.0,0.0
8264a7fffffffff,122.0,0.0,56.0,0.0
8264affffffffff,3.0,0.0,0.0,0.0
8264b7fffffffff,100.0,0.0,46.0,0.0
8264e7fffffffff,514.0,0.0,0.0,0.0
826587fffffffff,67.0,0.0,0.0,0.0
82658ffffffffff,2.0,0.0,0.0,0.0
826597fffffffff,688.0,0.0,0.0,0.0
82659ffffffffff,143.0,0.0,12.0,0.0
8265b7fffffffff,276.0,0.0,19.0,0.0
826937fffffffff,54.0,0.0,9.0,0.0
828c17fffffffff,26.0,26.0,0.0,0.0
828d87fffffffff,2.0,2.0,0.0,0.0
828d8ffffffffff,6.0,6.0,0.0,0.0
828da7fffffffff,29.0,29.0,0.0,0.0
828db7fffffffff,222.0,222.0,0.0,0.0
