cell_id,Xiphorhynchus guttatus,Xiphorhynchus guttatus [guttatus Group],Xiphorhynchus guttatus guttatoides/dorbignyanus,Xiphorhynchus guttatus [eytoni Group]
845f011ffffffff,6.0,0.0,0.0,0.0
845f013ffffffff,1.0,0.0,0.0,0.0
845f017ffffffff,3.0,0.0,0.0,0.0
845f01bffffffff,4.0,0.0,0.0,0.0
845f02bffffffff,4.0,0.0,0.0,0.0
845f031ffffffff,1.0,0.0,0.0,0.0
845f035ffffffff,108.0,0.0,0.0,0.0
845f03dffffffff,123.0,3.0,0.0,0.0
845f095ffffffff,10.0,0.0,0.0,0.0
845f09dffffffff,5.0,0.0,0.0,0.0
845f0d7ffffffff,11.0,0.0,0.0,0.0
845f0d9ffffffff,2.0,0.0,0.0,0.0
845f105ffffffff,3.0,0.0,0.0,0.0
845f117ffffffff,1.0,0.0,0.0,0.0
845f129ffffffff,2.0,0.0,0.0,0.0
845f12bffffffff,2.0,0.0,0.0,0.0
845f13dffffffff,3.0,0.0,0.0,0.0
845f143ffffffff,11.0,0.0,0.0,0.0
845f155ffffffff,1.0,0.0,0.0,0.0
845f161ffffffff,22.0,2.0,0.0,0.0
845f1c3ffffffff,20.0,0.0,0.0,0.0
845f1c9ffffffff,1.0,0.0,0.0,0.0
845f1cbffffffff,12.0,0.0,0.0,0.0
845f1e9ffffffff,1.0,0.0,0.0,0.0
845f1edffffffff,1.0,0.0,0.0,0.0
845f291ffffffff,9.0,0.0,0.0,0.0
845f293ffffffff,2.0,0.0,0.0,0.0
845f295ffffffff,37.0,0.0,0.0,0.0
845f299ffffffff,16.0,0.0,0.0,0.0
845f29dffffffff,47.0,0.0,0.0,0.0
845f2b1ffffffff,40.0,0.0,0.0,0.0
845f2b3ffffffff,274.0,0.0,0.0,0.0
845f2b9ffffffff,3.0,0.0,0.0,0.0
845f2bbffffffff,362.0,0.0,0.0,0.0
845f2d1ffffffff,15.0,0.0,0.0,0.0
845f2d3ffffffff,10.0,0.0,0.0,0.0
845f2d5ffffffff,4.0,0.0,0.0,0.0
845f2d7ffffffff,17.0,0.0,0.0,0.0
845f2dbffffffff,4.0,0.0,0.0,0.0
845f403ffffffff,5.0,0.0,0.0,0.0
845f407ffffffff,20.0,0.0,0.0,0.0
845f415ffffffff,3.0,0.0,0.0,0.0
845f423ffffffff,1.0,0.0,0.0,0.0
845f42bffffffff,58.0,0.0,0.0,0.0
845f435ffffffff,1.0,0.0,0.0,0.0
845f461ffffffff,1.0,0.0,0.0,0.0
845f46bffffffff,1.0,0.0,0.0,0.0
845f4e5ffffffff,15.0,0.0,0.0,0.0
845f501ffffffff,2.0,0.0,0.0,0.0
845f50bffffffff,18.0,0.0,0.0,0.0
845f549ffffffff,35.0,0.0,0.0,0.0
845f5dbffffffff,1.0,0.0,0.0,0.0
845f683ffffffff,15.0,0.0,0.0,0.0
845f689ffffffff,5.0,0.0,0.0,0.0
845f68bffffffff,62.0,0.0,0.0,0.0
845f711ffffffff,26.0,2.0,0.0,0.0
845f713ffffffff,20.0,0.0,0.0,0.0
845f717ffffffff,1.0,0.0,0.0,0.0
845f759ffffffff,1.0,0.0,0.0,0.0
8466091ffffffff,2.0,0.0,0.0,0.0
8466093ffffffff,1.0,0.0,0.0,0.0
8466097ffffffff,2.0,0.0,0.0,0.0
846609bffffffff,2.0,0.0,0.0,0.0
84660b7ffffffff,3.0,0.0,0.0,0.0
84660cbffffffff,2.0,0.0,0.0,0.0
84660d3ffffffff,2.0,0.0,0.0,0.0
8466411ffffffff,4.0,0.0,0.0,0.0
8466415ffffffff,347.0,0.0,0.0,0.0
8466417ffffffff,4.0,0.0,0.0,0.0
846641dffffffff,81.0,0.0,0.0,0.0
8466437ffffffff,2.0,0.0,0.0,0.0
8466439ffffffff,2.0,0.0,0.0,0.0
8466441ffffffff,6.0,0.0,0.0,0.0
8466457ffffffff,1.0,0.0,0.0,0.0
846645dffffffff,6.0,0.0,0.0,0.0
8466485ffffffff,4.0,0.0,0.0,0.0
8466487ffffffff,12.0,0.0,0.0,0.0
84664cbffffffff,1.0,0.0,0.0,0.0
84664e9ffffffff,4.0,0.0,0.0,0.0
8466529ffffffff,5.0,0.0,0.0,0.0
8466537ffffffff,2.0,0.0,0.0,0.0
8466549ffffffff,1.0,0.0,0.0,0.0
846654bffffffff,3.0,0.0,0.0,0.0
846656dffffffff,6.0,0.0,0.0,0.0
