cell_id,Gracula religiosa,Gracula religiosa [religiosa Group],Gracula religiosa miotera,Gracula religiosa robusta,Gracula religiosa enganensis
843cec9ffffffff,425.0,0.0,0.0,0.0,0.0
843cecdffffffff,5.0,0.0,0.0,0.0,0.0
843ced5ffffffff,55.0,0.0,0.0,0.0,0.0
843cedbffffffff,3.0,0.0,0.0,0.0,0.0
843cee3ffffffff,4.0,0.0,0.0,0.0,0.0
843cee7ffffffff,2.0,0.0,0.0,0.0,0.0
843ceebffffffff,2.0,0.0,0.0,0.0,0.0
843cf2dffffffff,93.0,0.0,0.0,0.0,0.0
8440493ffffffff,1.0,0.0,0.0,0.0,0.0
84404ddffffffff,52.0,1.0,0.0,0.0,0.0
844061bffffffff,1.0,0.0,0.0,0.0,0.0
84406b7ffffffff,4.0,0.0,0.0,0.0,0.0
84411c9ffffffff,1.0,0.0,0.0,0.0,0.0
84411cbffffffff,1.0,0.0,0.0,0.0,0.0
84414cbffffffff,2.0,2.0,0.0,0.0,0.0
84414d9ffffffff,1.0,0.0,0.0,0.0,0.0
84416b7ffffffff,2.0,2.0,0.0,0.0,0.0
84416cdffffffff,2.0,0.0,0.0,0.0,0.0
84536e7ffffffff,3.0,0.0,0.0,0.0,0.0
8464087ffffffff,10.0,0.0,0.0,0.0,0.0
84640a7ffffffff,17.0,0.0,0.0,0.0,0.0
84640b9ffffffff,119.0,0.0,0.0,0.0,0.0
84640bdffffffff,92.0,0.0,0.0,0.0,0.0
8464121ffffffff,14.0,0.0,0.0,0.0,0.0
8464125ffffffff,2.0,0.0,0.0,0.0,0.0
846414dffffffff,2.0,0.0,0.0,0.0,0.0
8464163ffffffff,2.0,0.0,0.0,0.0,0.0
8464193ffffffff,18.0,0.0,0.0,0.0,0.0
84641bdffffffff,85.0,0.0,0.0,0.0,0.0
846428bffffffff,178.0,0.0,0.0,0.0,0.0
846429dffffffff,105.0,0.0,0.0,0.0,0.0
84642d7ffffffff,16.0,0.0,0.0,0.0,0.0
8464331ffffffff,1.0,0.0,0.0,0.0,0.0
8464339ffffffff,1.0,0.0,0.0,0.0,0.0
8464811ffffffff,1.0,0.0,0.0,0.0,0.0
84648a5ffffffff,2.0,0.0,0.0,0.0,0.0
84648b5ffffffff,5.0,0.0,0.0,0.0,0.0
84648e9ffffffff,2.0,0.0,0.0,0.0,0.0
84648ebffffffff,5.0,0.0,0.0,0.0,0.0
8464983ffffffff,1.0,0.0,0.0,0.0,0.0
8464a1bffffffff,1.0,0.0,0.0,0.0,0.0
8464e45ffffffff,12.0,0.0,0.0,0.0,0.0
8464e49ffffffff,1222.0,0.0,0.0,0.0,0.0
8464e4dffffffff,153.0,0.0,0.0,0.0,0.0
8464e61ffffffff,31.0,0.0,0.0,0.0,0.0
8464e65ffffffff,44.0,0.0,0.0,0.0,0.0
8464e69ffffffff,52.0,0.0,0.0,0.0,0.0
8464e6bffffffff,3.0,0.0,0.0,0.0,0.0
8464e6dffffffff,101.0,0.0,0.0,0.0,0.0
846520dffffffff,1020.0,0.0,0.0,0.0,0.0
8465263ffffffff,91.0,0.0,0.0,0.0,0.0
8465801ffffffff,2.0,0.0,0.0,0.0,0.0
8465803ffffffff,2.0,0.0,0.0,0.0,0.0
846580bffffffff,10.0,0.0,0.0,0.0,0.0
8465811ffffffff,2.0,0.0,0.0,0.0,0.0
8465815ffffffff,2.0,0.0,0.0,0.0,0.0
8465817ffffffff,2.0,0.0,0.0,0.0,0.0
8465819ffffffff,4.0,0.0,0.0,0.0,0.0
8465827ffffffff,26.0,0.0,0.0,0.0,0.0
846582dffffffff,1.0,0.0,0.0,0.0,0.0
8465835ffffffff,14.0,0.0,0.0,0.0,0.0
8465843ffffffff,1.0,0.0,0.0,0.0,0.0
8465851ffffffff,26.0,0.0,0.0,0.0,0.0
8465853ffffffff,1.0,0.0,0.0,0.0,0.0
8465855ffffffff,7.0,0.0,0.0,0.0,0.0
8465859ffffffff,7.0,0.0,0.0,0.0,0.0
846585bffffffff,8.0,0.0,0.0,0.0,0.0
846585dffffffff,2.0,0.0,0.0,0.0,0.0
8465867ffffffff,2.0,0.0,0.0,0.0,0.0
846586dffffffff,2.0,0.0,0.0,0.0,0.0
8465907ffffffff,2.0,0.0,0.0,0.0,0.0
8465909ffffffff,1.0,0.0,0.0,0.0,0.0
846590bffffffff,2.0,0.0,0.0,0.0,0.0
8465911ffffffff,80.0,0.0,0.0,0.0,0.0
8465913ffffffff,1.0,0.0,0.0,0.0,0.0
8465919ffffffff,3.0,0.0,0.0,0.0,0.0
846591bffffffff,195.0,0.0,0.0,0.0,0.0
846591dffffffff,28.0,0.0,0.0,0.0,0.0
8465945ffffffff,3.0,0.0,0.0,0.0,0.0
8465947ffffffff,2.0,0.0,0.0,0.0,0.0
8465955ffffffff,2.0,0.0,0.0,0.0,0.0
8465959ffffffff,11.0,0.0,0.0,0.0,0.0
846595dffffffff,6.0,0.0,0.0,0.0,0.0
84659c1ffffffff,29.0,0.0,0.0,0.0,0.0
84659c3ffffffff,7.0,0.0,0.0,0.0,0.0
84659c9ffffffff,312.0,0.0,0.0,0.0,0.0
84659cdffffffff,4.0,0.0,0.0,0.0,0.0
84659d1ffffffff,1.0,0.0,0.0,0.0,0.0
8465aa5ffffffff,2.0,0.0,0.0,0.0,0.0
8465aadffffffff,7.0,0.0,0.0,0.0,0.0
