cell_id,Agelasticus cyanopus,Agelasticus cyanopus atroolivaceus/unicolor,Agelasticus cyanopus cyanopus
828b2ffffffffff,4.0,0.0,0.0
82a817fffffffff,2.0,0.0,0.0
82a85ffffffffff,5.0,0.0,0.0
82a94ffffffffff,3.0,0.0,0.0
82a967fffffffff,45.0,0.0,0.0
82a96ffffffffff,41.0,0.0,0.0
82b24ffffffffff,160.0,0.0,0.0
82b267fffffffff,3.0,0.0,0.0
82b26ffffffffff,147.0,0.0,0.0
82b347fffffffff,10.0,0.0,0.0
82b35ffffffffff,6.0,0.0,0.0
82c207fffffffff,1.0,0.0,0.0
82c21ffffffffff,5.0,0.0,0.0
82c2cffffffffff,373.0,0.0,0.0
82c2e7fffffffff,4.0,0.0,0.0
82c2effffffffff,6.0,0.0,0.0
