cell_id,Zonotrichia capensis,Zonotrichia capensis [capensis Group],Zonotrichia capensis australis
834520fffffffff,127.0,0.0,0.0
834524fffffffff,473.0,0.0,0.0
834525fffffffff,68.0,0.0,0.0
834526fffffffff,188.0,0.0,0.0
834c89fffffffff,10.0,0.0,0.0
834cd4fffffffff,134.0,0.0,0.0
834cd6fffffffff,5.0,0.0,0.0
835f16fffffffff,6.0,0.0,0.0
835f22fffffffff,10.0,0.0,0.0
835f48fffffffff,2.0,0.0,0.0
835f4afffffffff,8.0,0.0,0.0
835f4bfffffffff,64.0,0.0,0.0
835f63fffffffff,2.0,0.0,0.0
835f66fffffffff,1.0,0.0,0.0
835f70fffffffff,39.0,0.0,0.0
835f71fffffffff,123.0,0.0,0.0
835f75fffffffff,41.0,0.0,0.0
836601fffffffff,9.0,0.0,0.0
836608fffffffff,1939.0,12.0,0.0
836609fffffffff,230.0,0.0,0.0
83660afffffffff,47.0,0.0,0.0
83660bfffffffff,3227.0,9.0,0.0
83660cfffffffff,624.0,0.0,0.0
83660dfffffffff,225.0,2.0,0.0
83660efffffffff,2.0,0.0,0.0
836618fffffffff,1574.0,15.0,0.0
836619fffffffff,3765.0,17.0,0.0
83661afffffffff,3.0,0.0,0.0
83661bfffffffff,8198.0,59.0,0.0
83661cfffffffff,2.0,0.0,0.0
83661dfffffffff,366.0,0.0,0.0
83661efffffffff,1.0,0.0,0.0
836620fffffffff,2896.0,113.0,0.0
836621fffffffff,1287.0,0.0,0.0
836622fffffffff,59.0,4.0,0.0
836623fffffffff,196.0,82.0,0.0
836628fffffffff,2.0,0.0,0.0
836629fffffffff,746.0,17.0,0.0
83662afffffffff,3.0,0.0,0.0
83662bfffffffff,85.0,0.0,0.0
83662dfffffffff,30.0,0.0,0.0
83662efffffffff,17.0,0.0,0.0
836641fffffffff,142.0,0.0,0.0
836643fffffffff,1.0,0.0,0.0
836648fffffffff,2.0,0.0,0.0
836651fffffffff,3.0,0.0,0.0
836652fffffffff,4.0,0.0,0.0
836656fffffffff,18.0,0.0,0.0
83665afffffffff,2.0,0.0,0.0
83665efffffffff,1.0,0.0,0.0
836670fffffffff,2.0,0.0,0.0
836672fffffffff,1.0,0.0,0.0
8366a2fffffffff,13.0,0.0,0.0
8366b0fffffffff,2.0,0.0,0.0
8366b4fffffffff,21799.0,0.0,0.0
8366b5fffffffff,5688.0,0.0,0.0
8366b6fffffffff,5.0,0.0,0.0
8366c0fffffffff,502.0,0.0,0.0
8366c2fffffffff,1014.0,52.0,0.0
8366c4fffffffff,887.0,2.0,0.0
8366c6fffffffff,4316.0,10.0,0.0
8366cdfffffffff,19.0,0.0,0.0
8366d0fffffffff,213.0,0.0,0.0
8366d1fffffffff,530.0,0.0,0.0
8366d2fffffffff,3.0,0.0,0.0
8366d3fffffffff,16466.0,948.0,0.0
8366d5fffffffff,612.0,0.0,0.0
8366dafffffffff,439.0,56.0,0.0
8366dcfffffffff,4.0,0.0,0.0
8366defffffffff,9854.0,780.0,0.0
8366e0fffffffff,5279.0,38.0,0.0
8366e2fffffffff,432.0,0.0,0.0
8366e3fffffffff,51.0,0.0,0.0
8366e4fffffffff,13289.0,139.0,0.0
8366e5fffffffff,1364.0,8.0,0.0
8366e6fffffffff,20552.0,422.0,0.0
8366ecfffffffff,18.0,0.0,0.0
8366eefffffffff,37.0,0.0,0.0
8366f0fffffffff,57.0,0.0,0.0
8366f1fffffffff,5651.0,55.0,0.0
8366f3fffffffff,40.0,0.0,0.0
8366f5fffffffff,2225.0,0.0,0.0
836741fffffffff,1249.0,2.0,0.0
836743fffffffff,38.0,0.0,0.0
836746fffffffff,1391.0,0.0,0.0
83674cfffffffff,314.0,4.0,0.0
83674efffffffff,709.0,6.0,0.0
836751fffffffff,1.0,0.0,0.0
836758fffffffff,7.0,0.0,0.0
83675afffffffff,227.0,0.0,0.0
83675cfffffffff,109.0,0.0,0.0
83675efffffffff,123.0,0.0,0.0
836773fffffffff,5.0,0.0,0.0
83679afffffffff,33.0,0.0,0.0
836d05fffffffff,577.0,60.0,0.0
836d20fffffffff,28.0,2.0,0.0
836d21fffffffff,95.0,0.0,0.0
836d23fffffffff,1425.0,258.0,0.0
836d28fffffffff,3715.0,0.0,0.0
836d29fffffffff,2128.0,0.0,0.0
836d2afffffffff,448.0,16.0,0.0
836d2bfffffffff,627.0,0.0,0.0
836d2cfffffffff,29.0,0.0,0.0
836d2dfffffffff,1502.0,0.0,0.0
836d2efffffffff,233.0,7.0,0.0
836d64fffffffff,434.0,0.0,0.0
836d65fffffffff,6.0,0.0,0.0
836d66fffffffff,326.0,0.0,0.0
836d68fffffffff,154.0,0.0,0.0
836d69fffffffff,20656.0,0.0,0.0
836d74fffffffff,505.0,0.0,0.0
836d75fffffffff,6.0,0.0,0.0
838002fffffffff,10.0,0.0,0.0
838005fffffffff,1.0,0.0,0.0
838006fffffffff,2.0,0.0,0.0
838010fffffffff,12.0,0.0,0.0
838014fffffffff,4.0,0.0,0.0
83801cfffffffff,5.0,0.0,0.0
838026fffffffff,2.0,0.0,0.0
83802cfffffffff,2.0,0.0,0.0
838030fffffffff,163.0,6.0,0.0
838035fffffffff,2.0,0.0,0.0
838036fffffffff,48.0,2.0,0.0
838100fffffffff,40.0,9.0,0.0
838102fffffffff,318.0,6.0,0.0
838104fffffffff,25.0,0.0,0.0
838106fffffffff,215.0,30.0,0.0
838109fffffffff,5.0,0.0,0.0
838110fffffffff,4.0,0.0,0.0
838113fffffffff,7.0,0.0,0.0
838114fffffffff,5.0,0.0,0.0
838115fffffffff,4.0,0.0,0.0
838116fffffffff,1.0,0.0,0.0
838118fffffffff,19.0,0.0,0.0
838119fffffffff,2.0,0.0,0.0
83811afffffffff,3.0,0.0,0.0
83811cfffffffff,2.0,0.0,0.0
838121fffffffff,14.0,0.0,0.0
838122fffffffff,1.0,0.0,0.0
838124fffffffff,539.0,41.0,0.0
838125fffffffff,2.0,0.0,0.0
838128fffffffff,1.0,0.0,0.0
83812bfffffffff,2.0,0.0,0.0
83812cfffffffff,12.0,0.0,0.0
83812dfffffffff,37.0,1.0,0.0
838130fffffffff,105.0,4.0,0.0
838131fffffffff,11.0,2.0,0.0
838132fffffffff,4.0,0.0,0.0
838133fffffffff,292.0,16.0,0.0
838134fffffffff,11.0,0.0,0.0
838136fffffffff,3.0,2.0,0.0
838142fffffffff,1.0,0.0,0.0
838145fffffffff,1.0,0.0,0.0
83814afffffffff,126.0,0.0,0.0
83814dfffffffff,66.0,0.0,0.0
83814efffffffff,43.0,0.0,0.0
838151fffffffff,8.0,0.0,0.0
83815dfffffffff,12.0,0.0,0.0
838162fffffffff,2.0,0.0,0.0
838163fffffffff,6.0,0.0,0.0
838171fffffffff,20.0,0.0,0.0
838173fffffffff,4.0,0.0,0.0
838174fffffffff,4.0,0.0,0.0
838180fffffffff,1.0,1.0,0.0
838181fffffffff,6.0,2.0,0.0
838185fffffffff,7.0,0.0,0.0
838188fffffffff,42.0,0.0,0.0
83818afffffffff,4.0,0.0,0.0
83818cfffffffff,9.0,0.0,0.0
83818dfffffffff,2.0,0.0,0.0
83818efffffffff,1.0,0.0,0.0
83819dfffffffff,3.0,0.0,0.0
8381a8fffffffff,6.0,0.0,0.0
