cell_id,Otus sunia,Otus sunia [sunia Group],Otus sunia [japonicus Group],Otus sunia modestus
8414813ffffffff,11.0,0.0,0.0,0.0
8414ae5ffffffff,43.0,0.0,0.0,0.0
84255b5ffffffff,3.0,0.0,0.0,0.0
8425ac9ffffffff,1.0,0.0,0.0,0.0
842e6e3ffffffff,2.0,0.0,0.0,0.0
842ead9ffffffff,1.0,0.0,0.0,0.0
843015bffffffff,7.0,0.0,0.0,0.0
8430305ffffffff,9.0,0.0,0.0,0.0
8430325ffffffff,11.0,0.0,0.0,0.0
843032dffffffff,2.0,0.0,0.0,0.0
8430833ffffffff,5.0,0.0,0.0,0.0
8430911ffffffff,3.0,0.0,0.0,0.0
843091dffffffff,9.0,0.0,0.0,0.0
84309a5ffffffff,5.0,0.0,0.0,0.0
84309b3ffffffff,3.0,0.0,0.0,0.0
84309d3ffffffff,2.0,0.0,0.0,0.0
84309d9ffffffff,16.0,0.0,0.0,0.0
84309dbffffffff,1.0,0.0,0.0,0.0
8430a13ffffffff,1.0,0.0,0.0,0.0
8430b03ffffffff,2.0,0.0,0.0,0.0
8431613ffffffff,1.0,0.0,0.0,0.0
84316e3ffffffff,1.0,0.0,0.0,0.0
8431851ffffffff,11.0,0.0,0.0,0.0
8431855ffffffff,3.0,0.0,0.0,0.0
8431857ffffffff,1.0,0.0,0.0,0.0
843185bffffffff,14.0,0.0,0.0,0.0
84318d1ffffffff,14.0,0.0,0.0,0.0
8431915ffffffff,2.0,0.0,0.0,0.0
8431a85ffffffff,2.0,0.0,0.0,0.0
8431a87ffffffff,8.0,0.0,0.0,0.0
8431aa1ffffffff,4.0,0.0,0.0,0.0
8431aa5ffffffff,51.0,0.0,0.0,0.0
8431aa9ffffffff,4.0,0.0,0.0,0.0
8431aabffffffff,4.0,0.0,0.0,0.0
8431abdffffffff,1.0,0.0,0.0,0.0
843c065ffffffff,1.0,0.0,0.0,0.0
843c159ffffffff,18.0,0.0,0.0,0.0
843c191ffffffff,2.0,0.0,0.0,0.0
843c199ffffffff,22.0,0.0,0.0,0.0
843c19bffffffff,4.0,0.0,0.0,0.0
843c1c3ffffffff,3.0,0.0,0.0,0.0
843c1d3ffffffff,2.0,0.0,0.0,0.0
843c527ffffffff,2.0,0.0,0.0,0.0
843c537ffffffff,2.0,0.0,0.0,0.0
843c581ffffffff,6.0,0.0,0.0,0.0
843c585ffffffff,9.0,0.0,0.0,0.0
843c5a1ffffffff,28.0,0.0,0.0,0.0
