cell_id,Dendropicos goertae,Dendropicos goertae koenigi,Dendropicos goertae [goertae Group]
845291bffffffff,2.0,0.0,0.0
84541a3ffffffff,4.0,0.0,0.0
8454c41ffffffff,2.0,0.0,0.0
8454c51ffffffff,1.0,0.0,0.0
8454c5bffffffff,2.0,0.0,0.0
8454e13ffffffff,1.0,0.0,0.0
8454ec5ffffffff,1.0,0.0,0.0
8459015ffffffff,2.0,0.0,0.0
845901dffffffff,8.0,0.0,0.0
846adc7ffffffff,3.0,0.0,3.0
8475201ffffffff,1.0,0.0,1.0
8475207ffffffff,1.0,0.0,1.0
847a40bffffffff,1.0,0.0,0.0
847a489ffffffff,7.0,0.0,0.0
847a48bffffffff,2.0,0.0,0.0
