cell_id,Emberiza cabanisi,Emberiza cabanisi cabanisi,Emberiza cabanisi orientalis
8458a4dffffffff,2.0,0.0,0.0
8458b51ffffffff,2.0,0.0,0.0
8458c8bffffffff,1.0,0.0,0.0
8458cd9ffffffff,2.0,0.0,0.0
8458d13ffffffff,1.0,0.0,0.0
8458d1dffffffff,1.0,0.0,0.0
8458dcdffffffff,1.0,1.0,0.0
8458debffffffff,5.0,0.0,0.0
8458f47ffffffff,1.0,0.0,0.0
846ac03ffffffff,2.0,0.0,0.0
846ac0bffffffff,4.0,2.0,0.0
846ac1dffffffff,3.0,0.0,0.0
846ae0bffffffff,1.0,0.0,0.0
846ae15ffffffff,2.0,2.0,0.0
846ae85ffffffff,5.0,0.0,0.0
846aea1ffffffff,83.0,13.0,0.0
846aea3ffffffff,2.0,0.0,0.0
846aea9ffffffff,4.0,0.0,0.0
846aeabffffffff,1.0,0.0,0.0
8475201ffffffff,11.0,0.0,0.0
8475207ffffffff,4.0,0.0,0.0
847521dffffffff,3.0,0.0,0.0
8475313ffffffff,1.0,0.0,0.0
847a4b1ffffffff,1.0,0.0,0.0
847b487ffffffff,60.0,0.0,16.0
847b4b1ffffffff,2.0,0.0,0.0
847b4b9ffffffff,17.0,0.0,5.0
847b4bdffffffff,2.0,0.0,2.0
847b4dbffffffff,6.0,0.0,0.0
8482a09ffffffff,6.0,0.0,0.0
8482a55ffffffff,2.0,0.0,0.0
8483125ffffffff,10.0,0.0,2.0
8483337ffffffff,1.0,0.0,0.0
8496003ffffffff,1.0,0.0,0.0
8496009ffffffff,9.0,0.0,1.0
849600bffffffff,2.0,0.0,0.0
8496015ffffffff,5.0,0.0,0.0
849602dffffffff,6.0,0.0,3.0
8496039ffffffff,2.0,0.0,1.0
849603bffffffff,4.0,0.0,0.0
8496051ffffffff,5.0,0.0,0.0
8496061ffffffff,1.0,0.0,0.0
8496093ffffffff,3.0,0.0,2.0
8496095ffffffff,1.0,0.0,0.0
8496097ffffffff,1.0,0.0,0.0
849609dffffffff,2.0,0.0,0.0
84960b1ffffffff,6.0,0.0,0.0
84960bbffffffff,1.0,0.0,0.0
84960e9ffffffff,2.0,0.0,0.0
84960edffffffff,3.0,0.0,0.0
8496147ffffffff,1.0,0.0,0.0
8496151ffffffff,1.0,0.0,0.0
849615bffffffff,2.0,0.0,0.0
849615dffffffff,10.0,0.0,0.0
8496201ffffffff,3.0,0.0,3.0
8496233ffffffff,2.0,0.0,0.0
849623bffffffff,17.0,0.0,1.0
849624dffffffff,3.0,0.0,3.0
8496263ffffffff,2.0,0.0,0.0
849626dffffffff,1.0,0.0,0.0
8496287ffffffff,3.0,0.0,0.0
84962c9ffffffff,36.0,0.0,10.0
84962e5ffffffff,2.0,0.0,2.0
8496307ffffffff,1.0,0.0,0.0
8496329ffffffff,1.0,0.0,0.0
8496365ffffffff,30.0,0.0,3.0
849654dffffffff,1.0,0.0,0.0
8496569ffffffff,3.0,0.0,3.0
849656bffffffff,1.0,0.0,0.0
8496707ffffffff,2.0,0.0,0.0
8496727ffffffff,2.0,0.0,0.0
8496745ffffffff,1.0,0.0,0.0
849676dffffffff,1.0,0.0,1.0
849685bffffffff,1.0,0.0,0.0
8496a15ffffffff,5.0,0.0,0.0
8496a2dffffffff,2.0,0.0,0.0
8496a39ffffffff,2.0,0.0,0.0
8496a3bffffffff,2.0,0.0,0.0
8496a59ffffffff,5.0,0.0,3.0
8496aebffffffff,2.0,0.0,2.0
8496b09ffffffff,3.0,0.0,0.0
8496b0bffffffff,2.0,0.0,0.0
8496b2bffffffff,1.0,0.0,0.0
8496b2dffffffff,2.0,0.0,0.0
8496b53ffffffff,3.0,0.0,0.0
8496b63ffffffff,18.0,0.0,2.0
8496b67ffffffff,8.0,0.0,1.0
849702bffffffff,4.0,0.0,0.0
8497035ffffffff,16.0,0.0,7.0
849703dffffffff,10.0,0.0,0.0
8497113ffffffff,6.0,0.0,0.0
8497119ffffffff,2.0,0.0,0.0
849711dffffffff,6.0,0.0,0.0
8497159ffffffff,1.0,0.0,0.0
8497199ffffffff,2.0,0.0,0.0
849719bffffffff,8.0,0.0,3.0
84971c1ffffffff,10.0,0.0,2.0
84971c7ffffffff,1.0,0.0,0.0
84971c9ffffffff,1.0,0.0,0.0
84971cbffffffff,22.0,0.0,2.0
84971d7ffffffff,3.0,0.0,0.0
8497313ffffffff,2.0,0.0,0.0
8497895ffffffff,4.0,0.0,3.0
84978d1ffffffff,1.0,0.0,0.0
84978e3ffffffff,4.0,0.0,0.0
84978e7ffffffff,4.0,0.0,0.0
84978ebffffffff,18.0,0.0,0.0
849799bffffffff,3.0,0.0,0.0
8497a81ffffffff,2.0,0.0,0.0
8497a8bffffffff,1.0,0.0,0.0
8497aa1ffffffff,2.0,0.0,0.0
8497aa3ffffffff,1.0,0.0,0.0
8497ab1ffffffff,1.0,0.0,0.0
84ac9b7ffffffff,1.0,0.0,0.0
