cell_id,Oceanites gracilis,Oceanites gracilis galapagoensis,Oceanites gracilis gracilis
836c5afffffffff,1.0,0.0,0.0
836c5bfffffffff,3.0,0.0,0.0
838e25fffffffff,3.0,0.0,0.0
838e48fffffffff,1.0,0.0,0.0
838e62fffffffff,6.0,0.0,0.0
838f2afffffffff,12.0,0.0,0.0
838f52fffffffff,2.0,0.0,0.0
838fa6fffffffff,1.0,0.0,0.0
83b205fffffffff,3.0,0.0,0.0
83b218fffffffff,11.0,0.0,0.0
83b219fffffffff,26.0,0.0,0.0
83b21bfffffffff,1.0,0.0,0.0
83b21dfffffffff,5.0,0.0,0.0
83b28bfffffffff,2.0,0.0,0.0
83b2c4fffffffff,3.0,0.0,0.0
83b303fffffffff,2.0,0.0,0.0
83b304fffffffff,6.0,0.0,0.0
