cell_id,Pionus tumultuosus,Pionus tumultuosus seniloides,Pionus tumultuosus tumultuosus
83661bfffffffff,3.0,1.0,0.0
836629fffffffff,12.0,2.0,0.0
8366c2fffffffff,2.0,2.0,0.0
8366d0fffffffff,4.0,0.0,0.0
8366d3fffffffff,2.0,2.0,0.0
8366defffffffff,2.0,2.0,0.0
8366e6fffffffff,7.0,7.0,0.0
83675afffffffff,5.0,2.0,0.0
83675efffffffff,4.0,0.0,0.0
838b20fffffffff,10.0,0.0,0.0
838b21fffffffff,2.0,0.0,0.0
838b2cfffffffff,2.0,0.0,0.0
838b2dfffffffff,2.0,0.0,0.0
838b66fffffffff,3.0,0.0,0.0
838e64fffffffff,4.0,0.0,4.0
838e65fffffffff,2.0,0.0,2.0
838f29fffffffff,8.0,6.0,0.0
838f2bfffffffff,11.0,0.0,0.0
838f4afffffffff,1.0,0.0,0.0
838f54fffffffff,2.0,0.0,0.0
838f55fffffffff,2.0,2.0,0.0
838f5cfffffffff,6.0,0.0,0.0
838f73fffffffff,2.0,2.0,0.0
