cell_id,Eudyptes chrysocome,Eudyptes chrysocome chrysocome,Eudyptes chrysocome filholi
82ca87fffffffff,1.0,0.0,0.0
82cf37fffffffff,4.0,0.0,0.0
82cf97fffffffff,29.0,0.0,0.0
82cfa7fffffffff,36.0,0.0,0.0
82cfb7fffffffff,1.0,0.0,0.0
82d6affffffffff,3.0,0.0,2.0
82da07fffffffff,13.0,0.0,0.0
82da1ffffffffff,17.0,0.0,0.0
82da77fffffffff,54.0,0.0,29.0
82db87fffffffff,22.0,0.0,0.0
82de0ffffffffff,3.0,0.0,0.0
82de1ffffffffff,4.0,2.0,0.0
82de27fffffffff,4.0,0.0,0.0
82de67fffffffff,219.0,25.0,0.0
82de77fffffffff,286.0,9.0,0.0
82df0ffffffffff,6.0,0.0,0.0
82df2ffffffffff,2.0,0.0,0.0
82df47fffffffff,36.0,0.0,0.0
82df4ffffffffff,2.0,0.0,0.0
82df5ffffffffff,15.0,0.0,0.0
82df67fffffffff,2.0,0.0,0.0
82df6ffffffffff,10.0,0.0,0.0
82df77fffffffff,15.0,0.0,0.0
82e097fffffffff,7.0,0.0,2.0
