cell_id,Pipilo erythrophthalmus,Pipilo erythrophthalmus erythrophthalmus/canaster,Pipilo erythrophthalmus alleni/rileyi
830e49fffffffff,5.0,0.0,0.0
830e4dfffffffff,2.0,0.0,0.0
830e5bfffffffff,2.0,0.0,0.0
830eccfffffffff,8.0,0.0,0.0
83124efffffffff,2.0,0.0,0.0
831259fffffffff,7.0,0.0,0.0
8312ecfffffffff,35.0,0.0,0.0
831aa0fffffffff,3.0,0.0,0.0
831aa3fffffffff,16.0,0.0,0.0
831ab0fffffffff,1.0,0.0,0.0
832600fffffffff,1.0,0.0,0.0
832601fffffffff,19.0,0.0,0.0
832603fffffffff,7.0,0.0,0.0
832608fffffffff,19.0,2.0,0.0
832609fffffffff,4.0,0.0,0.0
83260afffffffff,48.0,6.0,0.0
83260bfffffffff,9.0,5.0,0.0
83260dfffffffff,2.0,0.0,0.0
83260efffffffff,31.0,3.0,0.0
832618fffffffff,9.0,0.0,0.0
83261bfffffffff,2.0,0.0,0.0
83261dfffffffff,5.0,0.0,0.0
83261efffffffff,4.0,0.0,0.0
832621fffffffff,2.0,0.0,0.0
832623fffffffff,3.0,0.0,0.0
832624fffffffff,2.0,0.0,0.0
832626fffffffff,2.0,0.0,0.0
832629fffffffff,4.0,0.0,0.0
83262bfffffffff,2.0,0.0,0.0
83262cfffffffff,7.0,0.0,0.0
83262dfffffffff,6.0,0.0,0.0
832640fffffffff,16.0,0.0,0.0
832641fffffffff,2.0,0.0,0.0
832642fffffffff,4.0,0.0,0.0
832643fffffffff,54.0,0.0,0.0
832644fffffffff,1.0,0.0,0.0
832645fffffffff,1.0,0.0,0.0
832646fffffffff,61.0,0.0,0.0
832649fffffffff,9.0,0.0,0.0
83264afffffffff,48.0,25.0,0.0
83264bfffffffff,4.0,1.0,0.0
83264cfffffffff,28.0,22.0,0.0
83264dfffffffff,6.0,2.0,0.0
83264efffffffff,30.0,12.0,0.0
832651fffffffff,18.0,0.0,0.0
832652fffffffff,3.0,0.0,0.0
832653fffffffff,7.0,0.0,0.0
832655fffffffff,5.0,0.0,0.0
832656fffffffff,19.0,2.0,0.0
832658fffffffff,8.0,0.0,0.0
832659fffffffff,17.0,4.0,0.0
83265afffffffff,2.0,0.0,0.0
83265bfffffffff,13.0,0.0,0.0
83265cfffffffff,1.0,0.0,0.0
83265dfffffffff,10.0,7.0,0.0
832661fffffffff,1.0,1.0,0.0
832662fffffffff,3.0,1.0,0.0
832664fffffffff,13.0,1.0,0.0
832666fffffffff,10.0,0.0,0.0
832668fffffffff,1.0,0.0,0.0
832669fffffffff,7.0,0.0,0.0
83266afffffffff,1.0,0.0,0.0
83266bfffffffff,1.0,0.0,0.0
83266cfffffffff,1.0,0.0,0.0
83266dfffffffff,2.0,0.0,0.0
832670fffffffff,15.0,0.0,0.0
832672fffffffff,2.0,0.0,0.0
832674fffffffff,22.0,0.0,0.0
832675fffffffff,2.0,0.0,0.0
832681fffffffff,2.0,0.0,0.0
832688fffffffff,13.0,0.0,0.0
832689fffffffff,3.0,0.0,0.0
83268bfffffffff,1.0,0.0,0.0
83268dfffffffff,4.0,0.0,0.0
8326a1fffffffff,2.0,0.0,0.0
8326a8fffffffff,56.0,0.0,0.0
8326a9fffffffff,6.0,0.0,0.0
8326aafffffffff,3.0,0.0,0.0
8326abfffffffff,11.0,0.0,0.0
8326adfffffffff,3.0,0.0,0.0
8326aefffffffff,2.0,0.0,0.0
8326c1fffffffff,56.0,0.0,0.0
8326c2fffffffff,1.0,0.0,0.0
8326c3fffffffff,20.0,0.0,0.0
8326c4fffffffff,4.0,0.0,0.0
8326c5fffffffff,9.0,0.0,0.0
8326c9fffffffff,2.0,0.0,0.0
8326cafffffffff,2.0,0.0,0.0
8326ccfffffffff,5.0,0.0,0.0
8326d0fffffffff,3.0,0.0,0.0
8326d1fffffffff,14.0,0.0,0.0
8326d9fffffffff,1.0,0.0,0.0
8326dbfffffffff,1.0,0.0,0.0
8326dcfffffffff,2.0,0.0,0.0
8326e0fffffffff,3.0,0.0,0.0
8326e1fffffffff,1.0,0.0,0.0
8326e2fffffffff,17.0,0.0,0.0
8326e3fffffffff,8.0,0.0,0.0
8326e4fffffffff,6.0,0.0,0.0
8326e5fffffffff,8.0,0.0,0.0
8326e6fffffffff,5.0,0.0,0.0
8326e9fffffffff,15.0,0.0,0.0
8326ecfffffffff,6.0,0.0,0.0
8326edfffffffff,2.0,0.0,0.0
8326eefffffffff,14.0,0.0,0.0
8326f1fffffffff,5.0,0.0,0.0
8326f2fffffffff,5.0,0.0,0.0
8326f4fffffffff,2.0,0.0,0.0
8326f6fffffffff,1.0,0.0,0.0
832702fffffffff,4.0,0.0,0.0
832709fffffffff,1.0,0.0,0.0
83270efffffffff,8.0,0.0,0.0
832712fffffffff,2.0,0.0,0.0
832719fffffffff,8.0,0.0,0.0
832740fffffffff,3.0,0.0,0.0
