cell_id,Trogon chrysochloros,Trogon chrysochloros muriciensis,Trogon chrysochloros chrysochloros
838116fffffffff,2.0,0.0,0.0
838130fffffffff,10.0,0.0,0.0
838132fffffffff,2.0,0.0,0.0
838133fffffffff,119.0,0.0,0.0
838134fffffffff,16.0,0.0,0.0
838136fffffffff,106.0,0.0,0.0
838185fffffffff,66.0,0.0,0.0
83a596fffffffff,43.0,0.0,0.0
83a800fffffffff,1.0,0.0,0.0
83a801fffffffff,8.0,0.0,0.0
83a802fffffffff,2.0,0.0,0.0
83a805fffffffff,6.0,0.0,0.0
83a806fffffffff,487.0,0.0,0.0
83a810fffffffff,238.0,0.0,0.0
83a812fffffffff,87.0,0.0,0.0
83a815fffffffff,387.0,0.0,0.0
83a816fffffffff,3.0,0.0,0.0
83a81cfffffffff,2.0,0.0,0.0
83a81dfffffffff,17.0,0.0,0.0
83a820fffffffff,3.0,0.0,0.0
83a821fffffffff,12.0,0.0,0.0
83a822fffffffff,13.0,0.0,0.0
83a823fffffffff,9.0,0.0,0.0
83a824fffffffff,1.0,0.0,0.0
83a825fffffffff,1.0,0.0,0.0
83a826fffffffff,8.0,0.0,0.0
83a828fffffffff,9.0,0.0,0.0
83a829fffffffff,3.0,0.0,0.0
83a82afffffffff,3.0,0.0,0.0
83a82dfffffffff,4.0,0.0,0.0
83a82efffffffff,4.0,0.0,0.0
83a831fffffffff,79.0,0.0,0.0
83a833fffffffff,36.0,0.0,0.0
83a835fffffffff,111.0,0.0,0.0
83a862fffffffff,5.0,0.0,0.0
83a875fffffffff,1.0,0.0,0.0
83a880fffffffff,8.0,0.0,0.0
83a882fffffffff,77.0,0.0,0.0
83a884fffffffff,22.0,0.0,0.0
83a886fffffffff,3.0,0.0,0.0
83a891fffffffff,38.0,0.0,0.0
83a895fffffffff,12.0,0.0,0.0
83a8a0fffffffff,2.0,0.0,0.0
83a8a1fffffffff,112.0,0.0,0.0
83a8a2fffffffff,169.0,0.0,0.0
83a8a3fffffffff,53.0,0.0,0.0
83a8a5fffffffff,11.0,0.0,0.0
83a8acfffffffff,10.0,0.0,0.0
83a8b1fffffffff,5.0,0.0,0.0
83a903fffffffff,3.0,0.0,0.0
83a90cfffffffff,2.0,0.0,0.0
83a90dfffffffff,4.0,0.0,0.0
83a90efffffffff,15.0,0.0,0.0
83a919fffffffff,21.0,0.0,0.0
83a91bfffffffff,31.0,0.0,0.0
83a91dfffffffff,51.0,0.0,0.0
83a942fffffffff,81.0,0.0,0.0
83a943fffffffff,69.0,0.0,0.0
83a946fffffffff,105.0,0.0,0.0
83a950fffffffff,252.0,0.0,0.0
83a951fffffffff,6.0,0.0,0.0
83a952fffffffff,9.0,0.0,0.0
83a953fffffffff,1270.0,0.0,0.0
83a954fffffffff,2.0,0.0,0.0
83a955fffffffff,87.0,0.0,0.0
83a95afffffffff,48.0,0.0,0.0
83a95bfffffffff,2.0,0.0,0.0
83a95cfffffffff,63.0,0.0,0.0
83a95efffffffff,8.0,0.0,0.0
83a971fffffffff,6.0,0.0,0.0
83a973fffffffff,7.0,0.0,0.0
