cell_id,Petroica macrocephala,Petroica macrocephala [macrocephala Group],Petroica macrocephala dannefaerdi
83bb08fffffffff,4.0,4.0,0.0
83bb09fffffffff,39.0,28.0,0.0
83bb0dfffffffff,1.0,1.0,0.0
83bb29fffffffff,11.0,9.0,0.0
83bb2bfffffffff,12.0,3.0,0.0
83bb2dfffffffff,11.0,8.0,0.0
83bb50fffffffff,3.0,3.0,0.0
83bb51fffffffff,1.0,1.0,0.0
83bb53fffffffff,6.0,6.0,0.0
83bb5efffffffff,13.0,12.0,0.0
83bb72fffffffff,5.0,2.0,0.0
83d46bfffffffff,10.0,0.0,0.0
83da18fffffffff,24.0,10.0,0.0
83da80fffffffff,4.0,0.0,0.0
83da81fffffffff,3.0,3.0,0.0
83da83fffffffff,35.0,16.0,0.0
83da84fffffffff,16.0,10.0,0.0
83da85fffffffff,25.0,19.0,0.0
83da8cfffffffff,5.0,5.0,0.0
83da8efffffffff,9.0,3.0,0.0
83da90fffffffff,1.0,1.0,0.0
83da91fffffffff,3.0,0.0,0.0
83da92fffffffff,1.0,0.0,0.0
83da95fffffffff,26.0,24.0,0.0
83da96fffffffff,2.0,2.0,0.0
83da9cfffffffff,3.0,0.0,0.0
83daa9fffffffff,4.0,0.0,2.0
83daaafffffffff,16.0,12.0,0.0
