cell_id,Geophaps plumifera,Geophaps plumifera ferruginea,Geophaps plumifera plumifera/leucogaster
82945ffffffffff,1.0,0.0,0.0
829487fffffffff,12.0,7.0,0.0
82948ffffffffff,6.0,0.0,0.0
829497fffffffff,9.0,0.0,0.0
8294c7fffffffff,32.0,0.0,0.0
8294cffffffffff,13.0,0.0,0.0
8294d7fffffffff,34.0,0.0,0.0
8294e7fffffffff,107.0,0.0,10.0
8294effffffffff,42.0,0.0,0.0
8294f7fffffffff,45.0,0.0,6.0
829c2ffffffffff,18.0,0.0,0.0
829c47fffffffff,8.0,0.0,0.0
829c4ffffffffff,8.0,0.0,0.0
829c67fffffffff,33.0,0.0,0.0
829c6ffffffffff,7.0,0.0,0.0
829d47fffffffff,411.0,0.0,0.0
829d4ffffffffff,399.0,0.0,0.0
829d5ffffffffff,51.0,0.0,0.0
829d67fffffffff,68.0,0.0,0.0
829d6ffffffffff,46.0,0.0,0.0
829d77fffffffff,1.0,0.0,0.0
82a617fffffffff,47.0,2.0,0.0
82a637fffffffff,10.0,0.0,0.0
82a6a7fffffffff,118.0,10.0,0.0
82a787fffffffff,52.0,1.0,0.0
82a78ffffffffff,35.0,2.0,0.0
82a797fffffffff,9.0,0.0,0.0
82a79ffffffffff,73.0,9.0,0.0
82a7affffffffff,9.0,0.0,0.0
82b887fffffffff,262.0,0.0,0.0
82b88ffffffffff,3.0,0.0,0.0
82b89ffffffffff,55.0,0.0,0.0
82b8a7fffffffff,2.0,0.0,0.0
82b8affffffffff,70.0,0.0,0.0
82b8b7fffffffff,1.0,0.0,0.0
82b8cffffffffff,2.0,0.0,0.0
82b99ffffffffff,14.0,0.0,0.0
82becffffffffff,10.0,0.0,0.0
