cell_id,Cepphus columba,Cepphus columba snowi,Cepphus columba [columba Group]
830c41fffffffff,2.0,0.0,0.0
830c42fffffffff,8.0,0.0,2.0
830c50fffffffff,1.0,0.0,0.0
830c51fffffffff,7.0,0.0,0.0
830c5afffffffff,30.0,0.0,0.0
830ca4fffffffff,65.0,0.0,0.0
830cc4fffffffff,5.0,0.0,0.0
830cd8fffffffff,2.0,0.0,0.0
831295fffffffff,1.0,0.0,0.0
831298fffffffff,4.0,0.0,0.0
83129afffffffff,2.0,0.0,0.0
83129bfffffffff,1.0,0.0,1.0
8312b0fffffffff,1.0,0.0,0.0
8312b4fffffffff,1.0,0.0,0.0
831393fffffffff,1.0,0.0,0.0
8322d0fffffffff,27.0,0.0,0.0
8322d1fffffffff,5.0,0.0,0.0
8322dbfffffffff,5.0,0.0,0.0
8322e9fffffffff,2.0,0.0,0.0
8322edfffffffff,3.0,0.0,0.0
832800fffffffff,13.0,0.0,0.0
832802fffffffff,26.0,0.0,0.0
832803fffffffff,9.0,0.0,0.0
832806fffffffff,18.0,0.0,0.0
832819fffffffff,23.0,0.0,0.0
83281bfffffffff,23.0,0.0,0.0
83281cfffffffff,25.0,0.0,1.0
83281dfffffffff,5.0,0.0,0.0
832830fffffffff,71.0,0.0,1.0
832831fffffffff,33.0,0.0,0.0
832834fffffffff,460.0,0.0,22.0
832835fffffffff,758.0,0.0,0.0
8328c2fffffffff,2.0,0.0,0.0
8328c6fffffffff,29.0,0.0,1.0
8328cefffffffff,2.0,0.0,0.0
8328d1fffffffff,27.0,0.0,1.0
8328d5fffffffff,1.0,0.0,0.0
8328d8fffffffff,12.0,0.0,0.0
8328ddfffffffff,8.0,0.0,0.0
8328defffffffff,1.0,0.0,1.0
8328e6fffffffff,5.0,0.0,0.0
8328f1fffffffff,3.0,0.0,0.0
8328f5fffffffff,13.0,0.0,0.0
832912fffffffff,40.0,0.0,2.0
832913fffffffff,3.0,0.0,0.0
83291afffffffff,8.0,0.0,0.0
8329a1fffffffff,10.0,0.0,0.0
8329a4fffffffff,31.0,0.0,0.0
8329a5fffffffff,90.0,0.0,0.0
8329adfffffffff,64.0,0.0,0.0
832ea3fffffffff,1.0,0.0,1.0
83484afffffffff,1.0,0.0,0.0
