cell_id,Cisticola aberrans,Cisticola aberrans [emini Group],Cisticola aberrans [aberrans Group]
82585ffffffffff,2.0,0.0,0.0
8258b7fffffffff,2.0,0.0,0.0
8258cffffffffff,1.0,0.0,0.0
8258e7fffffffff,80.0,0.0,0.0
8258f7fffffffff,1.0,0.0,0.0
82599ffffffffff,76.0,7.0,0.0
826adffffffffff,2.0,0.0,0.0
826aeffffffffff,2.0,0.0,0.0
827527fffffffff,16.0,8.0,0.0
82752ffffffffff,2.0,0.0,0.0
827537fffffffff,1.0,0.0,0.0
827a6ffffffffff,52.0,0.0,0.0
829607fffffffff,11.0,0.0,8.0
829617fffffffff,5.0,0.0,2.0
829627fffffffff,7.0,0.0,0.0
829637fffffffff,1.0,0.0,0.0
82968ffffffffff,2.0,0.0,0.0
8296a7fffffffff,1.0,0.0,0.0
829707fffffffff,44.0,0.0,3.0
82971ffffffffff,46.0,0.0,12.0
82972ffffffffff,56.0,0.0,26.0
829757fffffffff,8.0,0.0,0.0
829777fffffffff,2.0,0.0,0.0
82978ffffffffff,13.0,0.0,0.0
8297affffffffff,11.0,0.0,2.0
82bc0ffffffffff,4.0,0.0,1.0
82bc1ffffffffff,5.0,0.0,1.0
82bc57fffffffff,12.0,0.0,0.0
82bc77fffffffff,17.0,0.0,5.0
82bc8ffffffffff,1.0,0.0,1.0
82bcc7fffffffff,86.0,0.0,46.0
82bcd7fffffffff,254.0,0.0,79.0
82bcdffffffffff,97.0,0.0,14.0
82bce7fffffffff,104.0,0.0,44.0
82bceffffffffff,2.0,0.0,0.0
82bcf7fffffffff,171.0,0.0,82.0
