cell_id,Niltava grandis,Niltava grandis [grandis Group],Niltava grandis decorata
843c029ffffffff,9.0,0.0,0.0
843c02dffffffff,18.0,0.0,0.0
843c067ffffffff,2.0,0.0,0.0
843c0a5ffffffff,302.0,0.0,0.0
843c0a7ffffffff,2.0,0.0,0.0
843c0a9ffffffff,2.0,0.0,0.0
843c0adffffffff,118.0,0.0,0.0
843c0b5ffffffff,11.0,0.0,0.0
843c0b7ffffffff,24.0,0.0,0.0
843c0bdffffffff,6.0,0.0,0.0
843c199ffffffff,23.0,0.0,0.0
843c1d1ffffffff,5.0,0.0,0.0
843c1d3ffffffff,134.0,0.0,0.0
843c1d7ffffffff,2.0,0.0,0.0
843c1dbffffffff,40.0,0.0,0.0
843c317ffffffff,2.0,0.0,0.0
843c31dffffffff,2.0,0.0,0.0
843c33bffffffff,6.0,0.0,0.0
843c521ffffffff,25.0,0.0,0.0
843c527ffffffff,386.0,0.0,0.0
843c533ffffffff,49.0,0.0,0.0
843c537ffffffff,6.0,0.0,0.0
843c581ffffffff,215.0,0.0,0.0
843c583ffffffff,3.0,0.0,0.0
843c585ffffffff,2.0,0.0,0.0
843c587ffffffff,10.0,0.0,0.0
843c58dffffffff,2.0,0.0,0.0
843c595ffffffff,1.0,0.0,0.0
843c5a1ffffffff,42.0,0.0,0.0
843c5a9ffffffff,17.0,0.0,0.0
843c5abffffffff,6.0,0.0,0.0
843c5adffffffff,13.0,0.0,0.0
843c5b7ffffffff,13.0,0.0,0.0
843c5bdffffffff,84.0,0.0,0.0
843c5c1ffffffff,31.0,0.0,0.0
843c5c5ffffffff,5.0,0.0,0.0
843c5c7ffffffff,3.0,0.0,0.0
843c5cbffffffff,23.0,0.0,0.0
843c5e3ffffffff,3.0,0.0,0.0
843c5e9ffffffff,3.0,0.0,0.0
843c5ebffffffff,13.0,0.0,0.0
843cc03ffffffff,6.0,0.0,0.0
843cc11ffffffff,2.0,0.0,0.0
843cc31ffffffff,8.0,0.0,0.0
843cd8bffffffff,30.0,0.0,0.0
843cd9dffffffff,2.0,0.0,0.0
843ce31ffffffff,13.0,0.0,0.0
843ce33ffffffff,6.0,0.0,0.0
843ce3bffffffff,30.0,0.0,0.0
843ce43ffffffff,3.0,0.0,0.0
843ce49ffffffff,4.0,0.0,0.0
843ce4bffffffff,28.0,0.0,0.0
843ce51ffffffff,33.0,0.0,0.0
843ce53ffffffff,3.0,0.0,0.0
843ce55ffffffff,14.0,0.0,0.0
843ce57ffffffff,15.0,0.0,0.0
843ce59ffffffff,33.0,0.0,0.0
843ce5bffffffff,47.0,0.0,0.0
843ce5dffffffff,46.0,0.0,0.0
843ce81ffffffff,1.0,0.0,0.0
843ce83ffffffff,9.0,0.0,0.0
843ce85ffffffff,84.0,0.0,0.0
843ce8bffffffff,1.0,0.0,0.0
843ce95ffffffff,56.0,0.0,0.0
843ce9dffffffff,1.0,0.0,0.0
843cea1ffffffff,10.0,0.0,0.0
843cec1ffffffff,6.0,0.0,0.0
843cec3ffffffff,4.0,0.0,0.0
843cec9ffffffff,45.0,0.0,0.0
843ced7ffffffff,1.0,0.0,0.0
84402d7ffffffff,2.0,0.0,0.0
8440455ffffffff,2.0,0.0,0.0
84404c1ffffffff,51.0,0.0,0.0
84404c3ffffffff,2.0,0.0,0.0
84404c5ffffffff,304.0,3.0,0.0
84404c7ffffffff,5.0,0.0,0.0
84404c9ffffffff,3.0,0.0,0.0
84404cbffffffff,1.0,0.0,0.0
84404cdffffffff,1.0,0.0,0.0
84404ddffffffff,175.0,0.0,0.0
84404e1ffffffff,3.0,0.0,0.0
84404e7ffffffff,2.0,0.0,0.0
8440591ffffffff,11.0,0.0,0.0
84405c9ffffffff,1.0,0.0,0.0
8440657ffffffff,4.0,0.0,0.0
844066dffffffff,12.0,0.0,0.0
8440695ffffffff,1.0,0.0,0.0
84406b7ffffffff,57.0,0.0,0.0
8440717ffffffff,1.0,0.0,0.0
8441431ffffffff,3.0,0.0,0.0
8441433ffffffff,2.0,0.0,0.0
844143bffffffff,2.0,0.0,0.0
84414c1ffffffff,1.0,0.0,0.0
84414c3ffffffff,25.0,0.0,0.0
8441585ffffffff,5.0,0.0,0.0
8441593ffffffff,5.0,0.0,0.0
844159bffffffff,6.0,0.0,0.0
84415a1ffffffff,9.0,0.0,0.0
84415a9ffffffff,2.0,0.0,0.0
84415c3ffffffff,5.0,0.0,0.0
8464821ffffffff,4.0,0.0,0.0
8464825ffffffff,4.0,0.0,0.0
846482bffffffff,648.0,4.0,0.0
846482dffffffff,2.0,0.0,0.0
8464843ffffffff,2.0,0.0,0.0
8464903ffffffff,4.0,0.0,0.0
8464911ffffffff,499.0,2.0,0.0
8464921ffffffff,2.0,0.0,0.0
846494bffffffff,4.0,0.0,0.0
8464953ffffffff,2.0,0.0,0.0
8464985ffffffff,4.0,0.0,0.0
8464987ffffffff,4.0,0.0,0.0
8464a31ffffffff,1.0,0.0,0.0
8464a35ffffffff,2.0,0.0,0.0
8464a39ffffffff,1.0,0.0,0.0
8464b0bffffffff,17.0,0.0,0.0
8464b57ffffffff,6.0,0.0,0.0
8465005ffffffff,1.0,0.0,0.0
846500bffffffff,422.0,0.0,0.0
8465033ffffffff,11.0,0.0,0.0
8465039ffffffff,43.0,0.0,0.0
8465055ffffffff,29.0,0.0,0.0
84650d1ffffffff,11.0,0.0,0.0
8465545ffffffff,16.0,0.0,0.0
8465561ffffffff,3.0,0.0,0.0
8465569ffffffff,2.0,0.0,0.0
846556bffffffff,19.0,0.0,0.0
8465803ffffffff,16.0,0.0,0.0
8465b0dffffffff,2.0,0.0,0.0
8465b61ffffffff,107.0,0.0,1.0
8465b65ffffffff,33.0,0.0,1.0
8465b67ffffffff,132.0,0.0,2.0
8465b6bffffffff,6.0,0.0,0.0
8469345ffffffff,1.0,0.0,0.0
846934dffffffff,22.0,0.0,0.0
848cd0bffffffff,54.0,1.0,0.0
