cell_id,Momotus subrufescens,Momotus subrufescens [subrufescens Group],Momotus subrufescens argenticinctus
8466021ffffffff,22.0,0.0,0.0
8466023ffffffff,39.0,0.0,0.0
8466025ffffffff,47.0,0.0,0.0
8466027ffffffff,16.0,0.0,0.0
846602bffffffff,22.0,0.0,0.0
846602dffffffff,2.0,0.0,0.0
8466033ffffffff,2.0,0.0,0.0
846603dffffffff,4.0,0.0,0.0
8466045ffffffff,81.0,0.0,0.0
846605bffffffff,1.0,0.0,0.0
8466061ffffffff,1.0,0.0,0.0
8466063ffffffff,5.0,0.0,0.0
8466067ffffffff,5.0,0.0,0.0
8466069ffffffff,1.0,0.0,0.0
846606bffffffff,33.0,0.0,0.0
8466081ffffffff,163.0,0.0,0.0
8466087ffffffff,5.0,0.0,0.0
8466089ffffffff,21.0,0.0,0.0
846608bffffffff,4.0,0.0,0.0
846608dffffffff,50.0,0.0,0.0
84660a1ffffffff,9.0,0.0,0.0
84660a5ffffffff,8.0,0.0,0.0
84660a7ffffffff,21.0,0.0,0.0
84660a9ffffffff,4.0,0.0,0.0
84660adffffffff,4.0,0.0,0.0
84660c5ffffffff,8.0,0.0,0.0
84660e1ffffffff,31.0,0.0,0.0
84660e3ffffffff,24.0,0.0,0.0
84660e5ffffffff,3.0,0.0,0.0
84660e7ffffffff,32.0,0.0,0.0
84660e9ffffffff,6.0,0.0,0.0
84660ebffffffff,80.0,0.0,0.0
8466101ffffffff,3.0,0.0,0.0
8466103ffffffff,4.0,0.0,0.0
8466105ffffffff,27.0,5.0,0.0
8466107ffffffff,996.0,153.0,0.0
846610bffffffff,1.0,0.0,0.0
846610dffffffff,4.0,0.0,0.0
8466113ffffffff,22.0,0.0,0.0
8466117ffffffff,27.0,0.0,0.0
8466119ffffffff,27.0,0.0,0.0
846611bffffffff,1.0,0.0,0.0
846611dffffffff,3.0,0.0,0.0
8466123ffffffff,2.0,0.0,0.0
8466129ffffffff,60.0,11.0,0.0
8466131ffffffff,9.0,8.0,0.0
8466139ffffffff,416.0,44.0,0.0
846613bffffffff,3.0,0.0,0.0
846613dffffffff,17.0,2.0,0.0
8466153ffffffff,34.0,0.0,0.0
846615bffffffff,21.0,0.0,0.0
8466163ffffffff,847.0,119.0,0.0
8466165ffffffff,55.0,8.0,0.0
8466167ffffffff,48.0,3.0,0.0
8466183ffffffff,3.0,0.0,0.0
8466189ffffffff,2.0,0.0,0.0
846618bffffffff,3.0,0.0,0.0
8466193ffffffff,161.0,0.0,0.0
8466195ffffffff,2.0,0.0,0.0
8466197ffffffff,1.0,0.0,0.0
8466199ffffffff,9.0,0.0,0.0
846619bffffffff,45.0,0.0,0.0
846619dffffffff,1.0,0.0,0.0
84661a5ffffffff,10.0,0.0,0.0
84661a7ffffffff,2.0,0.0,0.0
84661b3ffffffff,2.0,0.0,0.0
84661b9ffffffff,1.0,0.0,0.0
84661bbffffffff,10.0,0.0,0.0
84661c3ffffffff,1.0,0.0,0.0
84661c5ffffffff,3.0,0.0,0.0
84661c9ffffffff,2.0,0.0,0.0
84661cbffffffff,7.0,0.0,0.0
84661cdffffffff,11.0,0.0,0.0
84661d1ffffffff,4.0,0.0,0.0
84661d3ffffffff,8.0,0.0,0.0
84661ebffffffff,168.0,0.0,0.0
8466201ffffffff,67.0,15.0,0.0
8466203ffffffff,91.0,7.0,0.0
8466205ffffffff,258.0,36.0,0.0
8466207ffffffff,15.0,5.0,0.0
846620bffffffff,38.0,3.0,0.0
8466211ffffffff,8.0,0.0,0.0
8466213ffffffff,7.0,0.0,0.0
8466217ffffffff,120.0,0.0,0.0
8466219ffffffff,41.0,0.0,0.0
846621dffffffff,11.0,0.0,0.0
8466221ffffffff,10.0,0.0,0.0
8466225ffffffff,147.0,4.0,0.0
8466227ffffffff,114.0,0.0,0.0
846622bffffffff,1399.0,181.0,0.0
8466231ffffffff,4.0,0.0,0.0
846623bffffffff,21.0,0.0,0.0
846623dffffffff,3.0,0.0,0.0
84662bdffffffff,1.0,0.0,0.0
84662cdffffffff,3.0,0.0,0.0
84662d3ffffffff,4.0,0.0,0.0
84662e5ffffffff,13.0,0.0,0.0
84662edffffffff,3.0,0.0,0.0
8466311ffffffff,13.0,0.0,0.0
8466313ffffffff,274.0,3.0,0.0
846631bffffffff,73.0,0.0,0.0
8466a51ffffffff,4438.0,556.0,0.0
8466a53ffffffff,6.0,0.0,0.0
8466a55ffffffff,5.0,0.0,0.0
8466a59ffffffff,23.0,1.0,0.0
8466a5bffffffff,82.0,8.0,0.0
8466a5dffffffff,27.0,10.0,0.0
8466c41ffffffff,2.0,0.0,0.0
8466c45ffffffff,1.0,0.0,0.0
8466c47ffffffff,1.0,0.0,0.0
8466c49ffffffff,15.0,0.0,0.0
8466c4dffffffff,2.0,0.0,0.0
8466c6dffffffff,6.0,0.0,0.0
8466d05ffffffff,2.0,0.0,0.0
8466d21ffffffff,12.0,0.0,0.0
8466d23ffffffff,8.0,0.0,0.0
8466d25ffffffff,9.0,0.0,0.0
8466d27ffffffff,1.0,0.0,0.0
8466e01ffffffff,2.0,0.0,0.0
8466e05ffffffff,15.0,0.0,0.0
8466e09ffffffff,7.0,0.0,0.0
8466e0dffffffff,171.0,6.0,0.0
8466e23ffffffff,9.0,0.0,0.0
8466e27ffffffff,4.0,0.0,0.0
8466e29ffffffff,27.0,0.0,0.0
8466e2bffffffff,2.0,0.0,0.0
8466e45ffffffff,207.0,3.0,0.0
8466e47ffffffff,9.0,0.0,0.0
8466e49ffffffff,2.0,0.0,0.0
8466e4bffffffff,1.0,0.0,0.0
8466e4dffffffff,1.0,0.0,0.0
8466e63ffffffff,47.0,0.0,0.0
8466e67ffffffff,12.0,0.0,0.0
8466e69ffffffff,43.0,0.0,0.0
8466e6bffffffff,36.0,0.0,0.0
8466e6dffffffff,14.0,0.0,0.0
8466f17ffffffff,1.0,0.0,0.0
8467423ffffffff,2.0,0.0,0.0
846743dffffffff,2.0,0.0,0.0
84674edffffffff,1.0,0.0,0.0
8467531ffffffff,1.0,0.0,0.0
8467535ffffffff,69.0,0.0,0.0
8467537ffffffff,12.0,0.0,0.0
8467539ffffffff,7.0,0.0,0.0
846756bffffffff,7.0,1.0,0.0
84675c1ffffffff,3.0,0.0,0.0
84675c7ffffffff,9.0,0.0,0.0
84675cbffffffff,9.0,0.0,0.0
848f08bffffffff,25.0,0.0,3.0
848f093ffffffff,5.0,0.0,0.0
848f099ffffffff,51.0,0.0,10.0
848f0d1ffffffff,85.0,0.0,7.0
848f0d3ffffffff,468.0,0.0,46.0
848f0d5ffffffff,20.0,0.0,1.0
848f0d7ffffffff,2.0,0.0,0.0
848f0d9ffffffff,2.0,0.0,0.0
848f0dbffffffff,96.0,0.0,17.0
848f0ddffffffff,10.0,0.0,0.0
848f213ffffffff,1.0,0.0,0.0
848f285ffffffff,8.0,0.0,2.0
848f287ffffffff,29.0,0.0,0.0
848f289ffffffff,4.0,0.0,2.0
848f28bffffffff,1.0,0.0,0.0
848f28dffffffff,85.0,0.0,5.0
848f295ffffffff,39.0,0.0,5.0
848f2a1ffffffff,7.0,0.0,0.0
848f2a9ffffffff,204.0,0.0,10.0
848f2abffffffff,57.0,0.0,0.0
848f2b3ffffffff,10.0,0.0,0.0
848f2b9ffffffff,74.0,0.0,4.0
848f2bbffffffff,22.0,0.0,0.0
848f2bdffffffff,80.0,0.0,3.0
848f2c3ffffffff,8.0,0.0,0.0
848f2c5ffffffff,2.0,0.0,0.0
848f2c7ffffffff,1.0,0.0,0.0
848f2cdffffffff,72.0,0.0,0.0
848f2d5ffffffff,3.0,0.0,1.0
848f2e3ffffffff,132.0,0.0,12.0
848f2e7ffffffff,9.0,0.0,0.0
848f2ebffffffff,26.0,0.0,0.0
848f509ffffffff,9.0,0.0,0.0
848f50dffffffff,44.0,0.0,0.0
848f545ffffffff,66.0,0.0,15.0
848f547ffffffff,14.0,0.0,3.0
848f54dffffffff,19.0,0.0,8.0
848f721ffffffff,2.0,0.0,0.0
848f72dffffffff,43.0,0.0,8.0
848f765ffffffff,1.0,0.0,0.0
