cell_id,Conirostrum cinereum,Conirostrum cinereum fraseri,Conirostrum cinereum cinereum/littorale
8466c61ffffffff,3.0,0.0,0.0
8466c69ffffffff,9.0,0.0,0.0
8466d19ffffffff,7.0,0.0,0.0
8466d1dffffffff,13.0,0.0,0.0
8466d33ffffffff,13.0,9.0,0.0
8466d53ffffffff,26.0,0.0,0.0
848e459ffffffff,2.0,0.0,0.0
848e621ffffffff,2.0,0.0,0.0
848e62dffffffff,1.0,0.0,0.0
848e663ffffffff,2.0,0.0,0.0
848e665ffffffff,3.0,0.0,0.0
848f597ffffffff,4.0,0.0,0.0
848f5bdffffffff,1.0,0.0,0.0
848f5cdffffffff,1.0,0.0,1.0
84b3001ffffffff,2.0,0.0,2.0
84b3009ffffffff,5.0,0.0,2.0
84b3047ffffffff,4.0,0.0,2.0
84b30a7ffffffff,3.0,0.0,0.0
84b3201ffffffff,1.0,0.0,0.0
84b3209ffffffff,2.0,0.0,0.0
84b3355ffffffff,4.0,0.0,0.0
