cell_id,Dubusia taeniata,Dubusia taeniata carrikeri,Dubusia taeniata taeniata,Dubusia taeniata stictocephala
82660ffffffffff,286.0,0.0,4.0,0.0
82661ffffffffff,327.0,0.0,5.0,0.0
826627fffffffff,510.0,106.0,0.0,0.0
82662ffffffffff,42.0,0.0,5.0,0.0
8266c7fffffffff,63.0,0.0,0.0,0.0
8266d7fffffffff,820.0,0.0,125.0,0.0
8266dffffffffff,584.0,0.0,93.0,0.0
8266e7fffffffff,3500.0,0.0,118.0,0.0
8266f7fffffffff,68.0,0.0,0.0,0.0
82675ffffffffff,15.0,0.0,0.0,0.0
828b67fffffffff,23.0,0.0,0.0,0.0
828b6ffffffffff,9.0,0.0,0.0,0.0
828e67fffffffff,61.0,0.0,0.0,0.0
828e6ffffffffff,4.0,0.0,0.0,0.0
828f2ffffffffff,113.0,0.0,8.0,0.0
828f47fffffffff,14.0,0.0,0.0,0.0
828f4ffffffffff,4.0,0.0,0.0,0.0
828f57fffffffff,68.0,0.0,0.0,0.0
828f5ffffffffff,98.0,0.0,0.0,9.0
828f77fffffffff,387.0,0.0,34.0,0.0
