cell_id,Urocissa whiteheadi,Urocissa whiteheadi xanthomelana,Urocissa whiteheadi whiteheadi
844052dffffffff,1.0,0.0,0.0
8440e5bffffffff,1.0,0.0,0.0
8441417ffffffff,1.0,0.0,0.0
8441425ffffffff,1.0,0.0,0.0
8441431ffffffff,2.0,0.0,0.0
8441433ffffffff,47.0,13.0,0.0
844143bffffffff,36.0,4.0,0.0
8441503ffffffff,1.0,0.0,0.0
8441517ffffffff,6.0,0.0,0.0
8441531ffffffff,4.0,0.0,0.0
8441533ffffffff,2.0,0.0,0.0
844153bffffffff,1.0,0.0,0.0
844158dffffffff,5.0,0.0,0.0
84415a9ffffffff,3.0,0.0,0.0
84415e1ffffffff,2.0,0.0,0.0
84415e7ffffffff,1.0,0.0,0.0
84415e9ffffffff,3.0,1.0,0.0
84415edffffffff,113.0,21.0,0.0
844160bffffffff,1.0,0.0,0.0
8441617ffffffff,4.0,0.0,0.0
844161dffffffff,1.0,0.0,0.0
8441651ffffffff,2.0,1.0,0.0
8441655ffffffff,13.0,2.0,0.0
8441659ffffffff,7.0,1.0,0.0
844165bffffffff,2.0,0.0,0.0
84416e1ffffffff,6.0,0.0,0.0
84416e5ffffffff,2.0,2.0,0.0
84416e7ffffffff,2.0,0.0,0.0
84416edffffffff,6.0,6.0,0.0
8441715ffffffff,1.0,0.0,1.0
8441719ffffffff,45.0,0.0,22.0
844171dffffffff,1.0,0.0,0.0
846592dffffffff,1.0,0.0,0.0
8469341ffffffff,5.0,0.0,0.0
8469345ffffffff,21.0,5.0,0.0
8469347ffffffff,1.0,0.0,0.0
8469349ffffffff,1.0,0.0,0.0
846934dffffffff,3.0,0.0,0.0
