cell_id,Anarhynchus nivosus,Anarhynchus nivosus nivosus,Anarhynchus nivosus occidentalis
82125ffffffffff,1.0,0.0,0.0
8212c7fffffffff,4.0,0.0,0.0
8212cffffffffff,8.0,0.0,0.0
8212d7fffffffff,8.0,0.0,0.0
8212effffffffff,2.0,0.0,0.0
821387fffffffff,1.0,0.0,0.0
822607fffffffff,7.0,0.0,0.0
82260ffffffffff,8.0,0.0,0.0
82261ffffffffff,6.0,0.0,0.0
822627fffffffff,4.0,0.0,0.0
822647fffffffff,13.0,0.0,0.0
82264ffffffffff,4.0,0.0,0.0
822657fffffffff,18.0,0.0,0.0
82265ffffffffff,7.0,0.0,0.0
822667fffffffff,97.0,0.0,0.0
822677fffffffff,8.0,0.0,0.0
822687fffffffff,41.0,0.0,0.0
82268ffffffffff,172.0,0.0,0.0
822697fffffffff,73.0,0.0,0.0
82269ffffffffff,26.0,2.0,0.0
8226a7fffffffff,2.0,0.0,0.0
8226affffffffff,45.0,0.0,0.0
8226c7fffffffff,16.0,0.0,0.0
8226cffffffffff,92.0,2.0,0.0
8226d7fffffffff,11.0,0.0,0.0
8226dffffffffff,88.0,0.0,0.0
8226e7fffffffff,166.0,7.0,0.0
8226effffffffff,2.0,0.0,0.0
8226f7fffffffff,42.0,0.0,0.0
82271ffffffffff,2.0,0.0,0.0
822747fffffffff,2.0,0.0,0.0
82274ffffffffff,10.0,0.0,0.0
82275ffffffffff,11.0,0.0,0.0
822787fffffffff,2.0,0.0,0.0
8227a7fffffffff,2.0,0.0,0.0
822807fffffffff,29.0,2.0,0.0
822817fffffffff,8.0,0.0,0.0
82281ffffffffff,73.0,0.0,0.0
822837fffffffff,485.0,10.0,0.0
822887fffffffff,65.0,0.0,0.0
82288ffffffffff,25.0,0.0,0.0
8228a7fffffffff,20.0,0.0,0.0
8228affffffffff,43.0,0.0,0.0
8228b7fffffffff,38.0,0.0,0.0
8228c7fffffffff,123.0,0.0,0.0
8228d7fffffffff,29.0,0.0,0.0
8228dffffffffff,29.0,0.0,0.0
8228f7fffffffff,254.0,0.0,0.0
822917fffffffff,13.0,2.0,0.0
82291ffffffffff,1.0,0.0,0.0
822987fffffffff,10.0,0.0,0.0
82298ffffffffff,28.0,0.0,0.0
822997fffffffff,15.0,0.0,0.0
8229a7fffffffff,223.0,7.0,0.0
8229affffffffff,99.0,3.0,0.0
8229b7fffffffff,96.0,0.0,0.0
822a37fffffffff,2.0,0.0,0.0
822aaffffffffff,17.0,4.0,0.0
822ab7fffffffff,48.0,0.0,0.0
822ad7fffffffff,18.0,0.0,0.0
822b0ffffffffff,2.0,0.0,0.0
822b8ffffffffff,26.0,0.0,0.0
822b9ffffffffff,4.0,0.0,0.0
824417fffffffff,130.0,0.0,0.0
82441ffffffffff,430.0,10.0,0.0
824447fffffffff,5.0,0.0,0.0
824457fffffffff,71.0,0.0,0.0
82445ffffffffff,11.0,0.0,0.0
824467fffffffff,107.0,0.0,0.0
82446ffffffffff,82.0,0.0,0.0
824477fffffffff,28.0,0.0,0.0
824487fffffffff,2.0,0.0,0.0
8244a7fffffffff,17.0,0.0,0.0
8244affffffffff,3.0,0.0,0.0
8244d7fffffffff,24.0,0.0,0.0
8244e7fffffffff,68.0,0.0,0.0
8244f7fffffffff,109.0,1.0,0.0
824507fffffffff,47.0,0.0,0.0
82450ffffffffff,7.0,1.0,0.0
824527fffffffff,2.0,0.0,0.0
824537fffffffff,20.0,0.0,0.0
824577fffffffff,1.0,1.0,0.0
82458ffffffffff,4.0,0.0,0.0
82459ffffffffff,18.0,0.0,0.0
824817fffffffff,12.0,0.0,0.0
