cell_id,Columba palumbus,Columba palumbus [palumbus Group],Columba palumbus casiotis
830126fffffffff,1.0,0.0,0.0
830130fffffffff,1.0,0.0,0.0
830131fffffffff,2.0,0.0,0.0
830134fffffffff,4.0,2.0,0.0
830135fffffffff,7.0,0.0,0.0
830802fffffffff,17.0,0.0,0.0
830803fffffffff,7.0,0.0,0.0
830806fffffffff,33.0,0.0,0.0
830810fffffffff,10.0,0.0,0.0
830811fffffffff,7.0,0.0,0.0
830812fffffffff,7.0,1.0,0.0
830813fffffffff,20.0,0.0,0.0
830814fffffffff,2.0,0.0,0.0
830815fffffffff,134.0,0.0,0.0
830816fffffffff,12.0,0.0,0.0
830819fffffffff,6.0,0.0,0.0
83081efffffffff,38.0,0.0,0.0
830828fffffffff,1.0,0.0,0.0
830829fffffffff,4.0,0.0,0.0
83082bfffffffff,4.0,0.0,0.0
830830fffffffff,2.0,0.0,0.0
830832fffffffff,1.0,1.0,0.0
830833fffffffff,11.0,0.0,0.0
830836fffffffff,11.0,0.0,0.0
830880fffffffff,123.0,21.0,0.0
830882fffffffff,41.0,16.0,0.0
830883fffffffff,84.0,1.0,0.0
830884fffffffff,75.0,0.0,0.0
830885fffffffff,13.0,0.0,0.0
830886fffffffff,906.0,273.0,0.0
830888fffffffff,80.0,18.0,0.0
830889fffffffff,6.0,0.0,0.0
83088afffffffff,39.0,17.0,0.0
83088bfffffffff,4.0,0.0,0.0
83088dfffffffff,1.0,1.0,0.0
83088efffffffff,78.0,70.0,0.0
830890fffffffff,24.0,0.0,0.0
830893fffffffff,67.0,1.0,0.0
830895fffffffff,158.0,93.0,0.0
830896fffffffff,40.0,0.0,0.0
830898fffffffff,71.0,0.0,0.0
830899fffffffff,699.0,142.0,0.0
83089afffffffff,286.0,2.0,0.0
83089bfffffffff,127.0,4.0,0.0
83089cfffffffff,15.0,0.0,0.0
83089dfffffffff,427.0,5.0,0.0
83089efffffffff,127.0,0.0,0.0
8308a0fffffffff,6.0,0.0,0.0
8308a1fffffffff,5.0,0.0,0.0
8308a2fffffffff,6.0,0.0,0.0
8308a3fffffffff,14.0,0.0,0.0
8308a4fffffffff,83.0,18.0,0.0
8308a5fffffffff,8.0,0.0,0.0
8308a6fffffffff,32.0,6.0,0.0
8308a8fffffffff,3.0,0.0,0.0
8308a9fffffffff,3.0,0.0,0.0
8308adfffffffff,2.0,0.0,0.0
8308aefffffffff,2.0,0.0,0.0
8308b0fffffffff,55.0,4.0,0.0
8308b1fffffffff,160.0,0.0,0.0
8308b2fffffffff,2.0,0.0,0.0
8308b3fffffffff,86.0,0.0,0.0
8308b4fffffffff,28.0,2.0,0.0
8308b5fffffffff,14.0,0.0,0.0
8308b6fffffffff,29.0,0.0,0.0
8308c0fffffffff,9.0,0.0,0.0
8308c1fffffffff,1.0,0.0,0.0
8308c2fffffffff,24.0,7.0,0.0
8308c3fffffffff,16.0,0.0,0.0
8308c6fffffffff,4.0,0.0,0.0
8308c8fffffffff,12.0,0.0,0.0
8308c9fffffffff,16.0,4.0,0.0
8308ccfffffffff,1.0,0.0,0.0
8308cdfffffffff,3.0,0.0,0.0
8308cefffffffff,5.0,2.0,0.0
8308d0fffffffff,10.0,2.0,0.0
8308d1fffffffff,95.0,1.0,0.0
8308d2fffffffff,5.0,0.0,0.0
8308d3fffffffff,21.0,2.0,0.0
8308d4fffffffff,15.0,0.0,0.0
8308d5fffffffff,31.0,4.0,0.0
8308d8fffffffff,65.0,3.0,0.0
8308dafffffffff,2.0,0.0,0.0
8308ddfffffffff,7.0,2.0,0.0
8308defffffffff,4.0,1.0,0.0
8308e6fffffffff,1.0,0.0,0.0
8308e9fffffffff,2.0,0.0,0.0
8308eafffffffff,2.0,2.0,0.0
8308edfffffffff,5.0,0.0,0.0
8308f0fffffffff,4.0,0.0,0.0
8308f2fffffffff,12.0,8.0,0.0
8308f4fffffffff,5.0,0.0,0.0
8308f6fffffffff,34.0,0.0,0.0
830958fffffffff,4.0,0.0,0.0
830959fffffffff,7.0,0.0,0.0
83095afffffffff,2.0,0.0,0.0
830980fffffffff,43.0,0.0,0.0
830981fffffffff,78.0,4.0,0.0
