cell_id,Ortygornis sephaena,Ortygornis sephaena rovuma,Ortygornis sephaena [sephaena Group]
846a491ffffffff,2.0,0.0,0.0
846a49bffffffff,1.0,0.0,0.0
846a4a3ffffffff,2.0,0.0,0.0
846a4a9ffffffff,2.0,0.0,0.0
846a4b3ffffffff,26.0,0.0,0.0
846a4bbffffffff,6.0,0.0,0.0
846a581ffffffff,61.0,0.0,0.0
846a583ffffffff,20.0,0.0,0.0
846a587ffffffff,16.0,0.0,0.0
846a5a9ffffffff,115.0,0.0,3.0
846a5abffffffff,24.0,0.0,0.0
846a5adffffffff,2.0,0.0,0.0
846ac0bffffffff,8.0,0.0,2.0
846ac1dffffffff,9.0,0.0,4.0
846ac31ffffffff,13.0,0.0,3.0
846ac33ffffffff,2.0,0.0,0.0
846ac35ffffffff,13.0,0.0,0.0
846ac3dffffffff,216.0,0.0,35.0
846ac53ffffffff,1.0,0.0,0.0
846ac89ffffffff,13.0,0.0,5.0
846ac9bffffffff,4.0,0.0,0.0
846accbffffffff,2.0,0.0,0.0
846acd1ffffffff,2.0,0.0,0.0
846ace3ffffffff,1.0,0.0,0.0
846ace5ffffffff,649.0,0.0,58.0
846ad8bffffffff,1.0,0.0,0.0
846adc1ffffffff,4.0,0.0,0.0
846adc9ffffffff,8.0,0.0,1.0
846add5ffffffff,2.0,0.0,0.0
846add7ffffffff,4.0,0.0,0.0
846ae85ffffffff,81.0,0.0,0.0
846aea1ffffffff,13.0,0.0,0.0
846aea3ffffffff,31.0,0.0,0.0
846aea9ffffffff,24.0,0.0,7.0
846aeabffffffff,5.0,0.0,0.0
846aeb5ffffffff,3.0,0.0,0.0
846aeb7ffffffff,1.0,0.0,0.0
846aee3ffffffff,58.0,0.0,7.0
846aee7ffffffff,1.0,0.0,0.0
847a401ffffffff,119.0,0.0,0.0
847a403ffffffff,53.0,0.0,0.0
847a405ffffffff,23.0,0.0,0.0
847a407ffffffff,252.0,0.0,0.0
847a40bffffffff,33.0,0.0,0.0
847a40dffffffff,52.0,0.0,0.0
847a413ffffffff,159.0,0.0,1.0
847a415ffffffff,1.0,0.0,0.0
847a419ffffffff,2.0,0.0,0.0
847a41bffffffff,15.0,0.0,0.0
847a41dffffffff,130.0,0.0,0.0
847a43bffffffff,4.0,0.0,0.0
847a457ffffffff,11.0,0.0,0.0
847a459ffffffff,3.0,0.0,0.0
847a45dffffffff,12.0,0.0,0.0
847a46dffffffff,3.0,0.0,0.0
847a481ffffffff,26.0,0.0,0.0
847a483ffffffff,2.0,0.0,0.0
847a485ffffffff,6.0,0.0,0.0
847a489ffffffff,9.0,0.0,0.0
847a48dffffffff,2.0,0.0,0.0
847a4b1ffffffff,9.0,0.0,0.0
847a4b5ffffffff,2.0,0.0,0.0
847a4b7ffffffff,9.0,0.0,1.0
847a4c1ffffffff,9.0,0.0,0.0
847a4cdffffffff,7.0,0.0,0.0
847a4d1ffffffff,34.0,0.0,0.0
847a4dbffffffff,7.0,0.0,0.0
847a4e3ffffffff,14.0,0.0,0.0
847a4e9ffffffff,2.0,0.0,0.0
847a533ffffffff,9.0,0.0,0.0
847a537ffffffff,1.0,0.0,0.0
847a59bffffffff,2.0,0.0,0.0
847a5a5ffffffff,7.0,0.0,0.0
847a5adffffffff,8.0,0.0,0.0
847a5c5ffffffff,1.0,0.0,0.0
847a5e1ffffffff,2.0,0.0,0.0
847a601ffffffff,14.0,0.0,0.0
847a603ffffffff,7.0,0.0,0.0
847a609ffffffff,281.0,0.0,0.0
847a60bffffffff,53.0,0.0,0.0
847a611ffffffff,42.0,0.0,0.0
847a613ffffffff,5.0,0.0,0.0
847a615ffffffff,36.0,0.0,0.0
847a617ffffffff,2.0,0.0,0.0
847a619ffffffff,22.0,0.0,0.0
847a61bffffffff,7.0,0.0,0.0
847a61dffffffff,119.0,0.0,0.0
847a633ffffffff,2.0,0.0,0.0
847a63bffffffff,5.0,0.0,0.0
847a641ffffffff,112.0,0.0,0.0
847a643ffffffff,39.0,0.0,0.0
847a647ffffffff,31.0,0.0,0.0
847a651ffffffff,10.0,0.0,0.0
847a653ffffffff,13.0,0.0,0.0
847a655ffffffff,12.0,0.0,0.0
847a657ffffffff,13.0,0.0,0.0
847a659ffffffff,56.0,0.0,0.0
847a65bffffffff,17.0,0.0,0.0
847a65dffffffff,27.0,0.0,0.0
847a669ffffffff,5.0,0.0,0.0
847a66bffffffff,6.0,0.0,0.0
847a66dffffffff,6.0,0.0,0.0
847a681ffffffff,72.0,0.0,0.0
847a683ffffffff,28.0,0.0,0.0
847a689ffffffff,8.0,0.0,0.0
847a68bffffffff,10.0,0.0,0.0
847a6a1ffffffff,5.0,0.0,0.0
847a6a5ffffffff,5.0,0.0,0.0
847a6adffffffff,4.0,0.0,0.0
847a6b3ffffffff,3.0,0.0,0.0
847a6c3ffffffff,3.0,0.0,0.0
847a6c5ffffffff,5.0,0.0,0.0
847a6c9ffffffff,3.0,0.0,0.0
847a6d1ffffffff,72.0,0.0,0.0
847a6d3ffffffff,7.0,0.0,0.0
847a6d7ffffffff,2.0,0.0,0.0
847a6d9ffffffff,6.0,0.0,0.0
847a6dbffffffff,2.0,0.0,0.0
847a6e1ffffffff,8.0,0.0,0.0
847a6e5ffffffff,140.0,0.0,0.0
847a6e7ffffffff,6.0,0.0,0.0
847a6e9ffffffff,3.0,0.0,0.0
847a6ebffffffff,10.0,0.0,0.0
847a6edffffffff,23.0,0.0,0.0
847a749ffffffff,1.0,0.0,0.0
847a759ffffffff,3.0,0.0,0.0
847ac15ffffffff,2.0,0.0,0.0
847ac81ffffffff,38.0,0.0,0.0
847ac8bffffffff,54.0,0.0,5.0
847acc5ffffffff,3.0,0.0,0.0
847accdffffffff,3.0,0.0,0.0
847acd5ffffffff,21.0,0.0,2.0
847acd7ffffffff,1.0,0.0,0.0
847ad91ffffffff,15.0,0.0,0.0
847ad93ffffffff,5.0,0.0,2.0
847ad95ffffffff,12.0,0.0,0.0
847ad97ffffffff,5.0,0.0,2.0
847ad99ffffffff,95.0,0.0,13.0
847ad9dffffffff,6.0,0.0,0.0
847ae81ffffffff,17.0,0.0,0.0
847ae85ffffffff,11.0,0.0,0.0
847ae87ffffffff,18.0,0.0,0.0
847ae8bffffffff,3.0,0.0,0.0
847ae91ffffffff,7.0,0.0,0.0
847ae93ffffffff,4.0,0.0,0.0
847ae95ffffffff,2.0,0.0,0.0
847ae99ffffffff,21.0,0.0,5.0
847ae9bffffffff,44.0,0.0,2.0
847aea3ffffffff,12.0,0.0,2.0
847aea7ffffffff,8.0,0.0,0.0
847aeabffffffff,20.0,0.0,0.0
847aebdffffffff,3.0,0.0,0.0
847aed9ffffffff,3.0,0.0,0.0
847aedbffffffff,1.0,0.0,0.0
847aee3ffffffff,3.0,0.0,0.0
847b4a1ffffffff,3.0,0.0,0.0
847b4a5ffffffff,2.0,0.0,0.0
847b4a7ffffffff,2.0,0.0,0.0
847b4b3ffffffff,6.0,0.0,0.0
847b4b7ffffffff,13.0,0.0,0.0
847b4d3ffffffff,2.0,0.0,0.0
847b595ffffffff,28.0,0.0,0.0
847b597ffffffff,42.0,0.0,0.0
847b59bffffffff,5.0,0.0,0.0
847b5b1ffffffff,4.0,0.0,0.0
847b5b3ffffffff,2.0,0.0,0.0
847b5b5ffffffff,2.0,0.0,0.0
847b5bbffffffff,2.0,0.0,0.0
847b6bbffffffff,7.0,0.0,0.0
848320dffffffff,3.0,0.0,0.0
8496201ffffffff,20.0,0.0,2.0
8496203ffffffff,3.0,0.0,0.0
8496207ffffffff,30.0,0.0,5.0
8496215ffffffff,2.0,0.0,0.0
8496219ffffffff,8.0,0.0,6.0
849621dffffffff,5.0,0.0,0.0
849622bffffffff,1.0,0.0,0.0
8496263ffffffff,20.0,0.0,0.0
8496267ffffffff,2.0,0.0,0.0
8496283ffffffff,3.0,0.0,3.0
84962c5ffffffff,2.0,0.0,0.0
84962c9ffffffff,6.0,0.0,0.0
84962d1ffffffff,2.0,0.0,1.0
84962d7ffffffff,6.0,0.0,4.0
84962e5ffffffff,2.0,0.0,2.0
8496325ffffffff,1.0,0.0,0.0
849662bffffffff,1.0,0.0,0.0
8496861ffffffff,2.0,0.0,0.0
8496905ffffffff,38.0,0.0,2.0
8496907ffffffff,290.0,0.0,2.0
8496921ffffffff,14.0,0.0,0.0
8496923ffffffff,2.0,0.0,0.0
8496925ffffffff,151.0,0.0,7.0
8496927ffffffff,2.0,0.0,0.0
849692bffffffff,226.0,0.0,9.0
849692dffffffff,50.0,0.0,0.0
8496931ffffffff,3.0,0.0,0.0
8496933ffffffff,1.0,0.0,0.0
8496935ffffffff,7.0,0.0,0.0
8496937ffffffff,2.0,0.0,0.0
849693dffffffff,63.0,0.0,0.0
84969a5ffffffff,7.0,0.0,0.0
8496a03ffffffff,2.0,0.0,0.0
8496a27ffffffff,21.0,0.0,0.0
8496b01ffffffff,5.0,0.0,0.0
8496b13ffffffff,31.0,0.0,0.0
8496b19ffffffff,13.0,0.0,0.0
8496b1bffffffff,41.0,0.0,0.0
8496b53ffffffff,5.0,0.0,0.0
8496b61ffffffff,5.0,0.0,0.0
8496b63ffffffff,7.0,0.0,0.0
8496b6dffffffff,6.0,0.0,0.0
8497015ffffffff,2.0,0.0,0.0
849703bffffffff,1.0,0.0,0.0
8497053ffffffff,4.0,0.0,0.0
8497057ffffffff,6.0,0.0,0.0
8497069ffffffff,4.0,0.0,0.0
84970c5ffffffff,3.0,0.0,0.0
84970d3ffffffff,4.0,0.0,0.0
8497101ffffffff,6.0,0.0,0.0
8497103ffffffff,4.0,4.0,0.0
8497107ffffffff,10.0,0.0,0.0
8497119ffffffff,14.0,0.0,0.0
849711dffffffff,5.0,0.0,0.0
8497139ffffffff,5.0,0.0,0.0
8497151ffffffff,5.0,0.0,0.0
849721bffffffff,24.0,0.0,12.0
8497245ffffffff,1.0,0.0,0.0
8497253ffffffff,10.0,0.0,0.0
849728bffffffff,3.0,0.0,0.0
849728dffffffff,111.0,0.0,28.0
8497291ffffffff,20.0,0.0,0.0
8497295ffffffff,2.0,0.0,0.0
8497297ffffffff,4.0,0.0,0.0
8497299ffffffff,3.0,0.0,0.0
849729bffffffff,2.0,0.0,0.0
84972a5ffffffff,2.0,0.0,0.0
84972c1ffffffff,3.0,0.0,0.0
84972c5ffffffff,124.0,0.0,31.0
84972c9ffffffff,31.0,0.0,1.0
84972cdffffffff,69.0,0.0,15.0
84972d5ffffffff,3.0,0.0,2.0
84972d7ffffffff,7.0,0.0,1.0
84972d9ffffffff,7.0,0.0,3.0
84972e3ffffffff,88.0,0.0,18.0
84972ebffffffff,70.0,0.0,20.0
8497313ffffffff,4.0,0.0,0.0
8497317ffffffff,1.0,0.0,0.0
8497357ffffffff,2.0,0.0,0.0
8497359ffffffff,2.0,0.0,0.0
8497405ffffffff,1.0,0.0,0.0
8497409ffffffff,1.0,0.0,0.0
849740bffffffff,2.0,0.0,0.0
8497411ffffffff,4.0,0.0,0.0
8497415ffffffff,14.0,0.0,0.0
