cell_id,Emberiza capensis,Emberiza capensis [capensis Group],Emberiza capensis vincenti
839702fffffffff,17.0,0.0,0.0
839703fffffffff,3.0,0.0,0.0
839719fffffffff,1.0,0.0,0.0
839729fffffffff,1.0,0.0,0.0
839772fffffffff,3.0,0.0,0.0
83978efffffffff,9.0,0.0,9.0
8397a8fffffffff,5.0,0.0,5.0
8397abfffffffff,2.0,0.0,2.0
8397acfffffffff,1.0,0.0,1.0
83ac80fffffffff,4.0,0.0,0.0
83ac81fffffffff,8.0,0.0,0.0
83ac85fffffffff,6.0,0.0,0.0
83ac86fffffffff,6.0,0.0,0.0
83aca0fffffffff,5.0,0.0,0.0
83aca1fffffffff,93.0,1.0,0.0
83aca2fffffffff,3.0,0.0,0.0
83aca3fffffffff,171.0,0.0,0.0
83aca4fffffffff,54.0,4.0,0.0
83aca5fffffffff,19.0,0.0,0.0
83aca6fffffffff,89.0,0.0,0.0
83acaafffffffff,10.0,0.0,0.0
83acaefffffffff,11.0,0.0,0.0
83acb1fffffffff,1.0,0.0,0.0
83ad12fffffffff,48.0,0.0,0.0
83ad16fffffffff,4.0,0.0,0.0
83ad32fffffffff,514.0,3.0,0.0
83ad36fffffffff,603.0,9.0,0.0
83ad85fffffffff,2.0,0.0,0.0
83ad88fffffffff,4.0,0.0,0.0
83ad8bfffffffff,2.0,0.0,0.0
83ada0fffffffff,12.0,0.0,0.0
83ada1fffffffff,27.0,0.0,0.0
83ada2fffffffff,32.0,1.0,0.0
83ada3fffffffff,2.0,1.0,0.0
83ada4fffffffff,18.0,1.0,0.0
83ada5fffffffff,6.0,0.0,0.0
83ada6fffffffff,3.0,0.0,0.0
83ada8fffffffff,6.0,0.0,0.0
83adaafffffffff,13.0,0.0,0.0
83adabfffffffff,3.0,0.0,0.0
83adacfffffffff,9.0,0.0,0.0
83adaefffffffff,4.0,0.0,0.0
83adb0fffffffff,3.0,0.0,0.0
83adb4fffffffff,2.0,0.0,0.0
83adb5fffffffff,1.0,0.0,0.0
83bc09fffffffff,4.0,0.0,0.0
83bc40fffffffff,127.0,1.0,0.0
83bc41fffffffff,44.0,0.0,0.0
83bc42fffffffff,2.0,0.0,0.0
83bc43fffffffff,132.0,0.0,0.0
83bc44fffffffff,1.0,0.0,0.0
83bc45fffffffff,3.0,0.0,0.0
83bc46fffffffff,3.0,0.0,0.0
83bc48fffffffff,45.0,0.0,0.0
83bc49fffffffff,117.0,0.0,0.0
83bc4afffffffff,5.0,0.0,0.0
83bc4bfffffffff,68.0,1.0,0.0
83bc4cfffffffff,6.0,0.0,0.0
83bc4dfffffffff,476.0,3.0,0.0
83bc4efffffffff,10.0,0.0,0.0
83bc50fffffffff,11.0,0.0,0.0
83bc51fffffffff,5.0,0.0,0.0
83bc55fffffffff,16.0,0.0,0.0
83bc56fffffffff,2.0,0.0,0.0
83bc59fffffffff,1.0,0.0,0.0
83bc5cfffffffff,6.0,0.0,0.0
83bc5dfffffffff,2.0,0.0,0.0
83bc68fffffffff,128.0,0.0,0.0
83bc69fffffffff,586.0,9.0,0.0
83bc6afffffffff,63.0,0.0,0.0
83bc6bfffffffff,100.0,1.0,0.0
83bc73fffffffff,9.0,0.0,0.0
83bcc2fffffffff,22.0,0.0,0.0
83bcc3fffffffff,98.0,3.0,0.0
83bcc4fffffffff,39.0,4.0,0.0
83bcc6fffffffff,76.0,0.0,0.0
83bcd0fffffffff,9.0,0.0,0.0
83bcd1fffffffff,15.0,0.0,0.0
83bcd2fffffffff,13.0,0.0,0.0
83bcd3fffffffff,9.0,0.0,0.0
83bcd4fffffffff,1.0,0.0,0.0
83bcd5fffffffff,5.0,0.0,0.0
83bcd6fffffffff,3.0,0.0,0.0
83bcd8fffffffff,13.0,0.0,0.0
83bcd9fffffffff,2.0,0.0,0.0
83bcdcfffffffff,3.0,0.0,0.0
83bcddfffffffff,3.0,0.0,0.0
83bcdefffffffff,1.0,0.0,0.0
83bce1fffffffff,2.0,0.0,0.0
83bce2fffffffff,408.0,1.0,0.0
83bce3fffffffff,6.0,0.0,0.0
83bce5fffffffff,1.0,0.0,0.0
83bce8fffffffff,2.0,0.0,0.0
83bce9fffffffff,10.0,0.0,0.0
83bceefffffffff,2.0,0.0,0.0
83bcf0fffffffff,6.0,0.0,0.0
83bcf1fffffffff,6.0,0.0,0.0
83bcf2fffffffff,1.0,0.0,0.0
83bcf3fffffffff,105.0,1.0,0.0
83bcf5fffffffff,1.0,0.0,0.0
