cell_id,Chlidonias niger,Chlidonias niger niger,Chlidonias niger surinamensis
820747fffffffff,5.0,5.0,0.0
82075ffffffffff,2.0,0.0,1.0
820777fffffffff,55.0,6.0,0.0
8208d7fffffffff,2.0,0.0,0.0
820997fffffffff,1.0,0.0,0.0
82099ffffffffff,4.0,2.0,0.0
820c67fffffffff,2.0,0.0,0.0
820e4ffffffffff,2.0,0.0,0.0
820e87fffffffff,13.0,0.0,0.0
820ec7fffffffff,4.0,0.0,0.0
820ecffffffffff,38.0,0.0,0.0
820eeffffffffff,106.0,0.0,1.0
820ef7fffffffff,1.0,0.0,0.0
82118ffffffffff,5.0,4.0,0.0
8211affffffffff,4.0,0.0,0.0
82121ffffffffff,9.0,0.0,0.0
821257fffffffff,7.0,0.0,6.0
82125ffffffffff,4.0,0.0,3.0
82128ffffffffff,4.0,0.0,4.0
8212affffffffff,3.0,0.0,0.0
8212c7fffffffff,7.0,0.0,1.0
8212cffffffffff,50.0,0.0,0.0
8212d7fffffffff,38.0,0.0,0.0
8212dffffffffff,47.0,0.0,0.0
8212effffffffff,10.0,0.0,5.0
821387fffffffff,4.0,0.0,0.0
82138ffffffffff,4.0,0.0,2.0
821397fffffffff,2.0,0.0,0.0
821807fffffffff,52.0,46.0,0.0
82182ffffffffff,40.0,25.0,12.0
82184ffffffffff,20.0,3.0,0.0
82185ffffffffff,24.0,2.0,0.0
821877fffffffff,5.0,1.0,0.0
821947fffffffff,10.0,2.0,2.0
82194ffffffffff,15.0,7.0,1.0
821957fffffffff,4.0,1.0,0.0
82195ffffffffff,10.0,0.0,4.0
821977fffffffff,12.0,0.0,8.0
821aa7fffffffff,22.0,0.0,0.0
821ab7fffffffff,2.0,0.0,0.0
821e07fffffffff,19.0,0.0,0.0
821e0ffffffffff,3.0,0.0,0.0
821e17fffffffff,2.0,0.0,0.0
821e27fffffffff,23.0,3.0,0.0
821e2ffffffffff,3.0,0.0,0.0
821e37fffffffff,11.0,0.0,0.0
821e47fffffffff,2.0,0.0,0.0
821e57fffffffff,1.0,0.0,0.0
821e5ffffffffff,4.0,0.0,0.0
821e67fffffffff,2.0,0.0,0.0
821ea7fffffffff,3.0,0.0,0.0
821eaffffffffff,1.0,1.0,0.0
821ec7fffffffff,2.0,0.0,0.0
821ecffffffffff,8.0,0.0,0.0
821eeffffffffff,4.0,1.0,0.0
821f0ffffffffff,16.0,1.0,0.0
821f17fffffffff,2.0,2.0,0.0
821f37fffffffff,1.0,0.0,0.0
821f57fffffffff,2.0,0.0,0.0
821f77fffffffff,3.0,0.0,0.0
821f87fffffffff,5.0,0.0,0.0
821f8ffffffffff,2.0,2.0,0.0
821f9ffffffffff,12.0,0.0,0.0
821faffffffffff,9.0,1.0,0.0
821fb7fffffffff,2.0,0.0,0.0
82200ffffffffff,2.0,0.0,0.0
82201ffffffffff,9.0,0.0,0.0
822157fffffffff,2.0,2.0,0.0
822607fffffffff,19.0,0.0,0.0
82260ffffffffff,33.0,0.0,0.0
822617fffffffff,2.0,0.0,0.0
82261ffffffffff,20.0,0.0,14.0
822627fffffffff,12.0,0.0,2.0
82262ffffffffff,25.0,0.0,0.0
822637fffffffff,23.0,0.0,0.0
822647fffffffff,35.0,0.0,0.0
82264ffffffffff,176.0,0.0,9.0
822657fffffffff,89.0,0.0,0.0
82265ffffffffff,29.0,0.0,0.0
822667fffffffff,115.0,0.0,1.0
82266ffffffffff,35.0,0.0,0.0
822677fffffffff,29.0,0.0,3.0
822687fffffffff,61.0,0.0,0.0
82268ffffffffff,100.0,0.0,0.0
822697fffffffff,72.0,0.0,0.0
82269ffffffffff,68.0,0.0,0.0
8226a7fffffffff,8.0,0.0,0.0
8226affffffffff,133.0,0.0,2.0
8226b7fffffffff,3.0,0.0,0.0
8226c7fffffffff,22.0,0.0,0.0
