cell_id,Anas crecca,Anas crecca crecca,Anas crecca carolinensis,Anas crecca crecca x carolinensis
820157fffffffff,4.0,0.0,0.0,0.0
8206dffffffffff,1.0,0.0,0.0,0.0
820747fffffffff,3.0,0.0,3.0,0.0
820757fffffffff,1.0,0.0,1.0,0.0
82075ffffffffff,21.0,4.0,15.0,0.0
820767fffffffff,4.0,0.0,1.0,0.0
820777fffffffff,9.0,1.0,8.0,0.0
820817fffffffff,2.0,0.0,0.0,0.0
820887fffffffff,6.0,0.0,6.0,0.0
82089ffffffffff,2.0,0.0,2.0,0.0
8208b7fffffffff,1.0,0.0,1.0,0.0
8208c7fffffffff,1.0,0.0,1.0,0.0
8208cffffffffff,2.0,0.0,0.0,0.0
820987fffffffff,2.0,0.0,2.0,0.0
82099ffffffffff,5.0,0.0,5.0,0.0
820c17fffffffff,53.0,36.0,5.0,12.0
820c47fffffffff,28.0,2.0,2.0,2.0
820c57fffffffff,55.0,15.0,23.0,17.0
820c5ffffffffff,68.0,27.0,29.0,2.0
820c67fffffffff,17.0,0.0,17.0,0.0
820c77fffffffff,64.0,14.0,16.0,6.0
820ca7fffffffff,9.0,1.0,3.0,0.0
820cdffffffffff,2.0,0.0,0.0,0.0
820ceffffffffff,20.0,0.0,0.0,0.0
820cf7fffffffff,2.0,0.0,0.0,0.0
820d07fffffffff,12.0,6.0,3.0,3.0
820d0ffffffffff,4.0,0.0,4.0,0.0
820d57fffffffff,4.0,0.0,4.0,0.0
820d5ffffffffff,18.0,0.0,14.0,0.0
820d77fffffffff,3.0,0.0,3.0,0.0
820e07fffffffff,3.0,0.0,0.0,0.0
820e4ffffffffff,26.0,7.0,0.0,0.0
820e5ffffffffff,7.0,0.0,0.0,0.0
820e6ffffffffff,7.0,0.0,0.0,0.0
820e87fffffffff,23.0,0.0,16.0,2.0
820ec7fffffffff,99.0,0.0,1.0,0.0
820ecffffffffff,67.0,0.0,6.0,0.0
820eeffffffffff,180.0,0.0,0.0,0.0
820f5ffffffffff,1.0,0.0,0.0,0.0
821257fffffffff,3.0,0.0,3.0,0.0
82125ffffffffff,20.0,0.0,6.0,0.0
821287fffffffff,1.0,0.0,0.0,0.0
82128ffffffffff,24.0,6.0,5.0,1.0
82129ffffffffff,1.0,0.0,0.0,0.0
8212affffffffff,2.0,0.0,0.0,0.0
8212b7fffffffff,4.0,0.0,0.0,0.0
8212c7fffffffff,20.0,0.0,0.0,0.0
8212cffffffffff,115.0,34.0,40.0,10.0
8212d7fffffffff,15.0,14.0,0.0,0.0
8212dffffffffff,13.0,0.0,6.0,2.0
8212effffffffff,7.0,0.0,2.0,3.0
8212f7fffffffff,4.0,0.0,0.0,0.0
821357fffffffff,3.0,0.0,0.0,0.0
821387fffffffff,185.0,15.0,152.0,9.0
82138ffffffffff,4.0,0.0,0.0,0.0
821397fffffffff,18.0,1.0,17.0,0.0
82139ffffffffff,43.0,0.0,35.0,0.0
8213b7fffffffff,4.0,0.0,4.0,0.0
821597fffffffff,17.0,4.0,0.0,0.0
8215b7fffffffff,8.0,3.0,0.0,0.0
821657fffffffff,6.0,1.0,5.0,0.0
82165ffffffffff,9.0,0.0,9.0,0.0
821807fffffffff,2.0,2.0,0.0,0.0
821827fffffffff,3.0,0.0,3.0,0.0
82182ffffffffff,54.0,0.0,54.0,0.0
821847fffffffff,6.0,4.0,2.0,0.0
