cell_id,Egretta garzetta,Egretta garzetta garzetta,Egretta garzetta immaculata,Egretta garzetta dimorpha
831ee5fffffffff,2.0,0.0,0.0,0.0
831ee6fffffffff,142.0,0.0,0.0,0.0
831ee8fffffffff,89.0,10.0,0.0,0.0
831ee9fffffffff,81.0,23.0,0.0,0.0
831eeafffffffff,2.0,0.0,0.0,0.0
831eebfffffffff,422.0,60.0,0.0,0.0
831eecfffffffff,3.0,0.0,0.0,0.0
831eedfffffffff,22.0,5.0,0.0,0.0
831eeefffffffff,42.0,6.0,0.0,0.0
831ef0fffffffff,28.0,0.0,0.0,0.0
831ef1fffffffff,25.0,0.0,0.0,0.0
831ef2fffffffff,101.0,15.0,0.0,0.0
831ef3fffffffff,2.0,0.0,0.0,0.0
831ef4fffffffff,3.0,0.0,0.0,0.0
831ef5fffffffff,45.0,0.0,0.0,0.0
831ef6fffffffff,17.0,0.0,0.0,0.0
831f11fffffffff,4.0,0.0,0.0,0.0
831f14fffffffff,8.0,0.0,0.0,0.0
831f1afffffffff,3.0,0.0,0.0,0.0
831f33fffffffff,5.0,1.0,0.0,0.0
831f80fffffffff,18.0,0.0,0.0,0.0
831f81fffffffff,2.0,0.0,0.0,0.0
831f82fffffffff,53.0,0.0,0.0,0.0
831f83fffffffff,264.0,3.0,0.0,0.0
831f85fffffffff,11.0,0.0,0.0,0.0
831f88fffffffff,14.0,2.0,0.0,0.0
831f89fffffffff,16.0,2.0,0.0,0.0
831f8cfffffffff,18.0,0.0,0.0,0.0
831f8dfffffffff,43.0,2.0,0.0,0.0
831f8efffffffff,11.0,0.0,0.0,0.0
831f90fffffffff,17.0,2.0,0.0,0.0
831f91fffffffff,108.0,20.0,0.0,0.0
831f93fffffffff,22.0,4.0,0.0,0.0
831f94fffffffff,16.0,0.0,0.0,0.0
831f95fffffffff,14.0,0.0,0.0,0.0
831f96fffffffff,2.0,0.0,0.0,0.0
831f98fffffffff,194.0,2.0,0.0,0.0
831f99fffffffff,95.0,1.0,0.0,0.0
831f9afffffffff,84.0,4.0,0.0,0.0
831f9bfffffffff,48.0,0.0,0.0,0.0
831f9cfffffffff,11.0,3.0,0.0,0.0
831f9dfffffffff,18.0,0.0,0.0,0.0
831f9efffffffff,2.0,0.0,0.0,0.0
831fa0fffffffff,2.0,0.0,0.0,0.0
831fa3fffffffff,2.0,0.0,0.0,0.0
831fa4fffffffff,108.0,2.0,0.0,0.0
831fa5fffffffff,1.0,0.0,0.0,0.0
831fa6fffffffff,32.0,1.0,0.0,0.0
831fa8fffffffff,2.0,2.0,0.0,0.0
831faafffffffff,4.0,0.0,0.0,0.0
831fabfffffffff,27.0,0.0,0.0,0.0
831fb0fffffffff,39.0,19.0,0.0,0.0
831fb1fffffffff,53.0,2.0,0.0,0.0
831fb2fffffffff,87.0,2.0,0.0,0.0
831fb4fffffffff,40.0,6.0,0.0,0.0
831fb5fffffffff,18.0,0.0,0.0,0.0
831fb6fffffffff,33.0,0.0,0.0,0.0
832016fffffffff,6.0,0.0,0.0,0.0
83209afffffffff,80.0,0.0,0.0,0.0
83209bfffffffff,32.0,0.0,0.0,0.0
83209efffffffff,17.0,0.0,0.0,0.0
8320a1fffffffff,4.0,3.0,0.0,0.0
8320a4fffffffff,8.0,0.0,0.0,0.0
8320e6fffffffff,6.0,0.0,0.0,0.0
832198fffffffff,1.0,0.0,0.0,0.0
832199fffffffff,1.0,0.0,0.0,0.0
83219cfffffffff,6.0,0.0,0.0,0.0
83244bfffffffff,2.0,0.0,0.0,0.0
83248bfffffffff,2.0,0.0,0.0,0.0
83249cfffffffff,1.0,0.0,0.0,0.0
8324c0fffffffff,2.0,0.0,0.0,0.0
8324d2fffffffff,3.0,0.0,0.0,0.0
8324d5fffffffff,2.0,0.0,0.0,0.0
832c00fffffffff,178.0,0.0,0.0,0.0
832c01fffffffff,32.0,0.0,0.0,0.0
832c03fffffffff,33.0,0.0,0.0,0.0
832c04fffffffff,394.0,0.0,0.0,0.0
832c05fffffffff,132.0,4.0,0.0,0.0
832c06fffffffff,29.0,0.0,0.0,0.0
832c08fffffffff,7.0,0.0,0.0,0.0
832c09fffffffff,15.0,0.0,0.0,0.0
832c0afffffffff,13.0,0.0,0.0,0.0
832c0bfffffffff,95.0,0.0,0.0,0.0
832c0cfffffffff,18.0,2.0,0.0,0.0
832c10fffffffff,10.0,0.0,0.0,0.0
832c11fffffffff,4.0,0.0,0.0,0.0
832c12fffffffff,14.0,0.0,0.0,0.0
832c13fffffffff,61.0,0.0,0.0,0.0
832c14fffffffff,4.0,0.0,0.0,0.0
832c15fffffffff,6.0,0.0,0.0,0.0
832c16fffffffff,5.0,0.0,0.0,0.0
832c18fffffffff,3.0,0.0,0.0,0.0
832c19fffffffff,82.0,0.0,0.0,0.0
832c1bfffffffff,7.0,0.0,0.0,0.0
832c1efffffffff,38.0,0.0,0.0,0.0
832c20fffffffff,208.0,23.0,0.0,0.0
832c21fffffffff,205.0,18.0,0.0,0.0
832c22fffffffff,11.0,0.0,0.0,0.0
832c23fffffffff,18.0,0.0,0.0,0.0
832c24fffffffff,2.0,0.0,0.0,0.0
832c26fffffffff,4.0,0.0,0.0,0.0
832c28fffffffff,6.0,1.0,0.0,0.0
832c2afffffffff,375.0,14.0,0.0,0.0
832c2efffffffff,62.0,2.0,0.0,0.0
832c30fffffffff,21.0,0.0,0.0,0.0
832c31fffffffff,18.0,0.0,0.0,0.0
832c32fffffffff,9.0,0.0,0.0,0.0
832c33fffffffff,8.0,0.0,0.0,0.0
832c35fffffffff,2.0,0.0,0.0,0.0
832c36fffffffff,9.0,0.0,0.0,0.0
832c56fffffffff,3.0,0.0,0.0,0.0
832c62fffffffff,35.0,0.0,0.0,0.0
832c66fffffffff,5.0,0.0,0.0,0.0
832c72fffffffff,21.0,0.0,0.0,0.0
832c82fffffffff,10.0,0.0,0.0,0.0
832c83fffffffff,64.0,1.0,0.0,0.0
832c85fffffffff,2.0,0.0,0.0,0.0
832c8afffffffff,2.0,0.0,0.0,0.0
832c8cfffffffff,4.0,0.0,0.0,0.0
832c8dfffffffff,4.0,0.0,0.0,0.0
832c8efffffffff,15.0,0.0,0.0,0.0
832c90fffffffff,58.0,5.0,0.0,0.0
832c91fffffffff,5.0,0.0,0.0,0.0
832c93fffffffff,1635.0,91.0,0.0,0.0
832c98fffffffff,10.0,0.0,0.0,0.0
832c9cfffffffff,68.0,3.0,0.0,0.0
832c9dfffffffff,22.0,0.0,0.0,0.0
832c9efffffffff,14.0,1.0,0.0,0.0
832ca1fffffffff,2.0,0.0,0.0,0.0
832caafffffffff,2.0,0.0,0.0,0.0
832cacfffffffff,62.0,0.0,0.0,0.0
832cadfffffffff,13.0,0.0,0.0,0.0
832cb1fffffffff,1.0,0.0,0.0,0.0
832cc0fffffffff,281.0,0.0,0.0,0.0
832cc1fffffffff,12.0,0.0,0.0,0.0
832cc2fffffffff,4.0,0.0,0.0,0.0
832cc3fffffffff,12.0,0.0,0.0,0.0
832cc6fffffffff,120.0,0.0,0.0,0.0
832cd4fffffffff,152.0,7.0,0.0,0.0
832cd5fffffffff,3.0,0.0,0.0,0.0
832cddfffffffff,6.0,0.0,0.0,0.0
832ce4fffffffff,110.0,0.0,0.0,0.0
832ce5fffffffff,30.0,0.0,0.0,0.0
832ce6fffffffff,12.0,0.0,0.0,0.0
832cf0fffffffff,84.0,1.0,0.0,0.0
832cf1fffffffff,19.0,0.0,0.0,0.0
832cf2fffffffff,8.0,0.0,0.0,0.0
832cf3fffffffff,351.0,0.0,0.0,0.0
832cf5fffffffff,165.0,0.0,0.0,0.0
832d00fffffffff,4.0,0.0,0.0,0.0
832d01fffffffff,37.0,0.0,0.0,0.0
832d02fffffffff,2.0,0.0,0.0,0.0
832d03fffffffff,313.0,0.0,0.0,0.0
832d04fffffffff,5.0,0.0,0.0,0.0
832d05fffffffff,6.0,0.0,0.0,0.0
832d06fffffffff,3.0,0.0,0.0,0.0
832d0efffffffff,1.0,0.0,0.0,0.0
832d10fffffffff,112.0,0.0,0.0,0.0
832d11fffffffff,11.0,0.0,0.0,0.0
832d12fffffffff,243.0,0.0,0.0,0.0
832d13fffffffff,6.0,0.0,0.0,0.0
832d14fffffffff,63.0,0.0,0.0,0.0
832d15fffffffff,15.0,0.0,0.0,0.0
832d16fffffffff,12.0,0.0,0.0,0.0
832d18fffffffff,9.0,0.0,0.0,0.0
832d19fffffffff,4.0,0.0,0.0,0.0
832d1afffffffff,7.0,0.0,0.0,0.0
832d1bfffffffff,12.0,0.0,0.0,0.0
832d1cfffffffff,13.0,0.0,0.0,0.0
832d1dfffffffff,13.0,0.0,0.0,0.0
832d22fffffffff,67.0,0.0,0.0,0.0
832d29fffffffff,3.0,0.0,0.0,0.0
832d30fffffffff,54.0,0.0,0.0,0.0
832d31fffffffff,26.0,0.0,0.0,0.0
832d32fffffffff,71.0,0.0,0.0,0.0
832d33fffffffff,233.0,0.0,0.0,0.0
832d34fffffffff,20.0,0.0,0.0,0.0
832d35fffffffff,42.0,0.0,0.0,0.0
832d36fffffffff,19.0,0.0,0.0,0.0
832d56fffffffff,1.0,0.0,0.0,0.0
832d58fffffffff,2.0,0.0,0.0,0.0
832d5cfffffffff,18.0,0.0,0.0,0.0
832d64fffffffff,15.0,0.0,0.0,0.0
832d66fffffffff,2.0,0.0,0.0,0.0
