cell_id,Aramus guarauna,Aramus guarauna [pictus Group],Aramus guarauna guarauna
822607fffffffff,6.0,4.0,0.0
82260ffffffffff,34.0,4.0,0.0
822627fffffffff,4.0,0.0,0.0
82262ffffffffff,16.0,3.0,0.0
822647fffffffff,105.0,0.0,0.0
82264ffffffffff,83.0,1.0,0.0
822657fffffffff,99.0,4.0,0.0
82265ffffffffff,37.0,5.0,0.0
822667fffffffff,92.0,0.0,0.0
82266ffffffffff,80.0,0.0,0.0
822677fffffffff,19.0,2.0,0.0
822687fffffffff,9.0,2.0,0.0
82268ffffffffff,30.0,0.0,0.0
8226c7fffffffff,3.0,1.0,0.0
8226cffffffffff,55.0,0.0,0.0
8226d7fffffffff,2.0,0.0,0.0
8226e7fffffffff,25.0,1.0,0.0
8226effffffffff,62.0,0.0,0.0
822747fffffffff,7.0,1.0,0.0
82274ffffffffff,127.0,0.0,0.0
822757fffffffff,105.0,0.0,0.0
82275ffffffffff,119.0,0.0,0.0
822a17fffffffff,10.0,2.0,0.0
822a87fffffffff,13.0,0.0,0.0
822a8ffffffffff,73.0,0.0,0.0
822a97fffffffff,18.0,2.0,0.0
822a9ffffffffff,5.0,0.0,0.0
822aa7fffffffff,9.0,0.0,0.0
822aaffffffffff,110.0,7.0,0.0
822ab7fffffffff,139.0,2.0,0.0
822ad7fffffffff,68.0,0.0,0.0
822af7fffffffff,13.0,2.0,0.0
822b0ffffffffff,9.0,1.0,0.0
822b87fffffffff,5.0,0.0,0.0
822b9ffffffffff,55.0,8.0,0.0
824417fffffffff,88.0,8.0,0.0
82441ffffffffff,173.0,4.0,0.0
824437fffffffff,4.0,0.0,0.0
824447fffffffff,725.0,10.0,0.0
82444ffffffffff,25.0,0.0,0.0
824457fffffffff,84.0,2.0,0.0
82445ffffffffff,43.0,0.0,0.0
824467fffffffff,8.0,0.0,0.0
82446ffffffffff,189.0,4.0,0.0
824487fffffffff,63.0,5.0,0.0
8244a7fffffffff,16.0,2.0,0.0
8244affffffffff,187.0,6.0,0.0
8244b7fffffffff,9.0,2.0,0.0
8244c7fffffffff,194.0,3.0,0.0
8244cffffffffff,46.0,0.0,0.0
8244d7fffffffff,141.0,1.0,0.0
8244dffffffffff,100.0,2.0,0.0
8244e7fffffffff,172.0,17.0,0.0
8244effffffffff,21.0,0.0,0.0
8244f7fffffffff,176.0,0.0,0.0
