cell_id,Spinus magellanicus,Spinus magellanicus longirostris,Spinus magellanicus [capitalis Group],Spinus magellanicus [magellanicus Group]
845f711ffffffff,6.0,0.0,0.0,0.0
845f759ffffffff,4.0,0.0,0.0,0.0
845f75dffffffff,2.0,0.0,0.0,0.0
8466197ffffffff,2.0,0.0,0.0,0.0
8466d15ffffffff,2.0,0.0,0.0,0.0
8466d19ffffffff,5.0,0.0,0.0,0.0
8466d1dffffffff,2.0,0.0,0.0,0.0
8466d33ffffffff,9.0,0.0,0.0,0.0
8466d3bffffffff,1.0,0.0,0.0,0.0
8466d53ffffffff,29.0,0.0,0.0,0.0
8466e61ffffffff,1.0,0.0,0.0,0.0
8466e65ffffffff,3.0,0.0,0.0,0.0
8466e6dffffffff,14.0,0.0,0.0,0.0
848b20bffffffff,2.0,0.0,0.0,0.0
848b611ffffffff,2.0,0.0,0.0,0.0
848b63bffffffff,3.0,0.0,0.0,0.0
848b69bffffffff,2.0,0.0,0.0,0.0
848e62dffffffff,1.0,0.0,0.0,0.0
848e663ffffffff,3.0,0.0,0.0,0.0
848f295ffffffff,4.0,0.0,0.0,0.0
848f4b3ffffffff,11.0,0.0,0.0,0.0
848f597ffffffff,2.0,0.0,0.0,0.0
848f733ffffffff,3.0,0.0,0.0,0.0
848f769ffffffff,1.0,0.0,0.0,0.0
84a8245ffffffff,2.0,0.0,0.0,0.0
84a90e5ffffffff,7.0,0.0,0.0,0.0
84a92c5ffffffff,1.0,0.0,0.0,0.0
84a9611ffffffff,7.0,0.0,0.0,0.0
84a9613ffffffff,5.0,0.0,0.0,0.0
84a9617ffffffff,18.0,0.0,0.0,0.0
84a96c1ffffffff,2.0,0.0,0.0,0.0
84a96c5ffffffff,1.0,0.0,0.0,0.0
84b2223ffffffff,1.0,0.0,0.0,0.0
84b2497ffffffff,1.0,0.0,0.0,0.0
84b2499ffffffff,14.0,0.0,0.0,0.0
84b249bffffffff,15.0,0.0,0.0,0.0
84b249dffffffff,4.0,0.0,0.0,0.0
84b24d1ffffffff,20.0,0.0,0.0,0.0
84b24d3ffffffff,305.0,0.0,0.0,0.0
84b24d7ffffffff,6.0,0.0,0.0,0.0
84b24d9ffffffff,8.0,0.0,0.0,0.0
84b24dbffffffff,99.0,0.0,0.0,0.0
84b2683ffffffff,1.0,0.0,0.0,0.0
84b2689ffffffff,2.0,0.0,0.0,0.0
84b268bffffffff,10.0,0.0,0.0,0.0
84b2691ffffffff,16.0,0.0,0.0,0.0
84b2693ffffffff,5.0,0.0,0.0,0.0
84b2695ffffffff,5.0,0.0,0.0,0.0
84b2697ffffffff,4.0,0.0,0.0,0.0
84b2699ffffffff,2.0,0.0,0.0,0.0
84b269bffffffff,10.0,0.0,0.0,0.0
84b269dffffffff,7.0,0.0,0.0,0.0
84b26b1ffffffff,4.0,0.0,0.0,0.0
84b26b9ffffffff,2.0,0.0,0.0,0.0
84b26d1ffffffff,2.0,0.0,0.0,0.0
84b26d7ffffffff,41.0,0.0,0.0,0.0
84b26ddffffffff,13.0,0.0,0.0,0.0
84b2709ffffffff,2.0,0.0,0.0,0.0
84b270dffffffff,2.0,0.0,0.0,0.0
84b2e85ffffffff,1.0,0.0,0.0,0.0
84b2eebffffffff,2.0,0.0,0.0,0.0
84b3047ffffffff,1.0,0.0,0.0,0.0
84b305dffffffff,6.0,0.0,0.0,0.0
84c2c53ffffffff,13.0,0.0,0.0,0.0
84c2c6bffffffff,2.0,0.0,0.0,0.0
84c2c6dffffffff,4.0,0.0,0.0,0.0
84c2c91ffffffff,3.0,0.0,0.0,0.0
84c2c93ffffffff,3.0,0.0,0.0,0.0
84c2c97ffffffff,14.0,0.0,0.0,0.0
84c2c99ffffffff,5.0,0.0,0.0,0.0
84c2cd3ffffffff,99.0,0.0,0.0,0.0
84c2d43ffffffff,1.0,0.0,0.0,0.0
84c2d55ffffffff,1.0,0.0,0.0,0.0
84c2e31ffffffff,2.0,0.0,0.0,0.0
84c2e33ffffffff,3.0,0.0,0.0,0.0
84c2e97ffffffff,2.0,0.0,0.0,0.0
84c2e99ffffffff,2.0,0.0,0.0,0.0
84c2eadffffffff,1.0,0.0,0.0,0.0
84c2eb9ffffffff,5.0,0.0,0.0,0.0
84c2ebbffffffff,25.0,0.0,0.0,0.0
84c2f27ffffffff,2.0,0.0,0.0,0.0
84c2f37ffffffff,4.0,0.0,0.0,0.0
84c3487ffffffff,2.0,0.0,0.0,0.0
84c34b7ffffffff,2.0,0.0,0.0,0.0
84c34bdffffffff,2.0,0.0,0.0,0.0
84c3643ffffffff,1.0,0.0,0.0,0.0
84c371bffffffff,2.0,0.0,0.0,0.0
