cell_id,Myiomela leucura,Myiomela leucura leucura/montium,Myiomela leucura cambodiana
823c07fffffffff,196.0,2.0,0.0
823c0ffffffffff,81.0,0.0,0.0
823c17fffffffff,4.0,0.0,0.0
823c1ffffffffff,240.0,0.0,0.0
823c37fffffffff,19.0,0.0,0.0
823c57fffffffff,182.0,0.0,0.0
823c5ffffffffff,259.0,0.0,0.0
823cc7fffffffff,68.0,0.0,0.0
823cdffffffffff,1.0,0.0,0.0
823ce7fffffffff,113.0,0.0,0.0
823ceffffffffff,70.0,0.0,0.0
824017fffffffff,10.0,0.0,0.0
82401ffffffffff,6.0,0.0,0.0
82402ffffffffff,2.0,0.0,0.0
824037fffffffff,2.0,0.0,0.0
824047fffffffff,4.0,0.0,0.0
82404ffffffffff,271.0,1.0,0.0
82405ffffffffff,20.0,0.0,0.0
824067fffffffff,23.0,1.0,0.0
82406ffffffffff,12.0,2.0,0.0
824077fffffffff,4.0,0.0,0.0
8240affffffffff,2.0,0.0,0.0
8240e7fffffffff,27.0,0.0,0.0
8240effffffffff,37.0,0.0,0.0
82411ffffffffff,13.0,0.0,0.0
824147fffffffff,46.0,5.0,0.0
82414ffffffffff,6.0,0.0,0.0
82415ffffffffff,74.0,4.0,0.0
824167fffffffff,3.0,0.0,0.0
82416ffffffffff,2.0,0.0,0.0
824177fffffffff,5.0,0.0,0.0
824187fffffffff,1.0,0.0,0.0
824b87fffffffff,79.0,4.0,0.0
824ba7fffffffff,10823.0,726.0,0.0
824bb7fffffffff,320.0,12.0,0.0
826487fffffffff,122.0,31.0,0.0
826497fffffffff,426.0,121.0,0.0
82649ffffffffff,12.0,0.0,0.0
8264a7fffffffff,45.0,3.0,0.0
8264b7fffffffff,13.0,0.0,0.0
826507fffffffff,213.0,22.0,0.0
826587fffffffff,45.0,0.0,0.0
8265b7fffffffff,147.0,24.0,0.0
826937fffffffff,9.0,2.0,0.0
