cell_id,Catharus guttatus,Catharus guttatus [guttatus Group],Catharus guttatus [auduboni Group],Catharus guttatus faxoni/crymophilus
840c0b1ffffffff,25.0,0.0,0.0,0.0
840c143ffffffff,149.0,0.0,0.0,0.0
840c147ffffffff,18.0,0.0,0.0,0.0
840c15dffffffff,16.0,0.0,0.0,0.0
840c297ffffffff,1.0,0.0,0.0,0.0
840c409ffffffff,1.0,0.0,0.0,0.0
840c40dffffffff,1.0,0.0,0.0,0.0
840c415ffffffff,398.0,0.0,0.0,0.0
840c421ffffffff,41.0,0.0,0.0,0.0
840c425ffffffff,108.0,0.0,0.0,0.0
840c427ffffffff,77.0,0.0,0.0,0.0
840c429ffffffff,2.0,0.0,0.0,0.0
840c42dffffffff,1265.0,0.0,0.0,0.0
840c441ffffffff,69.0,0.0,0.0,0.0
840c443ffffffff,1.0,0.0,0.0,0.0
840c44bffffffff,21.0,0.0,0.0,0.0
840c451ffffffff,20.0,0.0,0.0,0.0
840c455ffffffff,59.0,0.0,0.0,0.0
840c45dffffffff,2.0,0.0,0.0,0.0
840c461ffffffff,113.0,0.0,0.0,0.0
840c465ffffffff,371.0,0.0,0.0,0.0
840c467ffffffff,84.0,0.0,0.0,0.0
840c469ffffffff,2.0,0.0,0.0,0.0
840c46bffffffff,3.0,0.0,0.0,0.0
840c46dffffffff,135.0,0.0,0.0,0.0
840c503ffffffff,76.0,0.0,0.0,0.0
840c507ffffffff,2.0,0.0,0.0,0.0
840c50bffffffff,20.0,0.0,0.0,0.0
840c511ffffffff,42.0,0.0,0.0,0.0
840c515ffffffff,48.0,0.0,0.0,0.0
840c51dffffffff,832.0,0.0,0.0,0.0
840c543ffffffff,2.0,0.0,0.0,0.0
840c54bffffffff,59.0,0.0,0.0,0.0
840c551ffffffff,56.0,0.0,0.0,0.0
840c555ffffffff,18.0,0.0,0.0,0.0
840c55bffffffff,236.0,0.0,0.0,0.0
840c55dffffffff,16.0,0.0,0.0,0.0
840c567ffffffff,6.0,0.0,0.0,0.0
