cell_id,Phaethornis longirostris,Phaethornis longirostris [longirostris Group],Phaethornis longirostris baroni
844505bffffffff,20.0,2.0,0.0
8445201ffffffff,3.0,0.0,0.0
8445203ffffffff,292.0,0.0,0.0
8445205ffffffff,23.0,0.0,0.0
8445207ffffffff,137.0,0.0,0.0
8445209ffffffff,5.0,0.0,0.0
844520bffffffff,174.0,0.0,0.0
844520dffffffff,125.0,0.0,0.0
8445211ffffffff,20.0,0.0,0.0
8445213ffffffff,53.0,8.0,0.0
8445215ffffffff,1073.0,26.0,0.0
8445217ffffffff,310.0,13.0,0.0
8445219ffffffff,16.0,0.0,0.0
844521bffffffff,8.0,0.0,0.0
844521dffffffff,215.0,0.0,0.0
8445221ffffffff,268.0,0.0,0.0
8445223ffffffff,6.0,0.0,0.0
8445225ffffffff,1446.0,0.0,0.0
844522bffffffff,22.0,0.0,0.0
844522dffffffff,12.0,0.0,0.0
8445233ffffffff,995.0,56.0,0.0
844523bffffffff,98.0,8.0,0.0
8445253ffffffff,4.0,0.0,0.0
8445255ffffffff,11.0,0.0,0.0
8445257ffffffff,155.0,0.0,0.0
844525dffffffff,1.0,0.0,0.0
8445263ffffffff,377.0,0.0,0.0
844526bffffffff,8.0,0.0,0.0
8445285ffffffff,2.0,0.0,0.0
8445287ffffffff,2.0,0.0,0.0
8445289ffffffff,35.0,0.0,0.0
844528dffffffff,20.0,0.0,0.0
84452a9ffffffff,39.0,2.0,0.0
84452adffffffff,158.0,19.0,0.0
84452c1ffffffff,15.0,0.0,0.0
84452c3ffffffff,272.0,28.0,0.0
84452c5ffffffff,11.0,0.0,0.0
84452c7ffffffff,29.0,5.0,0.0
84452c9ffffffff,33.0,11.0,0.0
84452cbffffffff,2.0,0.0,0.0
84452d5ffffffff,5.0,0.0,0.0
84452d9ffffffff,130.0,39.0,0.0
84452dbffffffff,8.0,5.0,0.0
84452e1ffffffff,2844.0,111.0,0.0
84452e3ffffffff,537.0,23.0,0.0
84452e5ffffffff,1662.0,42.0,0.0
84452e7ffffffff,47.0,0.0,0.0
84452e9ffffffff,77.0,11.0,0.0
84452ebffffffff,352.0,77.0,0.0
84452edffffffff,67.0,2.0,0.0
8445303ffffffff,1.0,0.0,0.0
8445305ffffffff,21.0,0.0,0.0
8445309ffffffff,13.0,0.0,0.0
8445319ffffffff,76.0,0.0,0.0
844531dffffffff,2.0,0.0,0.0
8445321ffffffff,11.0,0.0,0.0
844532bffffffff,68.0,0.0,0.0
844532dffffffff,3.0,0.0,0.0
8445343ffffffff,62.0,0.0,0.0
8445345ffffffff,3.0,0.0,0.0
844534dffffffff,6.0,0.0,0.0
8445351ffffffff,41.0,0.0,0.0
8445353ffffffff,1.0,0.0,0.0
8445363ffffffff,34.0,0.0,0.0
8445365ffffffff,63.0,0.0,0.0
8445367ffffffff,25.0,0.0,0.0
8445649ffffffff,35.0,5.0,0.0
8449969ffffffff,6.0,4.0,0.0
8466023ffffffff,2.0,0.0,0.0
8466025ffffffff,2.0,0.0,0.0
8466027ffffffff,6.0,0.0,0.0
8466033ffffffff,1.0,0.0,0.0
846603dffffffff,4.0,0.0,0.0
8466045ffffffff,7.0,0.0,0.0
846606bffffffff,3.0,0.0,0.0
8466081ffffffff,1.0,0.0,0.0
8466089ffffffff,13.0,0.0,0.0
846608dffffffff,73.0,2.0,0.0
84660a1ffffffff,14.0,0.0,0.0
84660a5ffffffff,1.0,0.0,0.0
84660a7ffffffff,332.0,9.0,0.0
84660c5ffffffff,9.0,0.0,0.0
84660c7ffffffff,4.0,0.0,0.0
84660e3ffffffff,7.0,0.0,0.0
84660e7ffffffff,4.0,0.0,0.0
84660ebffffffff,2.0,0.0,0.0
8466103ffffffff,6.0,0.0,0.0
8466105ffffffff,5.0,2.0,0.0
8466107ffffffff,198.0,12.0,0.0
846610bffffffff,10.0,0.0,0.0
8466111ffffffff,10.0,0.0,0.0
8466113ffffffff,32.0,0.0,0.0
8466117ffffffff,19.0,0.0,0.0
8466119ffffffff,9.0,0.0,0.0
846611bffffffff,3.0,0.0,0.0
846611dffffffff,55.0,0.0,0.0
8466123ffffffff,1.0,0.0,0.0
8466129ffffffff,36.0,3.0,0.0
8466131ffffffff,71.0,16.0,0.0
8466135ffffffff,5.0,0.0,0.0
8466139ffffffff,225.0,15.0,0.0
846613bffffffff,12.0,0.0,0.0
846613dffffffff,31.0,0.0,0.0
846615bffffffff,4.0,0.0,0.0
8466161ffffffff,2.0,0.0,0.0
8466163ffffffff,322.0,31.0,0.0
8466165ffffffff,220.0,47.0,0.0
8466167ffffffff,30.0,11.0,0.0
8466191ffffffff,13.0,0.0,0.0
8466193ffffffff,238.0,0.0,0.0
8466197ffffffff,1.0,0.0,0.0
8466199ffffffff,24.0,0.0,0.0
846619bffffffff,202.0,8.0,0.0
84661a5ffffffff,129.0,2.0,0.0
84661a7ffffffff,3.0,0.0,0.0
84661adffffffff,71.0,0.0,0.0
84661b1ffffffff,4.0,0.0,0.0
84661bdffffffff,3.0,0.0,0.0
84661c1ffffffff,1.0,0.0,0.0
84661c5ffffffff,3.0,0.0,0.0
84661c9ffffffff,10.0,0.0,0.0
84661cbffffffff,8.0,0.0,0.0
84661cdffffffff,78.0,0.0,0.0
84661d1ffffffff,10.0,0.0,0.0
84661d3ffffffff,1.0,0.0,0.0
84661d7ffffffff,2.0,0.0,0.0
84661dbffffffff,6.0,0.0,0.0
84661ebffffffff,105.0,0.0,0.0
8466201ffffffff,27.0,7.0,0.0
8466203ffffffff,13.0,0.0,0.0
8466205ffffffff,69.0,2.0,0.0
8466207ffffffff,8.0,2.0,0.0
8466211ffffffff,3.0,0.0,0.0
8466213ffffffff,11.0,0.0,0.0
8466217ffffffff,4.0,0.0,0.0
846622bffffffff,566.0,26.0,0.0
846623dffffffff,5.0,0.0,0.0
84662e1ffffffff,6.0,0.0,0.0
84662e5ffffffff,9.0,0.0,0.0
84662e9ffffffff,8.0,0.0,0.0
84662edffffffff,3.0,0.0,0.0
8466311ffffffff,2.0,0.0,0.0
8466313ffffffff,4.0,0.0,0.0
846631bffffffff,4.0,0.0,0.0
8466a01ffffffff,50.0,0.0,0.0
8466a05ffffffff,28.0,2.0,0.0
8466a09ffffffff,14.0,0.0,0.0
8466a0bffffffff,202.0,10.0,0.0
8466a1dffffffff,4.0,0.0,0.0
8466a21ffffffff,2.0,0.0,0.0
8466a25ffffffff,10.0,0.0,0.0
8466a2dffffffff,3.0,0.0,0.0
8466a31ffffffff,36.0,0.0,0.0
8466a33ffffffff,12.0,3.0,0.0
8466a3dffffffff,2.0,0.0,0.0
8466a51ffffffff,4585.0,506.0,0.0
8466a53ffffffff,2.0,0.0,0.0
8466a55ffffffff,83.0,4.0,0.0
8466a57ffffffff,123.0,1.0,0.0
8466a59ffffffff,56.0,0.0,0.0
8466a5bffffffff,295.0,30.0,0.0
8466a5dffffffff,121.0,18.0,0.0
8466a65ffffffff,138.0,14.0,0.0
8466a67ffffffff,5.0,0.0,0.0
8466a9bffffffff,2.0,0.0,0.0
8466ad9ffffffff,1.0,0.0,0.0
8466b01ffffffff,440.0,0.0,0.0
8466b09ffffffff,538.0,0.0,0.0
8466b0bffffffff,1231.0,0.0,0.0
8466b19ffffffff,2.0,0.0,0.0
8466b1dffffffff,17.0,1.0,0.0
8466b41ffffffff,228.0,0.0,0.0
8466b43ffffffff,57.0,0.0,0.0
8466b45ffffffff,327.0,0.0,0.0
8466b47ffffffff,317.0,0.0,0.0
8466b49ffffffff,619.0,0.0,0.0
8466b4bffffffff,76.0,0.0,0.0
8466b4dffffffff,228.0,0.0,0.0
8466b51ffffffff,33.0,2.0,0.0
8466b53ffffffff,20.0,0.0,0.0
8466b55ffffffff,853.0,0.0,0.0
8466b57ffffffff,36.0,0.0,0.0
8466b59ffffffff,179.0,2.0,0.0
8466b5bffffffff,139.0,11.0,0.0
8466b5dffffffff,10.0,0.0,0.0
8466b69ffffffff,40.0,0.0,0.0
8466d03ffffffff,1.0,0.0,1.0
8466d07ffffffff,4.0,0.0,0.0
8466d21ffffffff,4.0,0.0,0.0
8466d23ffffffff,5.0,0.0,0.0
8466d25ffffffff,6.0,0.0,2.0
8466d35ffffffff,19.0,0.0,0.0
8466d3dffffffff,1.0,0.0,0.0
8466e0dffffffff,5.0,0.0,0.0
8466e2bffffffff,5.0,0.0,0.0
8466e2dffffffff,10.0,0.0,0.0
8466e41ffffffff,6.0,0.0,0.0
8466e45ffffffff,1.0,0.0,0.0
8466e47ffffffff,4.0,0.0,0.0
8466e49ffffffff,31.0,0.0,0.0
8466e69ffffffff,26.0,0.0,0.0
84678b7ffffffff,8.0,0.0,0.0
8467903ffffffff,2.0,0.0,0.0
8467915ffffffff,1.0,0.0,0.0
8467921ffffffff,3.0,0.0,0.0
8467925ffffffff,2.0,0.0,0.0
846792dffffffff,6.0,0.0,0.0
8467931ffffffff,3.0,0.0,0.0
8467933ffffffff,2.0,0.0,0.0
846793bffffffff,17.0,0.0,0.0
8467945ffffffff,14.0,0.0,0.0
846794dffffffff,6.0,0.0,0.0
8467961ffffffff,147.0,0.0,0.0
8467963ffffffff,20.0,0.0,0.0
8467965ffffffff,1.0,0.0,0.0
8467969ffffffff,15.0,0.0,0.0
846796bffffffff,3.0,0.0,0.0
84679a1ffffffff,558.0,0.0,0.0
84679a3ffffffff,88.0,0.0,0.0
84679a5ffffffff,3016.0,0.0,0.0
