cell_id,Acrocephalus scirpaceus,Acrocephalus scirpaceus scirpaceus,Acrocephalus scirpaceus fuscus,Acrocephalus scirpaceus avicenniae,Acrocephalus scirpaceus ammon,Acrocephalus scirpaceus [baeticatus Group]
8408809ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
840880dffffffff,21.0,0.0,0.0,0.0,0.0,0.0
8408829ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840882bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840882dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408837ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8408839ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8408843ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408845ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408855ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8408863ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8408867ffffffff,25.0,0.0,0.0,0.0,0.0,0.0
8408869ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
840886bffffffff,49.0,0.0,0.0,0.0,0.0,0.0
840886dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8408889ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840888dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84088e1ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
84088e3ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8408901ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840890dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8408937ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8408949ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408959ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840895bffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8408961ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8408965ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408985ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840898bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408991ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8408995ffffffff,14.0,3.0,0.0,0.0,0.0,0.0
8408997ffffffff,68.0,29.0,0.0,0.0,0.0,0.0
84089a1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84089a5ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84089a9ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
84089b1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84089b7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84089c3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84089d1ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
84089d3ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
84089d9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84089dbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84089e3ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
84089e7ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
84089ebffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408a31ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
