cell_id,Carpodacus rubicilla,Carpodacus rubicilla rubicilla,Carpodacus rubicilla [severtzovi Group]
832049fffffffff,2.0,0.0,2.0
83204cfffffffff,1.0,0.0,0.0
83208afffffffff,3.0,0.0,0.0
832099fffffffff,3.0,0.0,3.0
8320f6fffffffff,1.0,0.0,1.0
832c09fffffffff,4.0,3.0,0.0
832c28fffffffff,3.0,3.0,0.0
833c0efffffffff,9.0,0.0,0.0
833d00fffffffff,15.0,0.0,13.0
833d02fffffffff,2.0,0.0,2.0
833d04fffffffff,14.0,0.0,6.0
833d06fffffffff,26.0,0.0,20.0
833d15fffffffff,2.0,0.0,0.0
833d22fffffffff,8.0,0.0,8.0
833d31fffffffff,4.0,0.0,4.0
833d35fffffffff,2.0,0.0,2.0
