cell_id,Lurocalis semitorquatus,Lurocalis semitorquatus [semitorquatus Group],Lurocalis semitorquatus nattereri
834522fffffffff,29.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0
834531fffffffff,3.0,0.0,0.0
834536fffffffff,21.0,0.0,0.0
835f01fffffffff,4.0,0.0,0.0
835f03fffffffff,42.0,0.0,0.0
835f08fffffffff,1.0,0.0,0.0
835f09fffffffff,2.0,0.0,0.0
835f0efffffffff,1.0,0.0,0.0
835f10fffffffff,7.0,0.0,0.0
835f11fffffffff,2.0,0.0,0.0
835f12fffffffff,10.0,0.0,0.0
835f13fffffffff,1.0,0.0,0.0
835f14fffffffff,6.0,0.0,0.0
835f16fffffffff,5.0,0.0,0.0
835f1cfffffffff,1.0,0.0,0.0
835f28fffffffff,1.0,0.0,0.0
835f2bfffffffff,174.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0
835f4afffffffff,3.0,0.0,0.0
835f54fffffffff,1.0,0.0,0.0
835f58fffffffff,131.0,0.0,0.0
835f5bfffffffff,18.0,0.0,0.0
835f70fffffffff,2.0,0.0,0.0
835f71fffffffff,2.0,0.0,0.0
835f75fffffffff,4.0,0.0,0.0
836608fffffffff,15.0,0.0,0.0
836610fffffffff,8.0,0.0,0.0
836611fffffffff,2.0,0.0,0.0
836613fffffffff,20.0,0.0,0.0
836616fffffffff,16.0,0.0,0.0
83661efffffffff,8.0,0.0,0.0
836622fffffffff,3.0,0.0,0.0
836641fffffffff,12.0,0.0,0.0
836651fffffffff,1.0,0.0,0.0
836652fffffffff,3.0,0.0,0.0
836654fffffffff,3.0,0.0,0.0
836656fffffffff,4.0,0.0,0.0
83665afffffffff,32.0,0.0,0.0
83665bfffffffff,7.0,0.0,0.0
836663fffffffff,10.0,0.0,0.0
836673fffffffff,3.0,0.0,0.0
8366a0fffffffff,2.0,0.0,0.0
8366a3fffffffff,5.0,0.0,0.0
8366a5fffffffff,73.0,5.0,0.0
8366a6fffffffff,194.0,5.0,0.0
8366b0fffffffff,81.0,0.0,0.0
8366b4fffffffff,119.0,0.0,0.0
8366b5fffffffff,48.0,1.0,0.0
8366b6fffffffff,3.0,0.0,0.0
8366c1fffffffff,3.0,0.0,0.0
8366c2fffffffff,4.0,0.0,0.0
8366cdfffffffff,1.0,0.0,0.0
8366cefffffffff,6.0,0.0,0.0
8366d0fffffffff,27.0,0.0,0.0
8366d2fffffffff,5.0,0.0,0.0
8366d3fffffffff,50.0,3.0,0.0
8366d4fffffffff,1.0,0.0,0.0
8366d5fffffffff,6.0,0.0,0.0
8366d8fffffffff,14.0,0.0,0.0
8366dcfffffffff,53.0,0.0,2.0
8366ddfffffffff,7.0,0.0,0.0
8366defffffffff,4.0,0.0,0.0
8366e0fffffffff,2.0,0.0,0.0
8366e6fffffffff,2.0,0.0,0.0
8366e9fffffffff,3.0,0.0,0.0
8366f0fffffffff,40.0,0.0,0.0
836743fffffffff,30.0,0.0,0.0
83674efffffffff,5.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0
836793fffffffff,2.0,0.0,0.0
836794fffffffff,4.0,0.0,0.0
836796fffffffff,6.0,0.0,0.0
83679afffffffff,392.0,0.0,0.0
83679bfffffffff,129.0,2.0,0.0
836d2cfffffffff,22.0,5.0,0.0
836d68fffffffff,91.0,0.0,0.0
836d69fffffffff,188.0,0.0,0.0
836d6dfffffffff,209.0,0.0,0.0
838005fffffffff,4.0,0.0,0.0
83804cfffffffff,4.0,0.0,0.0
838054fffffffff,3.0,0.0,0.0
838061fffffffff,2.0,0.0,0.0
838068fffffffff,2.0,0.0,0.0
83806bfffffffff,5.0,0.0,0.0
838072fffffffff,2.0,0.0,0.0
838073fffffffff,6.0,0.0,0.0
838074fffffffff,4.0,0.0,0.0
838121fffffffff,50.0,0.0,47.0
838124fffffffff,3.0,0.0,3.0
83812dfffffffff,2.0,0.0,0.0
838134fffffffff,5.0,0.0,0.0
838143fffffffff,1.0,0.0,0.0
83814afffffffff,13.0,0.0,0.0
83814efffffffff,14.0,0.0,0.0
83815cfffffffff,5.0,0.0,0.0
83815dfffffffff,4.0,0.0,0.0
838171fffffffff,2.0,0.0,0.0
838a05fffffffff,5.0,0.0,0.0
838a10fffffffff,16.0,0.0,0.0
838a14fffffffff,4.0,0.0,0.0
838a15fffffffff,4.0,0.0,0.0
838a18fffffffff,1.0,0.0,0.0
838a1afffffffff,8.0,1.0,0.0
838a21fffffffff,7.0,0.0,0.0
838a2cfffffffff,2.0,0.0,0.0
838a31fffffffff,4.0,0.0,0.0
838a33fffffffff,8.0,3.0,0.0
838a35fffffffff,1.0,0.0,0.0
838a45fffffffff,8.0,0.0,0.0
838a52fffffffff,2.0,0.0,0.0
838a63fffffffff,3.0,0.0,0.0
838a68fffffffff,2.0,0.0,0.0
838a69fffffffff,33.0,0.0,0.0
838a6dfffffffff,31.0,0.0,0.0
838a80fffffffff,7.0,0.0,0.0
838a83fffffffff,1.0,0.0,0.0
838a8dfffffffff,2.0,0.0,0.0
838a91fffffffff,2.0,0.0,0.0
838a92fffffffff,5.0,0.0,0.0
838a9cfffffffff,20.0,0.0,0.0
838aa8fffffffff,7.0,0.0,0.0
838aa9fffffffff,8.0,0.0,0.0
838aabfffffffff,7.0,0.0,0.0
838adcfffffffff,3.0,0.0,0.0
838adefffffffff,1.0,0.0,0.0
838af0fffffffff,21.0,5.0,0.0
838af1fffffffff,7.0,0.0,0.0
838af2fffffffff,45.0,0.0,0.0
838af4fffffffff,8.0,0.0,0.0
838af6fffffffff,130.0,9.0,0.0
838b00fffffffff,2.0,0.0,0.0
838b1efffffffff,1.0,0.0,0.0
838b22fffffffff,4.0,0.0,0.0
838b31fffffffff,2.0,0.0,0.0
838b40fffffffff,2.0,0.0,0.0
838b44fffffffff,14.0,0.0,0.0
838b56fffffffff,2.0,0.0,0.0
838b5dfffffffff,2.0,0.0,0.0
838b61fffffffff,1.0,0.0,0.0
838b63fffffffff,7.0,0.0,0.0
838b6efffffffff,1.0,0.0,0.0
838b71fffffffff,30.0,0.0,0.0
838b74fffffffff,16.0,0.0,0.0
838b76fffffffff,1.0,0.0,0.0
838b84fffffffff,18.0,0.0,0.0
838b96fffffffff,4.0,0.0,0.0
838b99fffffffff,27.0,0.0,0.0
838b9dfffffffff,203.0,0.0,0.0
838ba4fffffffff,1.0,0.0,0.0
838ba6fffffffff,3.0,0.0,0.0
838bb5fffffffff,11.0,0.0,0.0
838f2bfffffffff,2.0,2.0,0.0
838f2cfffffffff,4.0,0.0,0.0
838f40fffffffff,2.0,0.0,0.0
838f43fffffffff,1.0,0.0,0.0
838f44fffffffff,2.0,0.0,0.0
838f46fffffffff,17.0,0.0,0.0
838f48fffffffff,5.0,0.0,0.0
838f61fffffffff,7.0,0.0,0.0
838f6efffffffff,5.0,0.0,0.0
83a800fffffffff,2.0,0.0,0.0
83a801fffffffff,15.0,0.0,0.0
83a803fffffffff,2.0,0.0,0.0
83a804fffffffff,18.0,0.0,0.0
83a805fffffffff,3.0,0.0,0.0
83a806fffffffff,177.0,0.0,34.0
83a80cfffffffff,1.0,0.0,0.0
83a810fffffffff,253.0,0.0,12.0
83a811fffffffff,4.0,0.0,1.0
83a812fffffffff,110.0,0.0,13.0
83a813fffffffff,101.0,0.0,7.0
83a814fffffffff,17.0,0.0,0.0
83a815fffffffff,138.0,0.0,6.0
83a816fffffffff,1.0,0.0,0.0
83a818fffffffff,16.0,0.0,0.0
83a819fffffffff,7.0,0.0,0.0
83a81afffffffff,1.0,0.0,0.0
83a81bfffffffff,4.0,0.0,0.0
83a81cfffffffff,16.0,0.0,0.0
83a81dfffffffff,2.0,0.0,0.0
83a81efffffffff,126.0,0.0,3.0
83a820fffffffff,6.0,0.0,2.0
83a821fffffffff,8.0,0.0,0.0
83a822fffffffff,20.0,0.0,0.0
83a823fffffffff,6.0,0.0,2.0
83a824fffffffff,27.0,0.0,0.0
83a826fffffffff,5.0,0.0,0.0
83a828fffffffff,6.0,0.0,0.0
83a829fffffffff,5.0,0.0,0.0
83a82afffffffff,4.0,0.0,0.0
83a82cfffffffff,2.0,0.0,0.0
83a82efffffffff,4.0,0.0,0.0
83a831fffffffff,56.0,0.0,0.0
83a833fffffffff,14.0,0.0,2.0
83a835fffffffff,49.0,0.0,0.0
83a859fffffffff,7.0,0.0,0.0
83a85dfffffffff,3.0,0.0,0.0
83a866fffffffff,6.0,0.0,0.0
83a880fffffffff,2.0,0.0,0.0
83a881fffffffff,18.0,0.0,0.0
83a882fffffffff,6.0,0.0,0.0
83a884fffffffff,26.0,0.0,0.0
83a885fffffffff,2.0,0.0,0.0
83a88efffffffff,2.0,0.0,0.0
83a891fffffffff,41.0,0.0,5.0
83a8a0fffffffff,2.0,0.0,0.0
83a8a1fffffffff,147.0,0.0,15.0
83a8a2fffffffff,66.0,0.0,13.0
83a8a3fffffffff,14.0,0.0,0.0
83a8a5fffffffff,24.0,0.0,0.0
83a8aafffffffff,4.0,0.0,0.0
83a8abfffffffff,1.0,0.0,0.0
83a8acfffffffff,12.0,0.0,0.0
83a8aefffffffff,2.0,0.0,0.0
83a8c0fffffffff,27.0,0.0,0.0
83a8c1fffffffff,2.0,0.0,0.0
83a8c6fffffffff,3.0,0.0,0.0
83a8c9fffffffff,3.0,0.0,0.0
83a8ccfffffffff,1.0,0.0,0.0
83a8d4fffffffff,2.0,0.0,2.0
83a8d5fffffffff,2.0,0.0,0.0
83a8ddfffffffff,2.0,0.0,0.0
83a8defffffffff,6.0,0.0,0.0
83a8e1fffffffff,5.0,0.0,0.0
83a909fffffffff,7.0,0.0,0.0
83a90afffffffff,1.0,0.0,0.0
83a90cfffffffff,4.0,0.0,0.0
83a90dfffffffff,2.0,0.0,0.0
83a90efffffffff,13.0,0.0,4.0
83a918fffffffff,7.0,0.0,0.0
83a919fffffffff,17.0,0.0,2.0
83a91bfffffffff,41.0,0.0,0.0
83a91dfffffffff,27.0,0.0,2.0
83a92efffffffff,4.0,0.0,0.0
83a940fffffffff,1.0,0.0,0.0
83a942fffffffff,42.0,0.0,3.0
83a943fffffffff,41.0,0.0,0.0
83a944fffffffff,2.0,0.0,0.0
83a946fffffffff,34.0,0.0,3.0
83a950fffffffff,104.0,0.0,0.0
83a951fffffffff,4.0,0.0,0.0
83a952fffffffff,21.0,0.0,4.0
83a953fffffffff,252.0,0.0,3.0
83a954fffffffff,2.0,0.0,0.0
83a955fffffffff,18.0,0.0,0.0
83a95afffffffff,46.0,0.0,0.0
83a95bfffffffff,4.0,0.0,0.0
83a95cfffffffff,62.0,0.0,0.0
83a95dfffffffff,2.0,0.0,0.0
83a95efffffffff,63.0,0.0,0.0
83a963fffffffff,1.0,0.0,0.0
83a968fffffffff,5.0,0.0,0.0
83a96efffffffff,1.0,0.0,0.0
83a971fffffffff,16.0,0.0,0.0
83a973fffffffff,4.0,0.0,0.0
83a976fffffffff,2.0,0.0,0.0
