cell_id,Penelope superciliaris,Penelope superciliaris pseudonyma,Penelope superciliaris [superciliaris Group]
828007fffffffff,5.0,0.0,0.0
828017fffffffff,29.0,0.0,0.0
828027fffffffff,4.0,0.0,0.0
828037fffffffff,14.0,0.0,0.0
828067fffffffff,4.0,0.0,0.0
828077fffffffff,3.0,0.0,0.0
828107fffffffff,21.0,0.0,0.0
82810ffffffffff,14.0,0.0,0.0
828117fffffffff,8.0,0.0,0.0
82811ffffffffff,2.0,0.0,0.0
828127fffffffff,10.0,0.0,0.0
828137fffffffff,28.0,0.0,0.0
828147fffffffff,53.0,0.0,0.0
82814ffffffffff,88.0,0.0,0.0
828157fffffffff,6.0,0.0,0.0
82815ffffffffff,18.0,0.0,0.0
828167fffffffff,23.0,0.0,0.0
828177fffffffff,59.0,0.0,0.0
828187fffffffff,40.0,0.0,0.0
82818ffffffffff,2.0,0.0,0.0
82819ffffffffff,6.0,0.0,0.0
828a07fffffffff,5.0,0.0,0.0
828a9ffffffffff,4.0,0.0,0.0
828b17fffffffff,7.0,0.0,0.0
828b1ffffffffff,3.0,0.0,0.0
828b37fffffffff,2.0,0.0,0.0
828b87fffffffff,5.0,0.0,0.0
828b9ffffffffff,17.0,0.0,0.0
828ba7fffffffff,31.0,0.0,0.0
828baffffffffff,1.0,0.0,0.0
828bb7fffffffff,89.0,0.0,0.0
82a597fffffffff,69.0,0.0,0.0
82a807fffffffff,42.0,0.0,0.0
82a80ffffffffff,16.0,0.0,0.0
82a817fffffffff,139.0,0.0,0.0
82a81ffffffffff,191.0,0.0,0.0
82a82ffffffffff,16.0,0.0,0.0
82a837fffffffff,6.0,0.0,0.0
82a847fffffffff,23.0,0.0,0.0
82a857fffffffff,15.0,0.0,0.0
82a85ffffffffff,94.0,0.0,0.0
82a867fffffffff,2.0,0.0,0.0
82a877fffffffff,11.0,0.0,0.0
82a887fffffffff,22.0,0.0,0.0
82a88ffffffffff,19.0,0.0,0.0
82a897fffffffff,83.0,0.0,0.0
82a89ffffffffff,2.0,0.0,0.0
82a8a7fffffffff,432.0,0.0,0.0
82a8affffffffff,38.0,0.0,0.0
82a8b7fffffffff,4.0,0.0,0.0
82a8c7fffffffff,10.0,0.0,0.0
82a8cffffffffff,16.0,0.0,0.0
82a8d7fffffffff,34.0,0.0,0.0
82a8dffffffffff,20.0,0.0,0.0
82a8effffffffff,4.0,0.0,0.0
82a8f7fffffffff,9.0,0.0,0.0
82a91ffffffffff,14.0,0.0,0.0
82a947fffffffff,94.0,0.0,0.0
82a957fffffffff,645.0,0.0,0.0
82a95ffffffffff,46.0,0.0,0.0
