cell_id,Coccyzus merlini,Coccyzus merlini bahamensis,Coccyzus merlini [merlini Group]
8444301ffffffff,29.0,0.0,24.0
8444305ffffffff,33.0,0.0,9.0
8444309ffffffff,80.0,0.0,60.0
844430dffffffff,574.0,0.0,321.0
8444325ffffffff,160.0,0.0,68.0
8444329ffffffff,316.0,0.0,156.0
844432dffffffff,63.0,0.0,19.0
8444343ffffffff,6.0,0.0,5.0
8444347ffffffff,5.0,0.0,3.0
844434bffffffff,174.0,0.0,83.0
8444363ffffffff,114.0,0.0,40.0
8444367ffffffff,1.0,0.0,1.0
844436bffffffff,5.0,0.0,0.0
8444a2dffffffff,13.0,0.0,0.0
8444b05ffffffff,42.0,0.0,0.0
8444b2bffffffff,11.0,0.0,0.0
8444b51ffffffff,15.0,0.0,0.0
8444b53ffffffff,12.0,0.0,0.0
8444b59ffffffff,1.0,0.0,0.0
8444b5bffffffff,33.0,0.0,0.0
8444b5dffffffff,9.0,0.0,0.0
8444b63ffffffff,5.0,0.0,0.0
84451b7ffffffff,44.0,0.0,7.0
8445833ffffffff,99.0,0.0,76.0
8445837ffffffff,2.0,0.0,2.0
8445881ffffffff,2.0,0.0,0.0
8445883ffffffff,19.0,0.0,6.0
8445889ffffffff,1225.0,0.0,607.0
844588bffffffff,5.0,0.0,0.0
844588dffffffff,2.0,0.0,1.0
8445899ffffffff,28.0,0.0,4.0
844589dffffffff,7.0,0.0,0.0
84458adffffffff,6.0,0.0,0.0
84458c3ffffffff,74.0,0.0,29.0
84458c7ffffffff,1130.0,0.0,577.0
84458d3ffffffff,11.0,0.0,4.0
84458d5ffffffff,341.0,0.0,203.0
84458d7ffffffff,3.0,0.0,0.0
84458dbffffffff,1.0,0.0,1.0
84458e1ffffffff,236.0,0.0,148.0
84458e5ffffffff,2.0,0.0,0.0
84458e7ffffffff,49.0,0.0,0.0
84458ebffffffff,24.0,0.0,11.0
84458edffffffff,145.0,0.0,70.0
8445903ffffffff,2.0,0.0,0.0
8445905ffffffff,3.0,0.0,2.0
8445907ffffffff,6.0,0.0,0.0
8445909ffffffff,12.0,0.0,0.0
844590bffffffff,2.0,0.0,0.0
844590dffffffff,15.0,0.0,4.0
8445911ffffffff,299.0,0.0,175.0
8445913ffffffff,22.0,0.0,8.0
8445915ffffffff,1.0,0.0,0.0
8445917ffffffff,24.0,0.0,4.0
8445923ffffffff,18.0,0.0,2.0
8445927ffffffff,3.0,0.0,0.0
8445929ffffffff,8.0,0.0,0.0
844592bffffffff,8.0,0.0,0.0
844592dffffffff,2.0,0.0,0.0
8445935ffffffff,3.0,0.0,0.0
8445955ffffffff,2.0,0.0,2.0
8445963ffffffff,1.0,0.0,0.0
8445967ffffffff,5.0,0.0,0.0
8445981ffffffff,339.0,0.0,181.0
8445989ffffffff,251.0,0.0,109.0
844598bffffffff,27.0,0.0,5.0
844598dffffffff,23.0,0.0,11.0
84459b7ffffffff,5.0,0.0,0.0
84459c1ffffffff,12.0,0.0,2.0
84459c3ffffffff,27.0,0.0,10.0
84459c7ffffffff,3.0,0.0,3.0
84459cbffffffff,1.0,0.0,0.0
84459d1ffffffff,2.0,0.0,0.0
84459d7ffffffff,42.0,0.0,7.0
84459d9ffffffff,21.0,0.0,12.0
84459dbffffffff,15.0,0.0,7.0
84459ddffffffff,20.0,0.0,9.0
84459e9ffffffff,37.0,0.0,28.0
844c933ffffffff,53.0,0.0,8.0
844c937ffffffff,11.0,0.0,5.0
844c981ffffffff,4.0,0.0,4.0
844c985ffffffff,39.0,0.0,14.0
844c989ffffffff,55.0,0.0,53.0
844c98bffffffff,5.0,0.0,5.0
844c98dffffffff,29.0,0.0,26.0
844c9a1ffffffff,7.0,0.0,5.0
844c9a5ffffffff,1.0,0.0,0.0
844c9a9ffffffff,3.0,0.0,3.0
844c9abffffffff,21.0,0.0,7.0
844c9adffffffff,31.0,0.0,2.0
844c9e3ffffffff,1.0,0.0,0.0
844c9e5ffffffff,1.0,0.0,0.0
844c9ebffffffff,1.0,0.0,0.0
