cell_id,Suthora nipalensis,Suthora nipalensis nipalensis/garhwalensis,Suthora nipalensis humii/crocotia,Suthora nipalensis poliotis/feae,Suthora nipalensis ripponi/patriciae,Suthora nipalensis beaulieu/kamoli
823c07fffffffff,43.0,0.0,0.0,0.0,0.0,0.0
823c0ffffffffff,161.0,0.0,0.0,0.0,0.0,0.0
823c1ffffffffff,392.0,0.0,17.0,0.0,0.0,0.0
823c37fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
823c47fffffffff,4.0,0.0,0.0,3.0,0.0,0.0
823c57fffffffff,189.0,0.0,0.0,0.0,0.0,0.0
823c5ffffffffff,269.0,0.0,0.0,0.0,0.0,0.0
823cdffffffffff,24.0,0.0,0.0,0.0,12.0,0.0
823ce7fffffffff,85.0,0.0,0.0,0.0,0.0,0.0
823ceffffffffff,14.0,0.0,0.0,0.0,0.0,0.0
824047fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82404ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
82405ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82406ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
824167fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
826487fffffffff,63.0,0.0,0.0,29.0,0.0,0.0
826937fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
