cell_id,Microrhopias quixensis,Microrhopias quixensis [boucardi Group],Microrhopias quixensis microstictus,Microrhopias quixensis quixensis,Microrhopias quixensis nigriventris,Microrhopias quixensis albicauda/intercedens,Microrhopias quixensis bicolor,Microrhopias quixensis emiliae
82452ffffffffff,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
825f07fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
826617fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
826647fffffffff,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266a7fffffffff,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8266b7fffffffff,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8266c7fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266cffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266dffffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
826d27fffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d2ffffffffff,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
826d37fffffffff,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
826d6ffffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82804ffffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
828a07fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828b5ffffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
