cell_id,Zosterops citrinella,Zosterops citrinella unicus,Zosterops citrinella [citrinella Group]
839404fffffffff,71.0,0.0,0.0
839421fffffffff,36.0,0.0,0.0
839422fffffffff,1.0,0.0,0.0
839423fffffffff,77.0,0.0,0.0
839426fffffffff,1.0,0.0,0.0
839428fffffffff,1.0,0.0,0.0
83942cfffffffff,96.0,0.0,0.0
83942dfffffffff,96.0,0.0,0.0
83942efffffffff,4.0,0.0,0.0
839431fffffffff,34.0,0.0,0.0
839434fffffffff,1.0,0.0,0.0
839460fffffffff,94.0,0.0,0.0
839466fffffffff,31.0,0.0,0.0
839518fffffffff,108.0,0.0,0.0
83951afffffffff,55.0,0.0,0.0
83951bfffffffff,5.0,0.0,0.0
83951efffffffff,22.0,0.0,0.0
839543fffffffff,1.0,0.0,0.0
839552fffffffff,4.0,0.0,0.0
839553fffffffff,53.0,0.0,0.0
839558fffffffff,14.0,0.0,0.0
83955afffffffff,15.0,0.0,0.0
8395a9fffffffff,83.0,0.0,0.0
8395adfffffffff,10.0,0.0,0.0
839c00fffffffff,1.0,0.0,0.0
839c19fffffffff,3.0,0.0,0.0
839cf0fffffffff,1.0,0.0,0.0
839cf5fffffffff,25.0,0.0,0.0
