cell_id,Anas andium,Anas andium altipetens,Anas andium andium
836608fffffffff,35.0,0.0,0.0
836609fffffffff,20.0,3.0,0.0
83660bfffffffff,469.0,0.0,0.0
83660cfffffffff,42.0,1.0,0.0
83660dfffffffff,59.0,5.0,0.0
836629fffffffff,122.0,10.0,0.0
83662bfffffffff,13.0,0.0,0.0
83662dfffffffff,2.0,0.0,0.0
8366c2fffffffff,18.0,0.0,0.0
8366c6fffffffff,122.0,0.0,0.0
8366d1fffffffff,13.0,0.0,0.0
8366d3fffffffff,111.0,0.0,23.0
8366dafffffffff,4.0,0.0,0.0
8366defffffffff,2817.0,0.0,491.0
8366e0fffffffff,876.0,43.0,0.0
8366e2fffffffff,5.0,0.0,0.0
8366e4fffffffff,543.0,37.0,0.0
8366e5fffffffff,303.0,7.0,0.0
8366e6fffffffff,1357.0,0.0,107.0
8366f1fffffffff,15.0,0.0,0.0
8366f5fffffffff,48.0,0.0,0.0
838f29fffffffff,96.0,0.0,16.0
838f2dfffffffff,176.0,0.0,15.0
838f76fffffffff,806.0,0.0,97.0
