cell_id,Picumnus spilogaster,Picumnus spilogaster spilogaster/orinocensis,Picumnus spilogaster pallidus
825f0ffffffffff,1.0,1.0,0.0
825f2ffffffffff,3.0,3.0,0.0
826667fffffffff,19.0,0.0,0.0
828057fffffffff,8.0,0.0,8.0
