cell_id,Otus senegalensis,Otus senegalensis senegalensis,Otus senegalensis feae,Otus senegalensis nivosus
82529ffffffffff,3.0,0.0,0.0,0.0
82541ffffffffff,45.0,7.0,0.0,0.0
8254affffffffff,21.0,8.0,0.0,0.0
8254e7fffffffff,37.0,19.0,0.0,0.0
8254f7fffffffff,54.0,24.0,0.0,0.0
825887fffffffff,2.0,0.0,0.0,0.0
825897fffffffff,18.0,0.0,0.0,0.0
8258a7fffffffff,4.0,0.0,0.0,0.0
8258b7fffffffff,2.0,0.0,0.0,0.0
8258cffffffffff,7.0,1.0,0.0,0.0
8258e7fffffffff,4.0,0.0,0.0,0.0
825987fffffffff,4.0,0.0,0.0,0.0
826a5ffffffffff,17.0,0.0,0.0,0.0
826ac7fffffffff,2.0,0.0,0.0,0.0
826acffffffffff,65.0,0.0,0.0,0.0
826adffffffffff,9.0,1.0,0.0,0.0
826aeffffffffff,22.0,4.0,0.0,0.0
826b17fffffffff,12.0,0.0,0.0,0.0
827507fffffffff,1.0,0.0,0.0,0.0
827527fffffffff,150.0,17.0,0.0,0.0
82752ffffffffff,20.0,4.0,0.0,0.0
827537fffffffff,2.0,0.0,0.0,0.0
827577fffffffff,2.0,0.0,0.0,0.0
827a47fffffffff,56.0,1.0,0.0,0.0
827a4ffffffffff,136.0,15.0,0.0,0.0
827a67fffffffff,24.0,0.0,0.0,0.0
827a6ffffffffff,67.0,10.0,0.0,0.0
827acffffffffff,28.0,0.0,0.0,0.0
827aeffffffffff,12.0,0.0,0.0,0.0
827b4ffffffffff,1.0,0.0,0.0,0.0
828317fffffffff,2.0,2.0,0.0,0.0
82831ffffffffff,1.0,0.0,0.0,0.0
8283a7fffffffff,8.0,2.0,0.0,0.0
829607fffffffff,4.0,0.0,0.0,0.0
82960ffffffffff,1.0,0.0,0.0,0.0
829617fffffffff,4.0,0.0,0.0,0.0
82961ffffffffff,1.0,0.0,0.0,0.0
829627fffffffff,18.0,10.0,0.0,0.0
82962ffffffffff,28.0,14.0,0.0,0.0
829637fffffffff,33.0,0.0,0.0,0.0
829677fffffffff,3.0,3.0,0.0,0.0
829687fffffffff,2.0,0.0,0.0,0.0
829697fffffffff,175.0,15.0,0.0,0.0
8296a7fffffffff,13.0,5.0,0.0,0.0
8296affffffffff,4.0,2.0,0.0,0.0
8296b7fffffffff,25.0,8.0,0.0,0.0
829707fffffffff,7.0,0.0,0.0,0.0
82970ffffffffff,3.0,3.0,0.0,0.0
829717fffffffff,25.0,6.0,0.0,0.0
829727fffffffff,3.0,0.0,0.0,0.0
82972ffffffffff,112.0,26.0,0.0,0.0
829737fffffffff,2.0,0.0,0.0,0.0
829747fffffffff,84.0,18.0,0.0,0.0
82974ffffffffff,75.0,15.0,0.0,0.0
829757fffffffff,35.0,12.0,0.0,0.0
82975ffffffffff,81.0,11.0,0.0,0.0
829777fffffffff,6.0,2.0,0.0,0.0
829787fffffffff,4.0,4.0,0.0,0.0
82978ffffffffff,4.0,1.0,0.0,0.0
82979ffffffffff,3.0,0.0,0.0,0.0
8297affffffffff,10.0,0.0,0.0,0.0
82ac87fffffffff,147.0,65.0,0.0,0.0
82ac8ffffffffff,22.0,3.0,0.0,0.0
82ac97fffffffff,11.0,2.0,0.0,0.0
82ac9ffffffffff,2.0,0.0,0.0,0.0
82aca7fffffffff,49.0,10.0,0.0,0.0
82acaffffffffff,11.0,0.0,0.0,0.0
82acb7fffffffff,18.0,3.0,0.0,0.0
82ad97fffffffff,1.0,0.0,0.0,0.0
82bc1ffffffffff,1.0,0.0,0.0,0.0
82bc57fffffffff,2.0,0.0,0.0,0.0
82bc77fffffffff,3.0,0.0,0.0,0.0
82bc8ffffffffff,2.0,0.0,0.0,0.0
82bcd7fffffffff,572.0,166.0,0.0,0.0
82bcdffffffffff,45.0,14.0,0.0,0.0
82bcf7fffffffff,93.0,30.0,0.0,0.0
