cell_id,Geranoaetus polyosoma,Geranoaetus polyosoma polyosoma,Geranoaetus polyosoma exsul,Geranoaetus polyosoma (Puna),Geranoaetus polyosoma (Red-backed)
84269d9ffffffff,4.0,0.0,0.0,0.0,2.0
8466d1dffffffff,2.0,0.0,0.0,0.0,2.0
8466d31ffffffff,4.0,0.0,0.0,0.0,0.0
8466d33ffffffff,9.0,0.0,0.0,0.0,0.0
8466d37ffffffff,1.0,0.0,0.0,0.0,0.0
8466de5ffffffff,8.0,6.0,0.0,0.0,2.0
8466dedffffffff,1.0,0.0,0.0,0.0,1.0
8466e6dffffffff,1.0,0.0,0.0,0.0,1.0
848b201ffffffff,1.0,0.0,0.0,0.0,1.0
848b203ffffffff,3.0,0.0,0.0,3.0,0.0
848b205ffffffff,1.0,0.0,0.0,0.0,1.0
848b20dffffffff,1.0,0.0,0.0,0.0,1.0
848b211ffffffff,4.0,0.0,0.0,1.0,3.0
848b241ffffffff,1.0,0.0,0.0,0.0,1.0
848b257ffffffff,2.0,0.0,0.0,0.0,2.0
848b259ffffffff,6.0,0.0,0.0,4.0,2.0
848b2c5ffffffff,1.0,0.0,0.0,0.0,1.0
848b2c9ffffffff,17.0,0.0,0.0,4.0,9.0
848b2cbffffffff,2.0,0.0,0.0,2.0,0.0
848b2cdffffffff,18.0,0.0,0.0,5.0,10.0
848b611ffffffff,5.0,4.0,0.0,0.0,0.0
848e60dffffffff,3.0,0.0,0.0,0.0,0.0
848e62dffffffff,23.0,8.0,0.0,0.0,0.0
848e635ffffffff,1.0,0.0,0.0,0.0,1.0
848e663ffffffff,9.0,0.0,0.0,7.0,2.0
848e665ffffffff,7.0,0.0,0.0,0.0,7.0
848f099ffffffff,3.0,0.0,0.0,0.0,0.0
848f0d3ffffffff,2.0,0.0,0.0,0.0,0.0
848f2a9ffffffff,1.0,0.0,0.0,0.0,1.0
848f2dbffffffff,2.0,2.0,0.0,0.0,0.0
848f505ffffffff,1.0,0.0,0.0,0.0,1.0
848f507ffffffff,1.0,0.0,0.0,0.0,1.0
848f50dffffffff,4.0,0.0,0.0,0.0,2.0
848f513ffffffff,1.0,0.0,0.0,1.0,0.0
848f559ffffffff,3.0,3.0,0.0,0.0,0.0
848f569ffffffff,1.0,0.0,0.0,0.0,1.0
848f5cdffffffff,1.0,0.0,0.0,1.0,0.0
848f76dffffffff,1.0,0.0,0.0,0.0,0.0
84b218bffffffff,1.0,0.0,0.0,0.0,1.0
84b2191ffffffff,1.0,0.0,0.0,0.0,1.0
84b219dffffffff,1.0,0.0,0.0,0.0,1.0
84b244dffffffff,4.0,0.0,0.0,0.0,4.0
84b24c1ffffffff,1.0,0.0,0.0,0.0,0.0
84b24d7ffffffff,3.0,0.0,0.0,0.0,0.0
84b2581ffffffff,3.0,0.0,0.0,0.0,3.0
84b25cbffffffff,3.0,0.0,0.0,0.0,3.0
84b25e3ffffffff,3.0,0.0,0.0,0.0,0.0
84b2c05ffffffff,1.0,0.0,0.0,0.0,1.0
84b2c0dffffffff,8.0,0.0,0.0,0.0,6.0
84b2c17ffffffff,3.0,0.0,0.0,0.0,3.0
84b2c2bffffffff,3.0,0.0,0.0,0.0,3.0
84b2c35ffffffff,5.0,0.0,0.0,0.0,5.0
84b2c41ffffffff,13.0,0.0,0.0,0.0,11.0
84b2c43ffffffff,23.0,0.0,0.0,0.0,23.0
84b2c45ffffffff,6.0,0.0,0.0,0.0,4.0
84b2c47ffffffff,1.0,0.0,0.0,0.0,1.0
84b2c4bffffffff,26.0,0.0,0.0,0.0,24.0
84b2c4dffffffff,5.0,0.0,0.0,0.0,4.0
84b2c51ffffffff,46.0,4.0,0.0,0.0,38.0
84b2c53ffffffff,17.0,0.0,0.0,0.0,17.0
84b2c55ffffffff,6.0,0.0,0.0,0.0,6.0
84b2c57ffffffff,2.0,0.0,0.0,0.0,2.0
84b2c59ffffffff,3.0,0.0,0.0,0.0,3.0
84b2c5dffffffff,2.0,0.0,0.0,0.0,2.0
84b2ca9ffffffff,9.0,0.0,0.0,0.0,9.0
84b2ce5ffffffff,8.0,2.0,0.0,0.0,4.0
84b2ce7ffffffff,1.0,0.0,0.0,0.0,1.0
84b2ce9ffffffff,2.0,0.0,0.0,0.0,2.0
84b2d81ffffffff,3.0,0.0,0.0,0.0,1.0
84b2d87ffffffff,8.0,0.0,0.0,0.0,8.0
84b2d93ffffffff,3.0,2.0,0.0,0.0,0.0
84b2da3ffffffff,2.0,0.0,0.0,0.0,2.0
84b2db7ffffffff,2.0,0.0,0.0,0.0,2.0
84b2dc3ffffffff,2.0,0.0,0.0,0.0,2.0
84b2dcbffffffff,6.0,0.0,0.0,0.0,6.0
84b2dd1ffffffff,1.0,0.0,0.0,0.0,1.0
84b2dd5ffffffff,1.0,0.0,0.0,0.0,1.0
84b2ddbffffffff,7.0,0.0,0.0,0.0,5.0
84b2e15ffffffff,2.0,0.0,0.0,0.0,2.0
84b2e27ffffffff,4.0,0.0,0.0,0.0,0.0
84b2e3dffffffff,18.0,0.0,0.0,0.0,18.0
84b2ebbffffffff,1.0,0.0,0.0,0.0,1.0
84b2ed7ffffffff,1.0,0.0,0.0,0.0,0.0
84b3001ffffffff,3.0,0.0,0.0,0.0,3.0
84b3017ffffffff,2.0,0.0,0.0,0.0,2.0
84b301bffffffff,1.0,0.0,0.0,0.0,1.0
84b3043ffffffff,7.0,0.0,0.0,0.0,7.0
84b3051ffffffff,1.0,0.0,0.0,0.0,1.0
84b3059ffffffff,1.0,0.0,0.0,1.0,0.0
84b305dffffffff,14.0,0.0,0.0,0.0,14.0
84b308bffffffff,3.0,0.0,0.0,3.0,0.0
84b30a7ffffffff,11.0,0.0,0.0,0.0,11.0
84b30adffffffff,2.0,0.0,0.0,0.0,2.0
84b30bbffffffff,1.0,0.0,0.0,0.0,1.0
84b30bdffffffff,2.0,0.0,0.0,0.0,2.0
84b30d7ffffffff,3.0,0.0,0.0,3.0,0.0
84b320bffffffff,6.0,0.0,0.0,6.0,0.0
84b3219ffffffff,3.0,0.0,0.0,0.0,3.0
