cell_id,Emberiza godlewskii,Emberiza godlewskii [godlewskii Group],Emberiza godlewskii yunnanensis/khamensis
84204a1ffffffff,2.0,0.0,0.0
84204b3ffffffff,5.0,0.0,0.0
84204d3ffffffff,2.0,0.0,0.0
84206b5ffffffff,5.0,0.0,0.0
8424001ffffffff,10.0,0.0,0.0
8424005ffffffff,2.0,0.0,0.0
8424037ffffffff,2.0,0.0,0.0
8424039ffffffff,3.0,0.0,0.0
84240adffffffff,23.0,0.0,0.0
84240e7ffffffff,1.0,0.0,0.0
84241d9ffffffff,7.0,0.0,0.0
8424209ffffffff,1.0,0.0,0.0
8424251ffffffff,5.0,0.0,0.0
8424299ffffffff,2.0,0.0,0.0
8424505ffffffff,7.0,0.0,0.0
8424529ffffffff,6.0,0.0,0.0
8424567ffffffff,43.0,0.0,0.0
8424731ffffffff,1.0,0.0,0.0
8424805ffffffff,3.0,0.0,0.0
8424833ffffffff,8.0,0.0,0.0
8424851ffffffff,2.0,0.0,0.0
8424883ffffffff,4.0,0.0,0.0
8424887ffffffff,1.0,0.0,0.0
842488bffffffff,1.0,0.0,0.0
84248a3ffffffff,18.0,0.0,0.0
84248a7ffffffff,4.0,0.0,0.0
84248b1ffffffff,19.0,0.0,0.0
84248b3ffffffff,2.0,0.0,0.0
84248b7ffffffff,4.0,0.0,0.0
84248b9ffffffff,32.0,0.0,0.0
84248bdffffffff,1.0,0.0,0.0
84248c1ffffffff,6.0,0.0,0.0
84248cbffffffff,2.0,1.0,0.0
84248e5ffffffff,4.0,0.0,0.0
84248e7ffffffff,5.0,0.0,0.0
8424ab1ffffffff,2.0,0.0,0.0
8424c05ffffffff,10.0,0.0,0.0
8424c0dffffffff,2.0,0.0,0.0
8424c63ffffffff,25.0,0.0,0.0
8424d19ffffffff,8.0,0.0,0.0
8424d23ffffffff,11.0,1.0,0.0
8424d6dffffffff,19.0,0.0,0.0
842510dffffffff,4.0,0.0,0.0
842512bffffffff,32.0,0.0,0.0
8425135ffffffff,20.0,0.0,0.0
8425169ffffffff,2.0,0.0,0.0
8425425ffffffff,2.0,0.0,0.0
84255a3ffffffff,1.0,0.0,0.0
84255a7ffffffff,6.0,0.0,0.0
84255b1ffffffff,2.0,0.0,0.0
8425ac9ffffffff,18.0,0.0,0.0
8425acbffffffff,1.0,0.0,0.0
8425b07ffffffff,19.0,0.0,0.0
8425b2bffffffff,2.0,0.0,0.0
8425b47ffffffff,7.0,0.0,0.0
8430305ffffffff,4.0,4.0,0.0
843030dffffffff,18.0,0.0,0.0
8430345ffffffff,4.0,0.0,0.0
8431135ffffffff,2.0,0.0,0.0
843113dffffffff,2.0,0.0,0.0
8431267ffffffff,6.0,0.0,0.0
8431347ffffffff,2.0,0.0,0.0
8431819ffffffff,4.0,0.0,0.0
8431825ffffffff,2.0,0.0,0.0
8431851ffffffff,280.0,0.0,0.0
8431853ffffffff,211.0,0.0,0.0
8431855ffffffff,1.0,0.0,0.0
8431857ffffffff,66.0,0.0,0.0
8431859ffffffff,2.0,0.0,0.0
843185bffffffff,58.0,0.0,0.0
843190dffffffff,9.0,0.0,0.0
8431915ffffffff,3.0,0.0,0.0
8431921ffffffff,14.0,0.0,0.0
8431a33ffffffff,1.0,1.0,0.0
8431a37ffffffff,6.0,0.0,0.0
8431a85ffffffff,25.0,0.0,0.0
8431a87ffffffff,53.0,0.0,0.0
8431a93ffffffff,1.0,0.0,0.0
8431aa5ffffffff,14.0,0.0,0.0
8431aa9ffffffff,46.0,0.0,0.0
8431aabffffffff,13.0,0.0,0.0
8431aadffffffff,25.0,0.0,0.0
8431abdffffffff,4.0,0.0,0.0
8431ae3ffffffff,18.0,0.0,0.0
8431ae7ffffffff,2.0,0.0,0.0
8431b35ffffffff,1.0,0.0,0.0
843c08bffffffff,1.0,0.0,0.0
843c09bffffffff,7.0,0.0,0.0
843c0c3ffffffff,2.0,0.0,0.0
843c0d5ffffffff,1.0,0.0,0.0
843c0d7ffffffff,3.0,0.0,0.0
843c419ffffffff,1.0,0.0,0.0
843c41dffffffff,4.0,0.0,0.0
843c421ffffffff,19.0,0.0,0.0
843c423ffffffff,8.0,0.0,0.0
843c431ffffffff,12.0,0.0,0.0
843c433ffffffff,3.0,0.0,0.0
843c435ffffffff,2.0,0.0,0.0
843c43dffffffff,1.0,0.0,0.0
843c463ffffffff,2.0,0.0,0.0
843c4a3ffffffff,1.0,0.0,0.0
843c51bffffffff,2.0,0.0,0.0
843c541ffffffff,2.0,0.0,0.0
843c56dffffffff,7.0,0.0,0.0
843c587ffffffff,1.0,0.0,0.0
843c591ffffffff,1.0,0.0,0.0
843c595ffffffff,197.0,0.0,0.0
843c5b9ffffffff,1.0,0.0,0.0
843c5c9ffffffff,16.0,0.0,0.0
843c5cbffffffff,1.0,0.0,0.0
843c5d3ffffffff,2.0,0.0,0.0
843c681ffffffff,1.0,0.0,0.0
843c683ffffffff,45.0,0.0,0.0
843c687ffffffff,8.0,0.0,0.0
843c693ffffffff,2.0,0.0,0.0
843c697ffffffff,1.0,0.0,0.0
843c6a1ffffffff,8.0,0.0,0.0
843c6a3ffffffff,29.0,0.0,0.0
