cell_id,Arizelocichla masukuensis,Arizelocichla masukuensis kakamegae/kungwensis,Arizelocichla masukuensis masukuensis/roehli
826ac7fffffffff,6.0,6.0,0.0
826acffffffffff,1.0,1.0,0.0
826ad7fffffffff,1.0,1.0,0.0
826adffffffffff,333.0,118.0,0.0
826aeffffffffff,1.0,1.0,0.0
827a4ffffffffff,294.0,190.0,0.0
827a6ffffffffff,7.0,0.0,0.0
827b4ffffffffff,186.0,0.0,58.0
82968ffffffffff,3.0,2.0,0.0
8296a7fffffffff,4.0,0.0,3.0
8296b7fffffffff,69.0,0.0,13.0
8296d7fffffffff,3.0,3.0,0.0
8297affffffffff,1.0,0.0,0.0
