cell_id,Cochlearius cochlearius,Cochlearius cochlearius [zeledoni Group],Cochlearius cochlearius cochlearius/panamensis
824427fffffffff,2.0,0.0,0.0
824507fffffffff,19.0,0.0,0.0
82450ffffffffff,1.0,1.0,0.0
824527fffffffff,5.0,4.0,0.0
82452ffffffffff,53.0,2.0,0.0
824837fffffffff,15.0,0.0,0.0
8248b7fffffffff,6.0,0.0,0.0
824997fffffffff,13.0,0.0,0.0
82499ffffffffff,3.0,0.0,0.0
825f5ffffffffff,162.0,0.0,0.0
826607fffffffff,57.0,0.0,0.0
82660ffffffffff,9.0,0.0,0.0
826617fffffffff,37.0,0.0,3.0
82661ffffffffff,5.0,0.0,0.0
826657fffffffff,4.0,0.0,0.0
8266a7fffffffff,11.0,0.0,0.0
8266b7fffffffff,60.0,0.0,0.0
8266c7fffffffff,7.0,0.0,0.0
8266dffffffffff,1.0,0.0,0.0
8266e7fffffffff,5.0,0.0,0.0
826747fffffffff,3.0,0.0,0.0
82675ffffffffff,3.0,0.0,1.0
82679ffffffffff,2.0,0.0,0.0
826d07fffffffff,5.0,0.0,0.0
826d17fffffffff,4.0,0.0,0.0
826d27fffffffff,9.0,0.0,0.0
826d2ffffffffff,7.0,0.0,0.0
826d37fffffffff,8.0,0.0,0.0
826d67fffffffff,10.0,0.0,0.0
826d6ffffffffff,23.0,0.0,1.0
826d77fffffffff,1.0,0.0,0.0
828adffffffffff,2.0,0.0,0.0
828b77fffffffff,2.0,0.0,0.0
828f4ffffffffff,8.0,0.0,0.0
82a817fffffffff,24.0,0.0,0.0
82a947fffffffff,2.0,0.0,0.0
82a94ffffffffff,41.0,0.0,0.0
82a957fffffffff,4.0,0.0,0.0
82a96ffffffffff,3.0,0.0,0.0
