cell_id,Turdus iliacus,Turdus iliacus coburni,Turdus iliacus iliacus
8401225ffffffff,2.0,0.0,0.0
8401227ffffffff,1.0,0.0,0.0
840122bffffffff,1.0,0.0,0.0
840122dffffffff,1.0,0.0,0.0
840125dffffffff,6.0,0.0,0.0
8401261ffffffff,9.0,0.0,0.0
8401265ffffffff,21.0,0.0,0.0
8401267ffffffff,2.0,0.0,0.0
8401269ffffffff,2.0,0.0,0.0
840126dffffffff,8.0,0.0,0.0
840130bffffffff,150.0,0.0,18.0
8401319ffffffff,56.0,0.0,8.0
840131dffffffff,32.0,0.0,0.0
840134bffffffff,22.0,0.0,4.0
8401351ffffffff,70.0,0.0,4.0
8401353ffffffff,95.0,0.0,5.0
8401355ffffffff,63.0,0.0,8.0
8401357ffffffff,22.0,0.0,4.0
840135bffffffff,29.0,0.0,4.0
840135dffffffff,3.0,0.0,0.0
840588dffffffff,4.0,0.0,0.0
84058cbffffffff,10.0,0.0,0.0
8407403ffffffff,2.0,0.0,0.0
8407411ffffffff,153.0,65.0,0.0
8407415ffffffff,6.0,1.0,0.0
8407417ffffffff,206.0,77.0,0.0
8407419ffffffff,12.0,12.0,0.0
840741dffffffff,28.0,8.0,0.0
8407421ffffffff,8.0,6.0,0.0
8407425ffffffff,137.0,73.0,0.0
8407427ffffffff,62.0,13.0,0.0
840742dffffffff,43.0,20.0,0.0
8407431ffffffff,472.0,44.0,0.0
8407433ffffffff,413.0,115.0,0.0
8407435ffffffff,16.0,2.0,0.0
8407437ffffffff,317.0,75.0,0.0
8407439ffffffff,2.0,2.0,0.0
840743bffffffff,59.0,11.0,0.0
840744bffffffff,72.0,33.0,0.0
840744dffffffff,7.0,2.0,0.0
8407451ffffffff,40.0,18.0,0.0
8407455ffffffff,85.0,29.0,0.0
8407457ffffffff,16.0,9.0,0.0
840745dffffffff,98.0,34.0,0.0
8407461ffffffff,610.0,233.0,0.0
8407465ffffffff,393.0,166.0,0.0
8407467ffffffff,190.0,80.0,0.0
840746bffffffff,4.0,4.0,0.0
840746dffffffff,141.0,47.0,0.0
84074e9ffffffff,1.0,0.0,0.0
84074edffffffff,56.0,39.0,0.0
8407513ffffffff,13.0,0.0,0.0
8407517ffffffff,1.0,0.0,0.0
8407519ffffffff,8.0,2.0,0.0
840751bffffffff,24.0,0.0,0.0
840753bffffffff,34.0,11.0,0.0
8407551ffffffff,17.0,4.0,0.0
8407553ffffffff,9.0,2.0,0.0
8407559ffffffff,5.0,2.0,0.0
840755bffffffff,61.0,19.0,0.0
840755dffffffff,33.0,22.0,0.0
8407581ffffffff,26.0,8.0,0.0
8407589ffffffff,108.0,34.0,0.0
840758dffffffff,77.0,19.0,0.0
84075a9ffffffff,31.0,13.0,0.0
84075c1ffffffff,47.0,12.0,0.0
84075c3ffffffff,49.0,19.0,0.0
84075c5ffffffff,20.0,5.0,0.0
84075c7ffffffff,117.0,33.0,0.0
84075cbffffffff,183.0,78.0,0.0
84075cdffffffff,5.0,1.0,0.0
84075d1ffffffff,409.0,149.0,0.0
84075d9ffffffff,404.0,155.0,0.0
84075ddffffffff,633.0,131.0,0.0
84075e1ffffffff,79.0,10.0,0.0
84075e3ffffffff,34.0,6.0,0.0
84075e5ffffffff,2.0,0.0,0.0
84075e7ffffffff,42.0,13.0,0.0
84075e9ffffffff,30.0,3.0,0.0
84075ebffffffff,135.0,47.0,0.0
84075edffffffff,93.0,19.0,0.0
8407621ffffffff,144.0,116.0,0.0
8407623ffffffff,335.0,214.0,0.0
8407625ffffffff,67.0,15.0,0.0
8407627ffffffff,42.0,17.0,0.0
8407635ffffffff,249.0,127.0,0.0
8407703ffffffff,26.0,17.0,0.0
8407711ffffffff,4.0,0.0,0.0
8407713ffffffff,1.0,0.0,0.0
8407715ffffffff,61.0,51.0,0.0
8407719ffffffff,7.0,1.0,0.0
840771bffffffff,9.0,2.0,0.0
840771dffffffff,7.0,1.0,0.0
8407731ffffffff,137.0,93.0,0.0
8407733ffffffff,800.0,503.0,0.0
8407739ffffffff,110.0,85.0,0.0
840773bffffffff,253.0,159.0,0.0
8407753ffffffff,59.0,22.0,0.0
8408021ffffffff,2.0,0.0,0.0
8408023ffffffff,2.0,0.0,0.0
8408025ffffffff,1.0,0.0,0.0
840802dffffffff,4.0,0.0,0.0
8408057ffffffff,6.0,0.0,0.0
8408065ffffffff,47.0,0.0,0.0
840806dffffffff,1.0,0.0,0.0
8408103ffffffff,3.0,0.0,0.0
8408105ffffffff,10.0,0.0,0.0
8408107ffffffff,19.0,0.0,0.0
8408111ffffffff,3.0,0.0,0.0
8408115ffffffff,2.0,0.0,0.0
8408119ffffffff,2.0,0.0,0.0
840811dffffffff,17.0,0.0,0.0
8408129ffffffff,9.0,0.0,1.0
840812bffffffff,3.0,0.0,0.0
8408133ffffffff,12.0,0.0,0.0
8408137ffffffff,4.0,0.0,0.0
840813bffffffff,2.0,0.0,0.0
8408141ffffffff,1.0,0.0,0.0
8408149ffffffff,2.0,0.0,0.0
840814bffffffff,2.0,0.0,0.0
840814dffffffff,27.0,0.0,0.0
8408151ffffffff,16.0,0.0,0.0
8408153ffffffff,2.0,0.0,0.0
8408159ffffffff,22.0,0.0,0.0
