cell_id,Actenoides princeps,Actenoides princeps princeps/erythrorhamphus,Actenoides princeps regalis
8268c7fffffffff,1.0,0.0,0.0
8268cffffffffff,166.0,34.0,0.0
8268d7fffffffff,30.0,6.0,0.0
