cell_id,Trogon collaris,Trogon collaris puella,Trogon collaris aurantiiventris/underwoodi,Trogon collaris [collaris Group]
83450dfffffffff,4.0,0.0,0.0,0.0
834523fffffffff,2.0,0.0,0.0,0.0
834524fffffffff,3.0,0.0,0.0,0.0
834529fffffffff,2.0,2.0,0.0,0.0
83452afffffffff,4.0,0.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0,0.0
83452efffffffff,7.0,0.0,0.0,0.0
834990fffffffff,8.0,0.0,0.0,0.0
834996fffffffff,10.0,5.0,0.0,0.0
83499cfffffffff,1.0,0.0,0.0,0.0
8349b1fffffffff,1.0,0.0,0.0,0.0
835f48fffffffff,1.0,0.0,0.0,0.0
835f58fffffffff,3.0,0.0,0.0,3.0
835f5bfffffffff,9.0,0.0,0.0,6.0
836613fffffffff,2.0,0.0,0.0,0.0
83661dfffffffff,5.0,0.0,0.0,5.0
8366a0fffffffff,3.0,0.0,3.0,0.0
8366a5fffffffff,2.0,0.0,2.0,0.0
8366b4fffffffff,27.0,14.0,4.0,0.0
8366b5fffffffff,10.0,0.0,10.0,0.0
8366d3fffffffff,2.0,0.0,0.0,0.0
8366defffffffff,4.0,0.0,0.0,4.0
8366e0fffffffff,2.0,0.0,0.0,0.0
8366e1fffffffff,3.0,0.0,0.0,0.0
8366e3fffffffff,1.0,0.0,0.0,0.0
8366e5fffffffff,3.0,0.0,0.0,0.0
8366e6fffffffff,8.0,0.0,0.0,0.0
8366ecfffffffff,35.0,0.0,0.0,0.0
836741fffffffff,8.0,0.0,0.0,0.0
836742fffffffff,2.0,0.0,0.0,0.0
836743fffffffff,4.0,0.0,0.0,0.0
83674cfffffffff,2.0,0.0,0.0,0.0
836758fffffffff,2.0,0.0,0.0,0.0
83675afffffffff,4.0,0.0,0.0,0.0
83675cfffffffff,6.0,0.0,0.0,0.0
83675efffffffff,4.0,0.0,0.0,0.0
83679afffffffff,8.0,0.0,0.0,0.0
836d21fffffffff,4.0,2.0,0.0,0.0
836d23fffffffff,6.0,0.0,0.0,0.0
836d2bfffffffff,5.0,0.0,0.0,0.0
836d2cfffffffff,2.0,2.0,0.0,0.0
836d30fffffffff,10.0,2.0,0.0,0.0
836d31fffffffff,5.0,0.0,0.0,0.0
836d32fffffffff,2.0,2.0,0.0,0.0
836d33fffffffff,2.0,0.0,0.0,0.0
836d34fffffffff,2.0,2.0,0.0,0.0
836d36fffffffff,2.0,0.0,0.0,0.0
836d60fffffffff,19.0,0.0,0.0,0.0
836d68fffffffff,2.0,0.0,0.0,0.0
836d69fffffffff,23.0,0.0,12.0,0.0
838b0bfffffffff,1.0,0.0,0.0,0.0
838b22fffffffff,2.0,0.0,0.0,2.0
838f2afffffffff,2.0,0.0,0.0,0.0
838f2cfffffffff,3.0,0.0,0.0,0.0
83a891fffffffff,5.0,0.0,0.0,0.0
