cell_id,Tityra cayana,Tityra cayana braziliensis,Tityra cayana cayana
825f07fffffffff,121.0,0.0,7.0
825f0ffffffffff,23.0,0.0,0.0
825f17fffffffff,71.0,0.0,0.0
825f1ffffffffff,25.0,0.0,0.0
825f27fffffffff,2.0,0.0,1.0
825f2ffffffffff,473.0,0.0,0.0
825f47fffffffff,65.0,0.0,0.0
825f4ffffffffff,58.0,0.0,0.0
825f57fffffffff,10.0,0.0,0.0
825f5ffffffffff,447.0,0.0,0.0
825f6ffffffffff,31.0,0.0,0.0
825f77fffffffff,78.0,0.0,2.0
82660ffffffffff,79.0,0.0,1.0
826627fffffffff,3.0,0.0,0.0
82662ffffffffff,43.0,0.0,0.0
826647fffffffff,582.0,0.0,40.0
82664ffffffffff,8.0,0.0,0.0
826657fffffffff,168.0,0.0,0.0
82665ffffffffff,570.0,0.0,10.0
826667fffffffff,57.0,0.0,0.0
82666ffffffffff,19.0,0.0,0.0
826677fffffffff,38.0,0.0,0.0
8266c7fffffffff,927.0,0.0,2.0
8266cffffffffff,76.0,0.0,0.0
8266d7fffffffff,29.0,0.0,0.0
8266dffffffffff,1324.0,0.0,60.0
8266e7fffffffff,1215.0,0.0,5.0
8266effffffffff,740.0,0.0,0.0
826747fffffffff,42.0,0.0,0.0
82674ffffffffff,19.0,0.0,0.0
826757fffffffff,37.0,0.0,0.0
82675ffffffffff,20.0,0.0,0.0
828007fffffffff,4.0,0.0,0.0
82802ffffffffff,2.0,0.0,0.0
828047fffffffff,179.0,0.0,0.0
82804ffffffffff,22.0,0.0,2.0
828067fffffffff,15.0,0.0,0.0
82806ffffffffff,8.0,0.0,0.0
828077fffffffff,5.0,0.0,0.0
828107fffffffff,31.0,0.0,0.0
82810ffffffffff,2.0,2.0,0.0
828117fffffffff,2.0,0.0,0.0
828127fffffffff,45.0,4.0,0.0
82812ffffffffff,7.0,1.0,0.0
828137fffffffff,80.0,7.0,0.0
828147fffffffff,19.0,0.0,0.0
82814ffffffffff,26.0,0.0,0.0
828157fffffffff,3.0,0.0,0.0
82815ffffffffff,6.0,0.0,0.0
828167fffffffff,7.0,0.0,0.0
828177fffffffff,25.0,0.0,0.0
828187fffffffff,31.0,1.0,0.0
828a07fffffffff,21.0,0.0,5.0
828a17fffffffff,6.0,0.0,0.0
828a1ffffffffff,7.0,0.0,0.0
828a27fffffffff,1.0,0.0,0.0
828a47fffffffff,385.0,0.0,0.0
828a57fffffffff,4.0,0.0,0.0
828a5ffffffffff,1.0,0.0,1.0
828a6ffffffffff,312.0,0.0,0.0
828a87fffffffff,18.0,0.0,0.0
828a8ffffffffff,1.0,0.0,0.0
828a97fffffffff,16.0,0.0,0.0
828a9ffffffffff,3.0,0.0,0.0
828aaffffffffff,91.0,0.0,0.0
828adffffffffff,40.0,0.0,11.0
828ae7fffffffff,2.0,0.0,0.0
828aeffffffffff,2.0,0.0,0.0
828af7fffffffff,589.0,0.0,57.0
828b07fffffffff,10.0,0.0,0.0
828b0ffffffffff,79.0,0.0,0.0
828b17fffffffff,17.0,0.0,0.0
828b1ffffffffff,4.0,0.0,0.0
828b27fffffffff,82.0,0.0,0.0
828b2ffffffffff,35.0,0.0,0.0
828b37fffffffff,13.0,0.0,0.0
828b47fffffffff,512.0,0.0,5.0
828b4ffffffffff,3.0,0.0,0.0
828b57fffffffff,31.0,0.0,1.0
828b5ffffffffff,43.0,0.0,4.0
828b67fffffffff,121.0,0.0,8.0
828b6ffffffffff,48.0,0.0,0.0
828b77fffffffff,43.0,0.0,0.0
828b87fffffffff,20.0,0.0,0.0
828b9ffffffffff,15.0,0.0,0.0
828ba7fffffffff,37.0,0.0,0.0
828bb7fffffffff,79.0,0.0,0.0
828f47fffffffff,5.0,0.0,0.0
828f4ffffffffff,50.0,0.0,0.0
828f5ffffffffff,5.0,0.0,0.0
828f67fffffffff,124.0,0.0,0.0
828f6ffffffffff,70.0,0.0,0.0
828f77fffffffff,23.0,0.0,0.0
82a597fffffffff,19.0,2.0,0.0
82a807fffffffff,284.0,39.0,0.0
82a80ffffffffff,17.0,0.0,0.0
82a817fffffffff,332.0,10.0,0.0
82a81ffffffffff,49.0,0.0,0.0
82a827fffffffff,112.0,2.0,0.0
82a82ffffffffff,31.0,0.0,0.0
82a837fffffffff,158.0,6.0,0.0
82a847fffffffff,80.0,3.0,0.0
82a84ffffffffff,5.0,0.0,0.0
82a857fffffffff,2.0,0.0,0.0
82a85ffffffffff,393.0,0.0,0.0
82a867fffffffff,31.0,0.0,0.0
82a877fffffffff,17.0,0.0,0.0
82a887fffffffff,42.0,16.0,0.0
82a88ffffffffff,2.0,0.0,0.0
82a897fffffffff,88.0,4.0,0.0
82a8a7fffffffff,266.0,22.0,0.0
82a8affffffffff,53.0,4.0,0.0
82a8c7fffffffff,50.0,0.0,0.0
82a8cffffffffff,1.0,0.0,0.0
82a8d7fffffffff,32.0,0.0,0.0
82a8dffffffffff,29.0,0.0,0.0
82a8e7fffffffff,8.0,0.0,0.0
82a907fffffffff,2.0,0.0,0.0
82a90ffffffffff,60.0,1.0,0.0
82a91ffffffffff,52.0,0.0,0.0
82a947fffffffff,257.0,0.0,0.0
82a94ffffffffff,16.0,0.0,0.0
82a957fffffffff,691.0,0.0,0.0
82a95ffffffffff,78.0,0.0,0.0
82a96ffffffffff,28.0,0.0,0.0
82a977fffffffff,24.0,0.0,0.0
