cell_id,Pteroglossus torquatus,Pteroglossus torquatus [torquatus Group],Pteroglossus torquatus sanguineus,Pteroglossus torquatus erythropygius
834505fffffffff,2.0,0.0,0.0,0.0
83450bfffffffff,2.0,0.0,0.0,0.0
834520fffffffff,9.0,5.0,0.0,0.0
834521fffffffff,3.0,0.0,0.0,0.0
834525fffffffff,18.0,6.0,0.0,0.0
834526fffffffff,16.0,0.0,0.0,0.0
834528fffffffff,2.0,0.0,0.0,0.0
83452afffffffff,4.0,0.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0,0.0
83452efffffffff,12.0,2.0,0.0,0.0
834564fffffffff,2.0,0.0,0.0,0.0
834572fffffffff,5.0,0.0,0.0,0.0
834996fffffffff,20.0,0.0,0.0,0.0
836610fffffffff,4.0,0.0,0.0,0.0
836611fffffffff,22.0,0.0,22.0,0.0
83661bfffffffff,4.0,0.0,4.0,0.0
83661cfffffffff,6.0,0.0,2.0,0.0
83661efffffffff,10.0,0.0,5.0,0.0
8366a0fffffffff,7.0,0.0,0.0,0.0
8366a1fffffffff,3.0,0.0,0.0,0.0
8366a5fffffffff,2.0,0.0,0.0,0.0
8366b4fffffffff,10.0,4.0,0.0,0.0
8366b5fffffffff,6.0,0.0,0.0,0.0
8366d3fffffffff,22.0,0.0,0.0,20.0
8366f0fffffffff,3.0,0.0,2.0,0.0
836742fffffffff,3.0,0.0,0.0,0.0
83675cfffffffff,6.0,0.0,0.0,0.0
83679afffffffff,25.0,16.0,0.0,0.0
83679bfffffffff,1.0,1.0,0.0,0.0
836d21fffffffff,17.0,0.0,0.0,0.0
836d22fffffffff,2.0,2.0,0.0,0.0
836d23fffffffff,2.0,0.0,0.0,0.0
836d29fffffffff,1.0,0.0,0.0,0.0
836d2bfffffffff,7.0,0.0,0.0,0.0
836d30fffffffff,2.0,2.0,0.0,0.0
836d31fffffffff,4.0,0.0,0.0,0.0
836d35fffffffff,3.0,0.0,0.0,0.0
836d36fffffffff,2.0,0.0,0.0,0.0
836d64fffffffff,4.0,0.0,0.0,0.0
836d66fffffffff,6.0,0.0,0.0,0.0
836d68fffffffff,4.0,4.0,0.0,0.0
836d69fffffffff,31.0,20.0,0.0,0.0
836d6bfffffffff,2.0,0.0,0.0,0.0
836d6dfffffffff,1.0,0.0,0.0,0.0
836d75fffffffff,1.0,0.0,0.0,0.0
838f0dfffffffff,6.0,0.0,0.0,6.0
