cell_id,Pachycephala homeyeri,Pachycephala homeyeri homeyeri,Pachycephala homeyeri major,Pachycephala homeyeri winchelli
826847fffffffff,78.0,0.0,13.0,12.0
826867fffffffff,49.0,0.0,1.0,12.0
826877fffffffff,115.0,0.0,0.0,25.0
8268e7fffffffff,1.0,0.0,0.0,0.0
82695ffffffffff,25.0,0.0,0.0,9.0
