cell_id,Pardalotus striatus,Pardalotus striatus [melanocephalus Group],Pardalotus striatus ornatus,Pardalotus striatus striatus,Pardalotus striatus substriatus
839418fffffffff,3.0,0.0,0.0,0.0,0.0
839419fffffffff,2.0,0.0,0.0,0.0,0.0
83941afffffffff,3.0,0.0,0.0,0.0,0.0
83941bfffffffff,71.0,3.0,0.0,0.0,0.0
839443fffffffff,1.0,1.0,0.0,0.0,0.0
83944bfffffffff,1.0,0.0,0.0,0.0,0.0
839450fffffffff,188.0,23.0,0.0,0.0,0.0
839451fffffffff,756.0,123.0,0.0,0.0,0.0
839453fffffffff,46.0,6.0,0.0,0.0,0.0
839455fffffffff,52.0,0.0,0.0,0.0,0.0
839458fffffffff,3.0,0.0,0.0,0.0,0.0
839459fffffffff,13.0,2.0,0.0,0.0,0.0
83945afffffffff,192.0,55.0,0.0,0.0,0.0
83945bfffffffff,4.0,0.0,0.0,0.0,0.0
83945cfffffffff,84.0,22.0,0.0,0.0,0.0
83945dfffffffff,6.0,2.0,0.0,0.0,0.0
83945efffffffff,105.0,20.0,0.0,0.0,0.0
839480fffffffff,312.0,169.0,0.0,0.0,0.0
839481fffffffff,163.0,52.0,0.0,0.0,0.0
839485fffffffff,12.0,2.0,0.0,0.0,0.0
839489fffffffff,22.0,3.0,0.0,0.0,0.0
83948cfffffffff,13.0,0.0,0.0,0.0,0.0
83948dfffffffff,15.0,2.0,0.0,0.0,0.0
839492fffffffff,2.0,0.0,0.0,0.0,0.0
8394a8fffffffff,8.0,0.0,0.0,0.0,0.0
8394a9fffffffff,10.0,0.0,0.0,0.0,0.0
8394aafffffffff,7.0,2.0,0.0,0.0,0.0
8394abfffffffff,4.0,1.0,0.0,0.0,0.0
8394aefffffffff,9.0,0.0,0.0,0.0,0.0
8394c4fffffffff,17.0,0.0,0.0,0.0,0.0
8394c6fffffffff,18.0,0.0,0.0,0.0,0.0
8394c9fffffffff,6.0,0.0,0.0,0.0,0.0
8394ccfffffffff,3.0,0.0,0.0,0.0,0.0
8394d4fffffffff,2.0,0.0,0.0,0.0,0.0
8394d5fffffffff,4.0,0.0,0.0,0.0,0.0
8394e2fffffffff,52.0,7.0,0.0,0.0,0.0
8394e3fffffffff,118.0,8.0,0.0,0.0,0.0
8394e4fffffffff,1.0,0.0,0.0,0.0,0.0
8394e8fffffffff,104.0,15.0,0.0,0.0,0.0
8394e9fffffffff,13.0,10.0,0.0,0.0,0.0
8394eafffffffff,13.0,0.0,0.0,0.0,0.0
8394ebfffffffff,2.0,0.0,0.0,0.0,0.0
8394edfffffffff,357.0,72.0,0.0,0.0,0.0
8394eefffffffff,54.0,18.0,0.0,0.0,0.0
8394f0fffffffff,11.0,0.0,0.0,0.0,0.0
8394f2fffffffff,76.0,0.0,0.0,0.0,0.0
8394f4fffffffff,31.0,3.0,0.0,0.0,0.0
8394f5fffffffff,39.0,9.0,0.0,0.0,0.0
8394f6fffffffff,115.0,5.0,0.0,0.0,0.0
839c00fffffffff,2.0,0.0,0.0,0.0,0.0
839c01fffffffff,42.0,0.0,0.0,0.0,0.0
839c05fffffffff,99.0,7.0,0.0,0.0,0.0
839c0afffffffff,14.0,6.0,0.0,0.0,0.0
839c0cfffffffff,8.0,0.0,0.0,0.0,0.0
839c0efffffffff,129.0,39.0,0.0,0.0,0.0
839c19fffffffff,22.0,7.0,0.0,0.0,0.0
839c21fffffffff,85.0,1.0,0.0,0.0,0.0
839c23fffffffff,1126.0,35.0,0.0,0.0,0.0
839c25fffffffff,39.0,0.0,0.0,0.0,0.0
839c2cfffffffff,96.0,5.0,0.0,0.0,0.0
839c2dfffffffff,117.0,10.0,0.0,0.0,0.0
839c2efffffffff,6.0,0.0,0.0,0.0,0.0
839c41fffffffff,26.0,2.0,0.0,0.0,0.0
839c43fffffffff,19.0,0.0,0.0,0.0,0.0
839c45fffffffff,4.0,0.0,0.0,0.0,0.0
839c49fffffffff,4.0,2.0,0.0,0.0,0.0
839c4afffffffff,7.0,0.0,0.0,0.0,0.0
839c4bfffffffff,3.0,0.0,0.0,0.0,0.0
839c4cfffffffff,3.0,0.0,0.0,0.0,0.0
