cell_id,Conirostrum cinereum,Conirostrum cinereum fraseri,Conirostrum cinereum cinereum/littorale
8266c7fffffffff,32.0,0.0,0.0
8266d7fffffffff,4277.0,212.0,0.0
8266dffffffffff,831.0,78.0,0.0
828b2ffffffffff,77.0,0.0,0.0
828b67fffffffff,2431.0,0.0,169.0
828b6ffffffffff,484.0,0.0,26.0
828e47fffffffff,91.0,0.0,0.0
828e67fffffffff,2150.0,0.0,55.0
828e6ffffffffff,587.0,0.0,3.0
828e77fffffffff,86.0,0.0,3.0
828f0ffffffffff,229.0,0.0,0.0
828f2ffffffffff,296.0,30.0,0.0
828f47fffffffff,18.0,0.0,0.0
828f57fffffffff,881.0,0.0,0.0
828f5ffffffffff,465.0,0.0,14.0
828f77fffffffff,210.0,13.0,0.0
82b307fffffffff,3098.0,0.0,0.0
82b30ffffffffff,85.0,0.0,0.0
82b327fffffffff,202.0,0.0,0.0
82b32ffffffffff,6.0,0.0,0.0
82b337fffffffff,506.0,0.0,0.0
