cell_id,Troglodytes pacificus,Troglodytes pacificus [alascensis Group],Troglodytes pacificus [pacificus Group]
820c47fffffffff,39.0,0.0,5.0
820c57fffffffff,36.0,0.0,0.0
820c5ffffffffff,2.0,0.0,0.0
820c77fffffffff,21.0,0.0,0.0
820ccffffffffff,2.0,2.0,0.0
820ceffffffffff,1.0,0.0,1.0
821287fffffffff,2.0,0.0,1.0
82128ffffffffff,2.0,0.0,2.0
821297fffffffff,28.0,0.0,27.0
82129ffffffffff,4.0,0.0,2.0
8212affffffffff,1.0,0.0,0.0
8212b7fffffffff,16.0,0.0,12.0
8212c7fffffffff,14.0,0.0,2.0
8212cffffffffff,38.0,0.0,0.0
8212d7fffffffff,9.0,0.0,2.0
8212dffffffffff,13.0,0.0,7.0
8212f7fffffffff,10.0,0.0,2.0
821387fffffffff,9.0,0.0,0.0
82138ffffffffff,4.0,0.0,0.0
821397fffffffff,3.0,0.0,0.0
82139ffffffffff,2.0,0.0,0.0
8213a7fffffffff,1.0,0.0,0.0
8213b7fffffffff,2.0,0.0,0.0
821657fffffffff,8.0,8.0,0.0
82165ffffffffff,35.0,26.0,0.0
8222d7fffffffff,34.0,27.0,0.0
8222dffffffffff,14.0,10.0,0.0
8222effffffffff,1.0,1.0,0.0
822617fffffffff,4.0,0.0,2.0
822687fffffffff,57.0,0.0,0.0
82268ffffffffff,134.0,0.0,1.0
822697fffffffff,101.0,0.0,0.0
82269ffffffffff,12.0,0.0,0.0
8226a7fffffffff,1.0,0.0,0.0
8226affffffffff,4.0,0.0,0.0
8226b7fffffffff,18.0,0.0,1.0
8226f7fffffffff,14.0,0.0,0.0
82278ffffffffff,24.0,0.0,0.0
822797fffffffff,2.0,0.0,0.0
8227b7fffffffff,7.0,0.0,0.0
822807fffffffff,179.0,0.0,160.0
822817fffffffff,47.0,0.0,10.0
82281ffffffffff,31.0,0.0,0.0
822837fffffffff,1539.0,0.0,1085.0
822887fffffffff,28.0,0.0,0.0
82288ffffffffff,16.0,0.0,8.0
822897fffffffff,13.0,0.0,0.0
82289ffffffffff,15.0,0.0,0.0
8228affffffffff,4.0,0.0,0.0
8228b7fffffffff,16.0,0.0,3.0
8228c7fffffffff,111.0,0.0,108.0
8228d7fffffffff,303.0,0.0,241.0
8228dffffffffff,316.0,0.0,98.0
8228f7fffffffff,143.0,0.0,63.0
822917fffffffff,19.0,0.0,0.0
82291ffffffffff,38.0,0.0,29.0
822987fffffffff,112.0,0.0,6.0
82298ffffffffff,44.0,0.0,1.0
822997fffffffff,17.0,0.0,1.0
8229a7fffffffff,427.0,0.0,13.0
8229affffffffff,96.0,0.0,6.0
8229b7fffffffff,124.0,0.0,1.0
8248c7fffffffff,48.0,0.0,0.0
8248cffffffffff,15.0,0.0,0.0
8248d7fffffffff,112.0,0.0,0.0
8248dffffffffff,177.0,0.0,1.0
8248effffffffff,155.0,0.0,5.0
