cell_id,Muscisaxicola rufivertex,Muscisaxicola rufivertex occipitalis,Muscisaxicola rufivertex pallidiceps,Muscisaxicola rufivertex rufivertex
828b27fffffffff,14.0,0.0,0.0,0.0
828b2ffffffffff,38.0,0.0,0.0,0.0
828b67fffffffff,512.0,0.0,0.0,0.0
828b6ffffffffff,162.0,0.0,0.0,0.0
828e67fffffffff,124.0,0.0,0.0,0.0
828e6ffffffffff,138.0,0.0,0.0,0.0
828f57fffffffff,158.0,0.0,0.0,0.0
828f5ffffffffff,153.0,0.0,0.0,0.0
82b207fffffffff,86.0,0.0,0.0,0.0
82b20ffffffffff,71.0,0.0,0.0,0.0
82b21ffffffffff,127.0,0.0,0.0,0.0
82b227fffffffff,96.0,0.0,0.0,0.0
82b22ffffffffff,16.0,0.0,0.0,0.0
82b247fffffffff,34.0,0.0,0.0,0.0
82b24ffffffffff,2.0,0.0,0.0,0.0
82b257fffffffff,2.0,0.0,0.0,0.0
82b25ffffffffff,182.0,0.0,0.0,0.0
82b2c7fffffffff,519.0,0.0,0.0,11.0
82b2e7fffffffff,109.0,0.0,0.0,0.0
82b2effffffffff,28.0,0.0,0.0,0.0
82b307fffffffff,416.0,0.0,0.0,0.0
82b30ffffffffff,354.0,0.0,0.0,0.0
82b31ffffffffff,5.0,0.0,0.0,0.0
82b327fffffffff,176.0,0.0,0.0,0.0
82b32ffffffffff,31.0,0.0,0.0,0.0
82b337fffffffff,135.0,0.0,0.0,0.0
82b347fffffffff,1.0,0.0,0.0,0.0
82b357fffffffff,282.0,0.0,0.0,0.0
82b35ffffffffff,72.0,0.0,0.0,0.0
82b377fffffffff,91.0,0.0,0.0,0.0
